#   nzt =   1
#    zt = 0.7100E+02
#    wt = 0.1000E+01
#    zp = 0.1000E+01
#    rs =  0.36234200E+01
#    Te =  0.50000000E+00
#   rho =  0.98410000E+01
#  zbar =  0.29644466E+01
#   mep =  100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 0.10000000E-02  0.79236692E+01  0.73337964E-01
 0.11233240E-02  0.83905870E+01  0.77730758E-01
 0.12618569E-02  0.88845773E+01  0.82390587E-01
 0.14174742E-02  0.94024345E+01  0.87335450E-01
 0.15922828E-02  0.99501508E+01  0.92584230E-01
 0.17886495E-02  0.10522431E+02  0.98157745E-01
 0.20092330E-02  0.11127231E+02  0.10407814E+00
 0.22570197E-02  0.11757007E+02  0.11036986E+00
 0.25353645E-02  0.12421769E+02  0.11705903E+00
 0.28480359E-02  0.13112027E+02  0.12417437E+00
 0.31992671E-02  0.13839622E+02  0.13174663E+00
 0.35938137E-02  0.14592977E+02  0.13980967E+00
 0.40370173E-02  0.15385936E+02  0.14839976E+00
 0.45348785E-02  0.16203094E+02  0.15755736E+00
 0.50941380E-02  0.17061680E+02  0.16732595E+00
 0.57223677E-02  0.17942555E+02  0.17775393E+00
 0.64280731E-02  0.18866353E+02  0.18889336E+00
 0.72208090E-02  0.19806156E+02  0.20080352E+00
 0.81113083E-02  0.20788779E+02  0.21354867E+00
 0.91116276E-02  0.21782312E+02  0.22720101E+00
 0.10235310E-01  0.22817978E+02  0.24183872E+00
 0.11497570E-01  0.23850012E+02  0.25755308E+00
 0.12915497E-01  0.24919479E+02  0.27444441E+00
 0.14508288E-01  0.25978326E+02  0.29262550E+00
 0.16297508E-01  0.27070847E+02  0.31222388E+00
 0.18307383E-01  0.28261241E+02  0.33333181E+00
 0.20565123E-01  0.29527284E+02  0.35602711E+00
 0.23101297E-01  0.30669497E+02  0.38049941E+00
 0.25950242E-01  0.31800052E+02  0.40700065E+00
 0.29150531E-01  0.33104078E+02  0.43565714E+00
 0.32745492E-01  0.34528249E+02  0.46651916E+00
 0.36783798E-01  0.35396207E+02  0.50004304E+00
 0.41320124E-01  0.36050754E+02  0.53690837E+00
