#   nzt =   1
#    zt = 0.1200E+02
#    wt = 0.1000E+01
#    zp = 0.1000E+01
#    rs =  0.33456500E+01
#    Te =  0.25000000E-01
#   rho =  0.17370000E+01
#  zbar =  0.18851046E+01
#   mep =  100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 0.10000000E-02  0.63515721E+01  0.12709277E-01
 0.11233240E-02  0.67064444E+01  0.13471658E-01
 0.12618569E-02  0.70811636E+01  0.14282690E-01
 0.14174742E-02  0.74718692E+01  0.15145824E-01
 0.15922828E-02  0.78840554E+01  0.16064696E-01
 0.17886495E-02  0.83122387E+01  0.17043330E-01
 0.20092330E-02  0.87634268E+01  0.18086027E-01
 0.22570197E-02  0.92305504E+01  0.19197537E-01
 0.25353645E-02  0.97220714E+01  0.20382954E-01
 0.28480359E-02  0.10229317E+02  0.21647899E-01
 0.31992671E-02  0.10762191E+02  0.22998416E-01
 0.35938137E-02  0.11309692E+02  0.24441225E-01
 0.40370173E-02  0.11883707E+02  0.25983561E-01
 0.45348785E-02  0.12468703E+02  0.27633645E-01
 0.50941380E-02  0.13080219E+02  0.29400377E-01
 0.57223677E-02  0.13698768E+02  0.31293829E-01
 0.64280731E-02  0.14343191E+02  0.33324925E-01
 0.72208090E-02  0.14986465E+02  0.35506334E-01
 0.81113083E-02  0.15653200E+02  0.37851931E-01
 0.91116276E-02  0.16312051E+02  0.40377541E-01
 0.10235310E-01  0.16991498E+02  0.43100431E-01
 0.11497570E-01  0.17641018E+02  0.46041758E-01
 0.12915497E-01  0.18302592E+02  0.49225323E-01
 0.14508288E-01  0.18940579E+02  0.52676785E-01
 0.16297508E-01  0.19590413E+02  0.56425871E-01
 0.18307383E-01  0.20400115E+02  0.60483955E-01
 0.20565123E-01  0.21295950E+02  0.64851795E-01
 0.23101297E-01  0.21898325E+02  0.69587113E-01
 0.25950242E-01  0.22405631E+02  0.74775326E-01
 0.29150531E-01  0.22827852E+02  0.80484749E-01
 0.32745492E-01  0.23237222E+02  0.86777727E-01
 0.36783798E-01  0.23209506E+02  0.93789027E-01
 0.41320124E-01  0.23010156E+02  0.10170595E+00
 0.46415888E-01  0.22552822E+02  0.11073086E+00
