#   nzt =   1
#    zt = 0.1200E+02
#    wt = 0.1000E+01
#    zp = 0.1000E+01
#    rs =  0.30415100E+01
#    Te =  0.25000000E-01
#   rho =  0.23250000E+01
#  zbar =  0.18220195E+01
#   mep =  100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 0.10000000E-02  0.39859995E+01  0.20251857E-01
 0.11233240E-02  0.42119130E+01  0.21466215E-01
 0.12618569E-02  0.44507101E+01  0.22757087E-01
 0.14174742E-02  0.47006170E+01  0.24129718E-01
 0.15922828E-02  0.49646391E+01  0.25589624E-01
 0.17886495E-02  0.52400376E+01  0.27142883E-01
 0.20092330E-02  0.55307913E+01  0.28795965E-01
 0.22570197E-02  0.58331757E+01  0.30555990E-01
 0.25353645E-02  0.61521809E+01  0.32430547E-01
 0.28480359E-02  0.64832071E+01  0.34427954E-01
 0.31992671E-02  0.68322123E+01  0.36557079E-01
 0.35938137E-02  0.71935722E+01  0.38827648E-01
 0.40370173E-02  0.75744049E+01  0.41250015E-01
 0.45348785E-02  0.79671846E+01  0.43835678E-01
 0.50941380E-02  0.83810245E+01  0.46596872E-01
 0.57223677E-02  0.88066274E+01  0.49547116E-01
 0.64280731E-02  0.92552637E+01  0.52700727E-01
 0.72208090E-02  0.97139932E+01  0.56073827E-01
 0.81113083E-02  0.10197891E+02  0.59683499E-01
 0.91116276E-02  0.10692136E+02  0.63548520E-01
 0.10235310E-01  0.11214993E+02  0.67688502E-01
 0.11497570E-01  0.11744320E+02  0.72125977E-01
 0.12915497E-01  0.12305250E+02  0.76884757E-01
 0.14508288E-01  0.12878388E+02  0.81989801E-01
 0.16297508E-01  0.13489752E+02  0.87468277E-01
 0.18307383E-01  0.14200139E+02  0.93329254E-01
 0.20565123E-01  0.14996663E+02  0.99569917E-01
 0.23101297E-01  0.15719491E+02  0.10623211E+00
 0.25950242E-01  0.16447535E+02  0.11338068E+00
 0.29150531E-01  0.17222408E+02  0.12105297E+00
 0.32745492E-01  0.18037862E+02  0.12927507E+00
 0.36783798E-01  0.18530540E+02  0.13817816E+00
 0.41320124E-01  0.18868595E+02  0.14795919E+00
 0.46415888E-01  0.18970308E+02  0.15882145E+00
 0.52140083E-01  0.18952691E+02  0.17099906E+00
 0.58570208E-01  0.18796738E+02  0.18474452E+00
 0.65793322E-01  0.18574343E+02  0.20034134E+00
 0.73907220E-01  0.18222383E+02  0.21813861E+00
 0.83021757E-01  0.17823583E+02  0.23855241E+00
 0.93260335E-01  0.17403634E+02  0.26202021E+00
 0.10476158E+00  0.16989935E+02  0.28901735E+00
 0.11768120E+00  0.16520105E+02  0.32014498E+00
 0.13219411E+00  0.16031334E+02  0.35614686E+00
 0.14849683E+00  0.15542373E+02  0.39784497E+00
 0.16681005E+00  0.15066354E+02  0.44615892E+00
 0.18738174E+00  0.14575819E+02  0.50219990E+00
 0.21049041E+00  0.14074655E+02  0.56733071E+00
 0.23644894E+00  0.13552570E+02  0.64320917E+00
 0.26560878E+00  0.13024300E+02  0.73182161E+00
 0.29836472E+00  0.12495669E+02  0.83548790E+00
 0.33516027E+00  0.11964936E+02  0.95699777E+00
 0.37649358E+00  0.11454193E+02  0.10995726E+01
 0.42292429E+00  0.10964011E+02  0.12668592E+01
 0.47508102E+00  0.10466677E+02  0.14634192E+01
 0.53366992E+00  0.99532055E+01  0.16951972E+01
 0.59948425E+00  0.94539408E+01  0.19691703E+01
 0.67341507E+00  0.89644829E+01  0.22934447E+01
 0.75646333E+00  0.84780582E+01  0.26780576E+01
 0.84975344E+00  0.79783299E+01  0.31361447E+01
 0.95454846E+00  0.75073107E+01  0.36830481E+01
 0.10722672E+01  0.70584074E+01  0.43361179E+01
 0.12045035E+01  0.66158929E+01  0.51174135E+01
 0.13530478E+01  0.61599860E+01  0.60571655E+01
 0.15199111E+01  0.57297985E+01  0.71916329E+01
 0.17073526E+01  0.53166150E+01  0.85634466E+01
 0.19179103E+01  0.49271657E+01  0.10225109E+02
 0.21544347E+01  0.45505914E+01  0.12242987E+02
 0.24201283E+01  0.42004684E+01  0.14698020E+02
 0.27185882E+01  0.38695547E+01  0.17688940E+02
 0.30538555E+01  0.35641353E+01  0.21336296E+02
 0.34304693E+01  0.32783459E+01  0.25787751E+02
 0.38535286E+01  0.30141178E+01  0.31225012E+02
 0.43287613E+01  0.27655054E+01  0.37875912E+02
 0.48626016E+01  0.25386126E+01  0.46017151E+02
 0.54622772E+01  0.23307648E+01  0.55978268E+02
 0.61359073E+01  0.21385515E+01  0.68167886E+02
 0.68926121E+01  0.19565406E+01  0.83115001E+02
 0.77426368E+01  0.17897216E+01  0.10146911E+03
 0.86974900E+01  0.16346267E+01  0.12402745E+03
 0.97700996E+01  0.14931487E+01  0.15177090E+03
 0.10974988E+02  0.13633094E+01  0.18589617E+03
 0.12328467E+02  0.12443486E+01  0.22788362E+03
 0.13848864E+02  0.11332766E+01  0.27962088E+03
 0.15556761E+02  0.10322833E+01  0.34343310E+03
 0.17475284E+02  0.94020700E+00  0.42212969E+03
 0.19630407E+02  0.85603833E+00  0.51919322E+03
 0.22051307E+02  0.77734591E+00  0.63912166E+03
 0.24770764E+02  0.70592615E+00  0.78748391E+03
 0.27825594E+02  0.64095291E+00  0.97102042E+03
 0.31257158E+02  0.58189315E+00  0.11980884E+04
 0.35111917E+02  0.52755055E+00  0.14792588E+04
 0.39442061E+02  0.47827545E+00  0.18276453E+04
 0.44306215E+02  0.43335903E+00  0.22594482E+04
 0.49770236E+02  0.39265854E+00  0.27947711E+04
 0.55908102E+02  0.35558401E+00  0.34586427E+04
 0.62802914E+02  0.32200616E+00  0.42821230E+04
 0.70548023E+02  0.29137825E+00  0.53040414E+04
 0.79248290E+02  0.26366957E+00  0.65726529E+04
 0.89021509E+02  0.23855627E+00  0.81476153E+04
 0.10000000E+03  0.21583829E+00  0.10103219E+05
