#   nzt = 2
#    zt = 1.2000E+01 1.7000E+01
#    wt = 1.0000E+00 2.0000E+00
#    zp = 1.0000E+00
#    rs =  3.36861667E+00
#    Te =  2.50000000E-02
#   rho =  2.32500000E+00
#  zbar =  1.62803160E+00
#   mep = 100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 1.00000000E-03  7.00869493E+00  1.39423979E-02
 1.12332400E-03  7.40391643E+00  1.48493918E-02
 1.26185690E-03  7.82156470E+00  1.58138468E-02
 1.41747420E-03  8.25754677E+00  1.68397207E-02
 1.59228280E-03  8.71794280E+00  1.79312597E-02
 1.78864950E-03  9.19708260E+00  1.90931011E-02
 2.00923300E-03  9.70253670E+00  2.03302356E-02
 2.25701970E-03  1.02272033E+01  2.16480996E-02
 2.53536450E-03  1.07800047E+01  2.30525598E-02
 2.84803590E-03  1.13521750E+01  2.45500212E-02
 3.19926710E-03  1.19541697E+01  2.61474109E-02
 3.59381370E-03  1.25746877E+01  2.78523528E-02
 4.03701730E-03  1.32263730E+01  2.96731208E-02
 4.53487850E-03  1.38931613E+01  3.16189776E-02
 5.09413800E-03  1.45915207E+01  3.37000466E-02
 5.72236770E-03  1.53008600E+01  3.59276501E-02
 6.42807310E-03  1.60412663E+01  3.83142203E-02
 7.22080900E-03  1.67840290E+01  4.08739479E-02
 8.11130830E-03  1.75552493E+01  4.36225656E-02
 9.11162760E-03  1.83217740E+01  4.65777781E-02
 1.02353100E-02  1.91133693E+01  4.97592610E-02
 1.14975700E-02  1.98775113E+01  5.31905163E-02
 1.29154970E-02  2.06573150E+01  5.68981198E-02
 1.45082880E-02  2.14186033E+01  6.09103976E-02
 1.62975080E-02  2.21951163E+01  6.52584453E-02
 1.83073830E-02  2.31434363E+01  6.99569189E-02
 2.05651230E-02  2.41815877E+01  7.50137461E-02
 2.31012970E-02  2.48986043E+01  8.04910766E-02
 2.59502420E-02  2.55094563E+01  8.64816695E-02
 2.91505310E-02  2.59758137E+01  9.30702706E-02
 3.27454920E-02  2.64098897E+01  1.00344509E-01
 3.67837980E-02  2.64999737E+01  1.08435713E-01
 4.13201240E-02  2.64656700E+01  1.17515244E-01
 4.64158880E-02  2.62930620E+01  1.27754883E-01
 5.21400830E-02  2.60989543E+01  1.39337917E-01
 5.85702080E-02  2.57598460E+01  1.52484181E-01
 6.57933220E-02  2.53779710E+01  1.67460112E-01
 7.39072200E-02  2.49063117E+01  1.84569362E-01
 8.30217570E-02  2.44274110E+01  2.04158920E-01
 9.32603350E-02  2.39130633E+01  2.26617105E-01
 1.04761580E-01  2.34014577E+01  2.52392691E-01
 1.17681200E-01  2.28024997E+01  2.82046419E-01
 1.32194110E-01  2.21676333E+01  3.16272517E-01
 1.48496830E-01  2.15304023E+01  3.55839282E-01
 1.66810050E-01  2.09055700E+01  4.01608181E-01
 1.87381740E-01  2.02000303E+01  4.54691752E-01
 2.10490410E-01  1.94335610E+01  5.16542658E-01
 2.36448940E-01  1.86151290E+01  5.88922932E-01
 2.65608780E-01  1.77623160E+01  6.73972833E-01
 2.98364720E-01  1.68912430E+01  7.74273066E-01
 3.35160270E-01  1.60025343E+01  8.92982113E-01
 3.76493580E-01  1.51243130E+01  1.03390898E+00
 4.22924290E-01  1.42590287E+01  1.20162113E+00
 4.75081020E-01  1.34049157E+01  1.40174316E+00
 5.33669920E-01  1.25606709E+01  1.64127216E+00
 5.99484250E-01  1.17436536E+01  1.92875099E+00
 6.73415070E-01  1.09546806E+01  2.27455555E+00
 7.56463330E-01  1.02063457E+01  2.69124171E+00
 8.49753440E-01  9.49100553E+00  3.19412728E+00
 9.54548460E-01  8.83281230E+00  3.80135671E+00
 1.07226720E+00  8.22697150E+00  4.53400390E+00
 1.20450350E+00  7.65747623E+00  5.41793137E+00
 1.35304780E+00  7.10687837E+00  6.48630193E+00
 1.51991110E+00  6.60424873E+00  7.77854650E+00
 1.70735260E+00  6.14137837E+00  9.34008413E+00
 1.91791030E+00  5.70775820E+00  1.12269842E+01
 2.15443470E+00  5.28311190E+00  1.35124238E+01
 2.42012830E+00  4.89176783E+00  1.62855425E+01
 2.71858820E+00  4.52283937E+00  1.96523928E+01
 3.05385550E+00  4.18106773E+00  2.37433422E+01
 3.43046930E+00  3.85255103E+00  2.87228194E+01
 3.85352860E+00  3.54964537E+00  3.47935184E+01
 4.32876130E+00  3.26341683E+00  4.22031541E+01
 4.86260160E+00  3.00091907E+00  5.12555671E+01
 5.46227720E+00  2.75550173E+00  6.23222370E+01
 6.13590730E+00  2.52925347E+00  7.58634511E+01
 6.89261210E+00  2.31504697E+00  9.24594504E+01
 7.74263680E+00  2.11899463E+00  1.12826951E+02
 8.69749000E+00  1.93614157E+00  1.37845795E+02
 9.77009960E+00  1.76987517E+00  1.68596940E+02
 1.09749880E+01  1.61786270E+00  2.06386105E+02
 1.23284670E+01  1.47888210E+00  2.52824636E+02
 1.38488640E+01  1.34914330E+00  3.09951636E+02
 1.55567610E+01  1.23125671E+00  3.80280590E+02
 1.74752840E+01  1.12336629E+00  4.66859124E+02
 1.96304070E+01  1.02484977E+00  5.73460927E+02
 2.20513070E+01  9.32585043E-01  7.04894162E+02
 2.47707640E+01  8.48885317E-01  8.67116289E+02
 2.78255940E+01  7.72457900E-01  1.06734411E+03
 3.12571580E+01  7.02942263E-01  1.31451475E+03
 3.51119170E+01  6.38665270E-01  1.61987676E+03
 3.94420610E+01  5.80299487E-01  1.99740887E+03
 4.43062150E+01  5.26420377E-01  2.46454295E+03
 4.97702360E+01  4.77585460E-01  3.04296415E+03
 5.59081020E+01  4.33116027E-01  3.75929970E+03
 6.28029140E+01  3.92798003E-01  4.64658490E+03
 7.05480230E+01  3.55851923E-01  5.74620887E+03
 7.92482900E+01  3.22395177E-01  7.10965678E+03
 8.90215090E+01  2.91893090E-01  8.80076577E+03
 1.00000000E+02  2.64285617E-01  1.08989010E+04
