#   nzt =   1
#    zt = 0.2500E+02
#    wt = 0.1000E+01
#    zp = 0.1000E+01
#    rs =  0.27039900E+01
#    Te =  0.25000000E-01
#   rho =  0.74340000E+01
#  zbar =  0.32799709E+01
#   mep =  100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 0.10000000E-02  0.38350816E+01  0.47569784E-01
 0.11233240E-02  0.40556062E+01  0.50421049E-01
 0.12618569E-02  0.42888170E+01  0.53449676E-01
 0.14174742E-02  0.45337739E+01  0.56667414E-01
 0.15922828E-02  0.47926936E+01  0.60086671E-01
 0.17886495E-02  0.50640669E+01  0.63720958E-01
 0.20092330E-02  0.53507145E+01  0.67584676E-01
 0.22570197E-02  0.56505844E+01  0.71693486E-01
 0.25353645E-02  0.59670741E+01  0.76064107E-01
 0.28480359E-02  0.62974408E+01  0.80714780E-01
 0.31992671E-02  0.66457703E+01  0.85665017E-01
 0.35938137E-02  0.70086969E+01  0.90936073E-01
 0.40370173E-02  0.73909357E+01  0.96550724E-01
 0.45348785E-02  0.77884429E+01  0.10253380E+00
 0.50941380E-02  0.82065915E+01  0.10891192E+00
 0.57223677E-02  0.86395821E+01  0.11571461E+00
 0.64280731E-02  0.90942159E+01  0.12297361E+00
 0.72208090E-02  0.95617418E+01  0.13072473E+00
 0.81113083E-02  0.10051259E+02  0.13900677E+00
 0.91116276E-02  0.10552592E+02  0.14786276E+00
 0.10235310E-01  0.11076163E+02  0.15733945E+00
 0.11497570E-01  0.11612361E+02  0.16748761E+00
 0.12915497E-01  0.12171585E+02  0.17836206E+00
 0.14508288E-01  0.12741122E+02  0.19002414E+00
 0.16297508E-01  0.13333838E+02  0.20254049E+00
 0.18307383E-01  0.13938752E+02  0.21598313E+00
 0.20565123E-01  0.14569888E+02  0.23042920E+00
 0.23101297E-01  0.15223943E+02  0.24595717E+00
 0.25950242E-01  0.15913440E+02  0.26264877E+00
 0.29150531E-01  0.16657739E+02  0.28057415E+00
 0.32745492E-01  0.17458663E+02  0.29979665E+00
 0.36783798E-01  0.18289780E+02  0.32040341E+00
 0.41320124E-01  0.19168783E+02  0.34250480E+00
 0.46415888E-01  0.20283838E+02  0.36608176E+00
 0.52140083E-01  0.21569568E+02  0.39101664E+00
 0.58570208E-01  0.22503413E+02  0.41759896E+00
 0.65793322E-01  0.23248476E+02  0.44636946E+00
 0.73907220E-01  0.23722527E+02  0.47785551E+00
 0.83021757E-01  0.24049746E+02  0.51263412E+00
 0.93260335E-01  0.24145219E+02  0.55136484E+00
 0.10476158E+00  0.24103618E+02  0.59482934E+00
 0.11768120E+00  0.23897615E+02  0.64391367E+00
 0.13219411E+00  0.23588549E+02  0.69966018E+00
 0.14849683E+00  0.23204509E+02  0.76321849E+00
 0.16681005E+00  0.22777247E+02  0.83587472E+00
 0.18738174E+00  0.22276173E+02  0.91917696E+00
 0.21049041E+00  0.21723272E+02  0.10149977E+01
 0.23644894E+00  0.21107846E+02  0.11255807E+01
 0.26560878E+00  0.20452402E+02  0.12536058E+01
 0.29836472E+00  0.19748643E+02  0.14022900E+01
 0.33516027E+00  0.19005249E+02  0.15755900E+01
 0.37649358E+00  0.18287340E+02  0.17779127E+01
 0.42292429E+00  0.17594633E+02  0.20140758E+01
 0.47508102E+00  0.16863373E+02  0.22903000E+01
 0.53366992E+00  0.16082279E+02  0.26149290E+01
 0.59948425E+00  0.15322330E+02  0.29975370E+01
 0.67341507E+00  0.14577286E+02  0.34489162E+01
 0.75646333E+00  0.13815854E+02  0.39827955E+01
 0.84975344E+00  0.13007821E+02  0.46178632E+01
 0.95454846E+00  0.12236183E+02  0.53760086E+01
 0.10722672E+01  0.11488540E+02  0.62822015E+01
 0.12045035E+01  0.10764011E+02  0.73674063E+01
 0.13530478E+01  0.10038601E+02  0.86717640E+01
 0.15199111E+01  0.93536981E+01  0.10243637E+02
 0.17073526E+01  0.86944279E+01  0.12141160E+02
 0.19179103E+01  0.80799074E+01  0.14434535E+02
 0.21544347E+01  0.74956715E+01  0.17209372E+02
 0.24201283E+01  0.69563276E+01  0.20568724E+02
 0.27185882E+01  0.64511452E+01  0.24636569E+02
 0.30538555E+01  0.59850402E+01  0.29562659E+02
 0.34304693E+01  0.55465400E+01  0.35530601E+02
 0.38535286E+01  0.51393787E+01  0.42764570E+02
 0.43287613E+01  0.47525072E+01  0.51544385E+02
 0.48626016E+01  0.43977990E+01  0.62206189E+02
 0.54622772E+01  0.40674627E+01  0.75151767E+02
 0.61359073E+01  0.37598288E+01  0.90876878E+02
 0.68926121E+01  0.34635457E+01  0.11002205E+03
 0.77426368E+01  0.31893994E+01  0.13337163E+03
 0.86974900E+01  0.29287860E+01  0.16189834E+03
 0.97700996E+01  0.26890069E+01  0.19679692E+03
 0.10974988E+02  0.24640216E+01  0.23954030E+03
 0.12328467E+02  0.22575433E+01  0.29194088E+03
 0.13848864E+02  0.20646135E+01  0.35625119E+03
 0.15556761E+02  0.18882709E+01  0.43523979E+03
 0.17475284E+02  0.17248642E+01  0.53231988E+03
 0.19630407E+02  0.15753811E+01  0.65170116E+03
 0.22051307E+02  0.14355199E+01  0.79871747E+03
 0.24770764E+02  0.13083969E+01  0.97994085E+03
 0.27825594E+02  0.11922711E+01  0.12033183E+04
 0.31257158E+02  0.10865389E+01  0.14786550E+04
 0.35111917E+02  0.98903659E+00  0.18182589E+04
 0.39442061E+02  0.90033428E+00  0.22373193E+04
 0.44306215E+02  0.81839501E+00  0.27548480E+04
 0.49770236E+02  0.74394654E+00  0.33943867E+04
 0.55908102E+02  0.67567290E+00  0.41850684E+04
 0.62802914E+02  0.61367131E+00  0.51629794E+04
 0.70548023E+02  0.55687043E+00  0.63730552E+04
 0.79248290E+02  0.50533407E+00  0.78710153E+04
 0.89021509E+02  0.45843419E+00  0.97256098E+04
 0.10000000E+03  0.41588158E+00  0.12022284E+05
