#   nzt =   1
#    zt = 0.2500E+02
#    wt = 0.1000E+01
#    zp = 0.1000E+01
#    rs =  0.30363300E+01
#    Te =  0.25000000E-01
#   rho =  0.32500000E+01
#  zbar =  0.33658353E+01
#   mep =  100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 0.10000000E-02  0.56358589E+01  0.32370222E-01
 0.11233240E-02  0.59589837E+01  0.34310606E-01
 0.12618569E-02  0.63006458E+01  0.36372012E-01
 0.14174742E-02  0.66591969E+01  0.38562525E-01
 0.15922828E-02  0.70381109E+01  0.40890675E-01
 0.17886495E-02  0.74344253E+01  0.43365850E-01
 0.20092330E-02  0.78528994E+01  0.45998054E-01
 0.22570197E-02  0.82891254E+01  0.48798308E-01
 0.25353645E-02  0.87492356E+01  0.51778391E-01
 0.28480359E-02  0.92275709E+01  0.54951230E-01
 0.31992671E-02  0.97314580E+01  0.58330678E-01
 0.35938137E-02  0.10254165E+02  0.61931889E-01
 0.40370173E-02  0.10804050E+02  0.65771126E-01
 0.45348785E-02  0.11372726E+02  0.69866302E-01
 0.50941380E-02  0.11969996E+02  0.74236675E-01
 0.57223677E-02  0.12585119E+02  0.78903616E-01
 0.64280731E-02  0.13229862E+02  0.83890141E-01
 0.72208090E-02  0.13888657E+02  0.89222358E-01
 0.81113083E-02  0.14576979E+02  0.94928597E-01
 0.91116276E-02  0.15276197E+02  0.10104062E+00
 0.10235310E-01  0.16004439E+02  0.10759297E+00
 0.11497570E-01  0.16740009E+02  0.11462435E+00
 0.12915497E-01  0.17503506E+02  0.12217682E+00
 0.14508288E-01  0.18262882E+02  0.13029945E+00
 0.16297508E-01  0.19045655E+02  0.13904679E+00
 0.18307383E-01  0.19834711E+02  0.14847576E+00
 0.20565123E-01  0.20650330E+02  0.15864802E+00
 0.23101297E-01  0.21488135E+02  0.16962656E+00
 0.25950242E-01  0.22359930E+02  0.18148249E+00
 0.29150531E-01  0.23439485E+02  0.19423457E+00
 0.32745492E-01  0.24649630E+02  0.20786426E+00
 0.36783798E-01  0.25550246E+02  0.22252607E+00
 0.41320124E-01  0.26324936E+02  0.23846908E+00
 0.46415888E-01  0.26962760E+02  0.25590704E+00
 0.52140083E-01  0.27563894E+02  0.27504435E+00
 0.58570208E-01  0.27854333E+02  0.29619590E+00
 0.65793322E-01  0.27997745E+02  0.31977305E+00
 0.73907220E-01  0.27884925E+02  0.34624903E+00
 0.83021757E-01  0.27665778E+02  0.37617430E+00
 0.93260335E-01  0.27334321E+02  0.41013207E+00
 0.10476158E+00  0.26957637E+02  0.44877231E+00
 0.11768120E+00  0.26443645E+02  0.49290528E+00
 0.13219411E+00  0.25861623E+02  0.54353055E+00
 0.14849683E+00  0.25257677E+02  0.60172601E+00
 0.16681005E+00  0.24658117E+02  0.66866765E+00
 0.18738174E+00  0.23996572E+02  0.74581368E+00
 0.21049041E+00  0.23294360E+02  0.83497670E+00
 0.23644894E+00  0.22545076E+02  0.93831641E+00
 0.26560878E+00  0.21774044E+02  0.10583884E+01
 0.29836472E+00  0.20975556E+02  0.11982246E+01
 0.33516027E+00  0.20151566E+02  0.13615321E+01
 0.37649358E+00  0.19352558E+02  0.15525338E+01
 0.42292429E+00  0.18580749E+02  0.17759409E+01
 0.47508102E+00  0.17779923E+02  0.20377288E+01
 0.53366992E+00  0.16933857E+02  0.23458310E+01
 0.59948425E+00  0.16107006E+02  0.27094960E+01
 0.67341507E+00  0.15292929E+02  0.31393311E+01
 0.75646333E+00  0.14468442E+02  0.36486997E+01
 0.84975344E+00  0.13600523E+02  0.42556307E+01
 0.95454846E+00  0.12775623E+02  0.49812785E+01
 0.10722672E+01  0.11980873E+02  0.58497552E+01
 0.12045035E+01  0.11215238E+02  0.68908767E+01
 0.13530478E+01  0.10454054E+02  0.81431211E+01
 0.15199111E+01  0.97385238E+01  0.96527686E+01
 0.17073526E+01  0.90550298E+01  0.11475024E+02
 0.19179103E+01  0.84163970E+01  0.13676820E+02
 0.21544347E+01  0.78057039E+01  0.16341024E+02
 0.24201283E+01  0.72405415E+01  0.19567687E+02
 0.27185882E+01  0.67097514E+01  0.23477246E+02
 0.30538555E+01  0.62183546E+01  0.28215840E+02
 0.34304693E+01  0.57526615E+01  0.33964945E+02
 0.38535286E+01  0.53211735E+01  0.40945986E+02
 0.43287613E+01  0.49127884E+01  0.49432801E+02
 0.48626016E+01  0.45384330E+01  0.59755621E+02
 0.54622772E+01  0.41896396E+01  0.72312154E+02
 0.61359073E+01  0.38654430E+01  0.87593387E+02
 0.68926121E+01  0.35532516E+01  0.10623617E+03
 0.77426368E+01  0.32660784E+01  0.12901836E+03
 0.86974900E+01  0.29951199E+01  0.15689584E+03
 0.97700996E+01  0.27470686E+01  0.19104097E+03
 0.10974988E+02  0.25158128E+01  0.23289378E+03
 0.12328467E+02  0.23038033E+01  0.28422859E+03
 0.13848864E+02  0.21052488E+01  0.34727340E+03
 0.15556761E+02  0.19241900E+01  0.42476459E+03
 0.17475284E+02  0.17569296E+01  0.52005411E+03
 0.19630407E+02  0.16040182E+01  0.63728129E+03
 0.22051307E+02  0.14610513E+01  0.78170149E+03
 0.24770764E+02  0.13311164E+01  0.95979424E+03
 0.27825594E+02  0.12122635E+01  0.11794240E+04
 0.31257158E+02  0.11040794E+01  0.14503067E+04
 0.35111917E+02  0.10044467E+01  0.17846110E+04
 0.39442061E+02  0.91382413E+00  0.21973630E+04
 0.44306215E+02  0.83001332E+00  0.27074538E+04
 0.49770236E+02  0.75392884E+00  0.33382938E+04
 0.55908102E+02  0.68426916E+00  0.41187877E+04
 0.62802914E+02  0.62108091E+00  0.50847423E+04
 0.70548023E+02  0.56331217E+00  0.62806991E+04
 0.79248290E+02  0.51094425E+00  0.77618556E+04
 0.89021509E+02  0.46315545E+00  0.95968287E+04
 0.10000000E+03  0.41985644E+00  0.11870989E+05
