#   nzt =   1
#    zt = 0.8000E+01
#    wt = 0.1000E+01
#    zp = 0.1000E+01
#    rs =  0.25164900E+01
#    Te =  0.25000000E-01
#   rho =  0.32500000E+01
#  zbar =  0.12298563E+01
#   mep =  100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 0.10000000E-02  0.31242083E+01  0.17005803E-01
 0.11233240E-02  0.33033059E+01  0.18025194E-01
 0.12618569E-02  0.34926771E+01  0.19108172E-01
 0.14174742E-02  0.36913708E+01  0.20258992E-01
 0.15922828E-02  0.39013452E+01  0.21482143E-01
 0.17886495E-02  0.41209096E+01  0.22782568E-01
 0.20092330E-02  0.43527440E+01  0.24165533E-01
 0.22570197E-02  0.45943544E+01  0.25636843E-01
 0.25353645E-02  0.48491849E+01  0.27202702E-01
 0.28480359E-02  0.51140450E+01  0.28869916E-01
 0.31992671E-02  0.53930473E+01  0.30645782E-01
 0.35938137E-02  0.56823673E+01  0.32538288E-01
 0.40370173E-02  0.59867268E+01  0.34556004E-01
 0.45348785E-02  0.63012978E+01  0.36708386E-01
 0.50941380E-02  0.66316800E+01  0.39005604E-01
 0.57223677E-02  0.69717403E+01  0.41458940E-01
 0.64280731E-02  0.73281775E+01  0.44080544E-01
 0.72208090E-02  0.76922089E+01  0.46884192E-01
 0.81113083E-02  0.80725751E+01  0.49884832E-01
 0.91116276E-02  0.84588059E+01  0.53099214E-01
 0.10235310E-01  0.88611395E+01  0.56545543E-01
 0.11497570E-01  0.92670171E+01  0.60244294E-01
 0.12915497E-01  0.96885008E+01  0.64217714E-01
 0.14508288E-01  0.10108297E+02  0.68491487E-01
 0.16297508E-01  0.10542270E+02  0.73094029E-01
 0.18307383E-01  0.10986249E+02  0.78053441E-01
 0.20565123E-01  0.11449818E+02  0.83399036E-01
 0.23101297E-01  0.11921732E+02  0.89163556E-01
 0.25950242E-01  0.12414195E+02  0.95384689E-01
 0.29150531E-01  0.13021269E+02  0.10207175E+00
 0.32745492E-01  0.13703472E+02  0.10921422E+00
 0.36783798E-01  0.14209511E+02  0.11689327E+00
 0.41320124E-01  0.14644289E+02  0.12524014E+00
 0.46415888E-01  0.14979088E+02  0.13437452E+00
 0.52140083E-01  0.15281063E+02  0.14441818E+00
 0.58570208E-01  0.15447982E+02  0.15552875E+00
 0.65793322E-01  0.15549161E+02  0.16790210E+00
 0.73907220E-01  0.15534082E+02  0.18176509E+00
 0.83021757E-01  0.15467228E+02  0.19738083E+00
 0.93260335E-01  0.15332339E+02  0.21503939E+00
 0.10476158E+00  0.15163258E+02  0.23507092E+00
 0.11768120E+00  0.14894342E+02  0.25790252E+00
 0.13219411E+00  0.14569904E+02  0.28407311E+00
 0.14849683E+00  0.14222122E+02  0.31416234E+00
 0.16681005E+00  0.13867943E+02  0.34880117E+00
 0.18738174E+00  0.13450389E+02  0.38881129E+00
 0.21049041E+00  0.12988715E+02  0.43525641E+00
 0.23644894E+00  0.12491032E+02  0.48940168E+00
 0.26560878E+00  0.11974123E+02  0.55274839E+00
 0.29836472E+00  0.11425047E+02  0.62715244E+00
 0.33516027E+00  0.10846601E+02  0.71498850E+00
 0.37649358E+00  0.10277518E+02  0.81903263E+00
 0.42292429E+00  0.97193902E+01  0.94248809E+00
 0.47508102E+00  0.91537047E+01  0.10894216E+01
 0.53366992E+00  0.85728269E+01  0.12651965E+01
 0.59948425E+00  0.80037740E+01  0.14763729E+01
 0.67341507E+00  0.74423859E+01  0.17310215E+01
 0.75646333E+00  0.69129442E+01  0.20388364E+01
 0.84975344E+00  0.64088661E+01  0.24114865E+01
 0.95454846E+00  0.59399500E+01  0.28630914E+01
 0.10722672E+01  0.55011032E+01  0.34106444E+01
 0.12045035E+01  0.50904347E+01  0.40750329E+01
 0.13530478E+01  0.47010803E+01  0.48824415E+01
 0.15199111E+01  0.43404301E+01  0.58646783E+01
 0.17073526E+01  0.40034145E+01  0.70603589E+01
 0.19179103E+01  0.36909273E+01  0.85168134E+01
 0.21544347E+01  0.33967663E+01  0.10293134E+02
 0.24201283E+01  0.31259150E+01  0.12461386E+02
 0.27185882E+01  0.28742732E+01  0.15109214E+02
 0.30538555E+01  0.26418553E+01  0.18344436E+02
 0.34304693E+01  0.24239609E+01  0.22302119E+02
 0.38535286E+01  0.22234498E+01  0.27148105E+02
 0.43287613E+01  0.20367741E+01  0.33087084E+02
 0.48626016E+01  0.18661416E+01  0.40369330E+02
 0.54622772E+01  0.17093087E+01  0.49298596E+02
 0.61359073E+01  0.15644763E+01  0.60252124E+02
 0.68926121E+01  0.14277124E+01  0.73717132E+02
 0.77426368E+01  0.13025347E+01  0.90294191E+02
 0.86974900E+01  0.11864926E+01  0.11072249E+03
 0.97700996E+01  0.10807441E+01  0.13591527E+03
 0.10974988E+02  0.98379553E+00  0.16699422E+03
 0.12328467E+02  0.89527281E+00  0.20534970E+03
 0.13848864E+02  0.81334784E+00  0.25273933E+03
 0.15556761E+02  0.73893517E+00  0.31133684E+03
 0.17475284E+02  0.67118449E+00  0.38379669E+03
 0.19630407E+02  0.60945159E+00  0.47341397E+03
 0.22051307E+02  0.55221440E+00  0.58441120E+03
 0.24770764E+02  0.50041060E+00  0.72202525E+03
 0.27825594E+02  0.45371161E+00  0.89256221E+03
 0.31257158E+02  0.41134944E+00  0.11038422E+04
 0.35111917E+02  0.37268969E+00  0.13657150E+04
 0.39442061E+02  0.33762155E+00  0.16903963E+04
 0.44306215E+02  0.30536495E+00  0.20933553E+04
 0.49770236E+02  0.27621018E+00  0.25938497E+04
 0.55908102E+02  0.25002584E+00  0.32151538E+04
 0.62802914E+02  0.22630792E+00  0.39861001E+04
 0.70548023E+02  0.20445741E+00  0.49438641E+04
 0.79248290E+02  0.18472343E+00  0.61348197E+04
 0.89021509E+02  0.16702406E+00  0.76149402E+04
 0.10000000E+03  0.15102225E+00  0.94538512E+04
