#   nzt = 3
#    zt = 2.5000E+01 1.6000E+01 8.0000E+00
#    wt = 1.0000E+00 1.0000E+00 4.0000E+00
#    zp = 1.0000E+00
#    rs =  2.72938333E+00
#    Te =  2.50000000E-02
#   rho =  3.25000000E+00
#  zbar =  2.58002038E+00
#   mep = 100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 1.00000000E-03  4.10889132E+00  1.90995899E-02
 1.12332400E-03  4.34432398E+00  2.03258782E-02
 1.26185690E-03  4.59325167E+00  2.16287465E-02
 1.41747420E-03  4.85445870E+00  2.30132606E-02
 1.59228280E-03  5.13048428E+00  2.44848402E-02
 1.78864950E-03  5.41924880E+00  2.60493963E-02
 2.00923300E-03  5.72414653E+00  2.77132714E-02
 2.25701970E-03  6.04217150E+00  2.94833820E-02
 2.53536450E-03  6.37761030E+00  3.13671718E-02
 2.84803590E-03  6.72656468E+00  3.33727481E-02
 3.19926710E-03  7.09417002E+00  3.55088537E-02
 3.59381370E-03  7.47574500E+00  3.77849952E-02
 4.03701730E-03  7.87717050E+00  4.02114390E-02
 4.53487850E-03  8.29266130E+00  4.27993990E-02
 5.09413800E-03  8.72906407E+00  4.55610212E-02
 5.72236770E-03  9.17874610E+00  4.85096967E-02
 6.42807310E-03  9.65005333E+00  5.16599919E-02
 7.22080900E-03  1.01318210E+01  5.50282645E-02
 8.11130830E-03  1.06350841E+01  5.86324446E-02
 9.11162760E-03  1.11466220E+01  6.24924404E-02
 1.02353100E-02  1.16792404E+01  6.66301077E-02
 1.14975700E-02  1.22183895E+01  7.10696050E-02
 1.29154970E-02  1.27780338E+01  7.58373866E-02
 1.45082880E-02  1.33372580E+01  8.09636510E-02
 1.62975080E-02  1.39142490E+01  8.64820052E-02
 1.83073830E-02  1.44959822E+01  9.24280494E-02
 2.05651230E-02  1.50971455E+01  9.88403700E-02
 2.31012970E-02  1.57136273E+01  1.05758789E-01
 2.59502420E-02  1.63548935E+01  1.13225378E-01
 2.91505310E-02  1.71155045E+01  1.21261559E-01
 3.27454920E-02  1.79558025E+01  1.29877514E-01
 3.67837980E-02  1.86424782E+01  1.39152084E-01
 4.13201240E-02  1.92741205E+01  1.49207666E-01
 4.64158880E-02  1.99039392E+01  1.60139399E-01
 5.21400830E-02  2.05549113E+01  1.72031183E-01
 5.85702080E-02  2.09207382E+01  1.85062594E-01
 6.57933220E-02  2.11415608E+01  1.99497074E-01
 7.39072200E-02  2.11419575E+01  2.15627934E-01
 8.30217570E-02  2.10382823E+01  2.33793030E-01
 9.32603350E-02  2.07932647E+01  2.54369908E-01
 1.04761580E-01  2.04754082E+01  2.77801517E-01
 1.17681200E-01  2.00141162E+01  3.04634139E-01
 1.32194110E-01  1.94729925E+01  3.35543732E-01
 1.48496830E-01  1.88953172E+01  3.71279441E-01
 1.66810050E-01  1.83072322E+01  4.12681573E-01
 1.87381740E-01  1.76587482E+01  4.60793603E-01
 2.10490410E-01  1.69710940E+01  5.16928977E-01
 2.36448940E-01  1.62426568E+01  5.82682246E-01
 2.65608780E-01  1.54937485E+01  6.59989055E-01
 2.98364720E-01  1.47283997E+01  7.51189111E-01
 3.35160270E-01  1.39489350E+01  8.59164731E-01
 3.76493580E-01  1.31941190E+01  9.87315101E-01
 4.22924290E-01  1.24640715E+01  1.13960646E+00
 4.75081020E-01  1.17443371E+01  1.32093915E+00
 5.33669920E-01  1.10272431E+01  1.53750908E+00
 5.99484250E-01  1.03352364E+01  1.79684721E+00
 6.73415070E-01  9.66322383E+00  2.10806074E+00
 7.56463330E-01  9.02263107E+00  2.48222762E+00
 8.49753440E-01  8.40219383E+00  2.93299420E+00
 9.54548460E-01  7.82246678E+00  3.47680934E+00
