#   nzt =   1
#    zt = 0.4200E+02
#    wt = 0.1000E+01
#    zp = 0.1000E+01
#    rs =  0.29299800E+01
#    Te =  0.25000000E-01
#   rho =  0.10210000E+02
#  zbar =  0.56515312E+01
#   mep =  100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 0.10000000E-02  0.51480541E+01  0.61896240E-01
 0.11233240E-02  0.54444921E+01  0.65606069E-01
 0.12618569E-02  0.57580072E+01  0.69546368E-01
 0.14174742E-02  0.60873707E+01  0.73732375E-01
 0.15922828E-02  0.64355369E+01  0.78180180E-01
 0.17886495E-02  0.68005379E+01  0.82907296E-01
 0.20092330E-02  0.71861195E+01  0.87932386E-01
 0.22570197E-02  0.75896269E+01  0.93275726E-01
 0.25353645E-02  0.80155475E+01  0.98958957E-01
 0.28480359E-02  0.84603025E+01  0.10500569E+00
 0.31992671E-02  0.89293023E+01  0.11144116E+00
 0.35938137E-02  0.94181202E+01  0.11829288E+00
 0.40370173E-02  0.99330229E+01  0.12559031E+00
 0.45348785E-02  0.10468677E+02  0.13336556E+00
 0.50941380E-02  0.11032232E+02  0.14165306E+00
 0.57223677E-02  0.11616026E+02  0.15049096E+00
 0.64280731E-02  0.12229108E+02  0.15992030E+00
 0.72208090E-02  0.12860017E+02  0.16998728E+00
 0.81113083E-02  0.13520769E+02  0.18074193E+00
 0.91116276E-02  0.14198101E+02  0.19223967E+00
 0.10235310E-01  0.14905703E+02  0.20454070E+00
 0.11497570E-01  0.15631205E+02  0.21771027E+00
 0.12915497E-01  0.16388043E+02  0.23181885E+00
 0.14508288E-01  0.17159894E+02  0.24694517E+00
 0.16297508E-01  0.17962662E+02  0.26317503E+00
 0.18307383E-01  0.18780530E+02  0.28060233E+00
 0.20565123E-01  0.19629915E+02  0.29932933E+00
 0.23101297E-01  0.20502969E+02  0.31946314E+00
 0.25950242E-01  0.21412668E+02  0.34111915E+00
 0.29150531E-01  0.22375122E+02  0.36440633E+00
 0.32745492E-01  0.23392005E+02  0.38943269E+00
 0.36783798E-01  0.24438601E+02  0.41633230E+00
 0.41320124E-01  0.25534409E+02  0.44526645E+00
 0.46415888E-01  0.26917758E+02  0.47623865E+00
 0.52140083E-01  0.28510372E+02  0.50912552E+00
 0.58570208E-01  0.29680409E+02  0.54429486E+00
 0.65793322E-01  0.30634564E+02  0.58241917E+00
 0.73907220E-01  0.31304973E+02  0.62413082E+00
 0.83021757E-01  0.31843097E+02  0.67008938E+00
 0.93260335E-01  0.32096793E+02  0.72108125E+00
 0.10476158E+00  0.32195578E+02  0.77805035E+00
 0.11768120E+00  0.32047272E+02  0.84210243E+00
 0.13219411E+00  0.31750041E+02  0.91457440E+00
 0.14849683E+00  0.31365188E+02  0.99687705E+00
 0.16681005E+00  0.30933499E+02  0.10905305E+01
 0.18738174E+00  0.30348579E+02  0.11974792E+01
 0.21049041E+00  0.29647169E+02  0.13202076E+01
 0.23644894E+00  0.28846677E+02  0.14616296E+01
 0.26560878E+00  0.27982304E+02  0.16251447E+01
 0.29836472E+00  0.27009383E+02  0.18149677E+01
 0.33516027E+00  0.25937772E+02  0.20365054E+01
 0.37649358E+00  0.24882323E+02  0.22958224E+01
 0.42292429E+00  0.23847326E+02  0.25995692E+01
 0.47508102E+00  0.22756786E+02  0.29563074E+01
 0.53366992E+00  0.21591394E+02  0.33775511E+01
 0.59948425E+00  0.20443286E+02  0.38768594E+01
 0.67341507E+00  0.19304544E+02  0.44701040E+01
 0.75646333E+00  0.18212823E+02  0.51761357E+01
 0.84975344E+00  0.17144251E+02  0.60178238E+01
 0.95454846E+00  0.16140613E+02  0.70222198E+01
 0.10722672E+01  0.15190018E+02  0.82208400E+01
 0.12045035E+01  0.14287755E+02  0.96517891E+01
 0.13530478E+01  0.13408243E+02  0.11362884E+02
 0.15199111E+01  0.12586671E+02  0.13410839E+02
 0.17073526E+01  0.11809451E+02  0.15862121E+02
 0.19179103E+01  0.11076795E+02  0.18796997E+02
 0.21544347E+01  0.10359378E+02  0.22317560E+02
 0.24201283E+01  0.96955381E+01  0.26544795E+02
 0.27185882E+01  0.90704594E+01  0.31619458E+02
 0.30538555E+01  0.84845203E+01  0.37712053E+02
 0.34304693E+01  0.79064490E+01  0.45043663E+02
 0.38535286E+01  0.73687136E+01  0.53880908E+02
 0.43287613E+01  0.68518151E+01  0.64545794E+02
 0.48626016E+01  0.63736471E+01  0.77426044E+02
 0.54622772E+01  0.59131909E+01  0.93001825E+02
 0.61359073E+01  0.54834117E+01  0.11186267E+03
 0.68926121E+01  0.50625384E+01  0.13476498E+03
 0.77426368E+01  0.46745286E+01  0.16262851E+03
 0.86974900E+01  0.43052376E+01  0.19657415E+03
 0.97700996E+01  0.39673067E+01  0.23796561E+03
 0.10974988E+02  0.36523410E+01  0.28844842E+03
 0.12328467E+02  0.33630241E+01  0.35003601E+03
 0.13848864E+02  0.30905552E+01  0.42525107E+03
 0.15556761E+02  0.28408988E+01  0.51717346E+03
