#   nzt =   1
#    zt = 0.7000E+01
#    wt = 0.1000E+01
#    zp = 0.1000E+01
#    rs =  0.31058400E+02
#    Te =  0.25000000E-01
#   rho =  0.12510000E-02
#  zbar =  0.15537038E-05
#   mep =  100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 0.10000000E-02  0.46481250E+01  0.10008695E-01
 0.11233240E-02  0.50767806E+01  0.10598856E-01
 0.12618569E-02  0.55333842E+01  0.11206360E-01
 0.14174742E-02  0.60073639E+01  0.11833763E-01
 0.15922828E-02  0.65192152E+01  0.12483091E-01
 0.17886495E-02  0.70547982E+01  0.13156143E-01
 0.20092330E-02  0.76195152E+01  0.13855487E-01
 0.22570197E-02  0.82076493E+01  0.14583873E-01
 0.25353645E-02  0.88362028E+01  0.15343657E-01
 0.28480359E-02  0.94861760E+01  0.16137568E-01
 0.31992671E-02  0.10179775E+02  0.16968377E-01
 0.35938137E-02  0.10874201E+02  0.17840047E-01
 0.40370173E-02  0.11599638E+02  0.18757465E-01
 0.45348785E-02  0.12360452E+02  0.19724099E-01
 0.50941380E-02  0.13157614E+02  0.20743427E-01
 0.57223677E-02  0.13928768E+02  0.21822106E-01
 0.64280731E-02  0.14720091E+02  0.22967782E-01
 0.72208090E-02  0.15501658E+02  0.24187781E-01
 0.81113083E-02  0.16306333E+02  0.25489682E-01
 0.91116276E-02  0.17043105E+02  0.26884464E-01
 0.10235310E-01  0.17769493E+02  0.28385488E-01
 0.11497570E-01  0.18448953E+02  0.30006183E-01
 0.12915497E-01  0.19108568E+02  0.31761577E-01
 0.14508288E-01  0.19656900E+02  0.33671957E-01
 0.16297508E-01  0.20143767E+02  0.35762405E-01
 0.18307383E-01  0.20574440E+02  0.38057952E-01
 0.20565123E-01  0.20973911E+02  0.40584567E-01
 0.23101297E-01  0.21227587E+02  0.43378914E-01
 0.25950242E-01  0.21410193E+02  0.46486206E-01
 0.29150531E-01  0.21515586E+02  0.49953678E-01
 0.32745492E-01  0.21583950E+02  0.53832404E-01
 0.36783798E-01  0.21504550E+02  0.58190955E-01
 0.41320124E-01  0.21364152E+02  0.63113130E-01
 0.46415888E-01  0.21177736E+02  0.68685558E-01
 0.52140083E-01  0.20982398E+02  0.75000561E-01
 0.58570208E-01  0.20665690E+02  0.82182096E-01
 0.65793322E-01  0.20305253E+02  0.90383472E-01
