#   nzt =   1
#    zt = 0.1100E+02
#    wt = 0.1000E+01
#    zp = 0.1000E+01
#    rs =  0.39875700E+01
#    Te =  0.25000000E-01
#   rho =  0.97000000E+00
#  zbar =  0.94788019E+00
#   mep =  100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 0.10000000E-02  0.97038393E+01  0.78704827E-02
 0.11233240E-02  0.10193261E+02  0.83438460E-02
 0.12618569E-02  0.10707469E+02  0.88500007E-02
 0.14174742E-02  0.11235682E+02  0.93915665E-02
 0.15922828E-02  0.11789788E+02  0.99713115E-02
 0.17886495E-02  0.12354514E+02  0.10592376E-01
 0.20092330E-02  0.12945661E+02  0.11258139E-01
 0.22570197E-02  0.13541625E+02  0.11972492E-01
 0.25353645E-02  0.14163610E+02  0.12739637E-01
 0.28480359E-02  0.14781961E+02  0.13564467E-01
 0.31992671E-02  0.15424674E+02  0.14452310E-01
 0.35938137E-02  0.16056635E+02  0.15409271E-01
 0.40370173E-02  0.16710557E+02  0.16442025E-01
 0.45348785E-02  0.17343908E+02  0.17558303E-01
 0.50941380E-02  0.17995517E+02  0.18766573E-01
 0.57223677E-02  0.18605139E+02  0.20077103E-01
 0.64280731E-02  0.19225750E+02  0.21501380E-01
 0.72208090E-02  0.19810191E+02  0.23051955E-01
 0.81113083E-02  0.20403404E+02  0.24742485E-01
 0.91116276E-02  0.20898625E+02  0.26591513E-01
 0.10235310E-01  0.21383482E+02  0.28621858E-01
 0.11497570E-01  0.22106177E+02  0.30839377E-01
 0.12915497E-01  0.22916192E+02  0.33241339E-01
 0.14508288E-01  0.23088271E+02  0.35881722E-01
 0.16297508E-01  0.23084030E+02  0.38838342E-01
 0.18307383E-01  0.22747802E+02  0.42185913E-01
 0.20565123E-01  0.22340010E+02  0.46009120E-01
 0.23101297E-01  0.21763537E+02  0.50401008E-01
 0.25950242E-01  0.21166123E+02  0.55469015E-01
 0.29150531E-01  0.20421319E+02  0.61347485E-01
 0.32745492E-01  0.19674851E+02  0.68198657E-01
 0.36783798E-01  0.18952000E+02  0.76188536E-01
 0.41320124E-01  0.18282116E+02  0.85498337E-01
 0.46415888E-01  0.17612547E+02  0.96347289E-01
 0.52140083E-01  0.16988669E+02  0.10898986E+00
 0.58570208E-01  0.16392148E+02  0.12371142E+00
 0.65793322E-01  0.15846192E+02  0.14083469E+00
 0.73907220E-01  0.15345945E+02  0.16071497E+00
 0.83021757E-01  0.14901753E+02  0.18374119E+00
 0.93260335E-01  0.14478914E+02  0.21036995E+00
 0.10476158E+00  0.14093978E+02  0.24112994E+00
 0.11768120E+00  0.13756544E+02  0.27657881E+00
 0.13219411E+00  0.13463103E+02  0.31731787E+00
 0.14849683E+00  0.13195206E+02  0.36404189E+00
 0.16681005E+00  0.12953076E+02  0.41753941E+00
 0.18738174E+00  0.12682784E+02  0.47883098E+00
 0.21049041E+00  0.12391924E+02  0.54922843E+00
 0.23644894E+00  0.12091362E+02  0.63022212E+00
 0.26560878E+00  0.11782989E+02  0.72351139E+00
 0.29836472E+00  0.11430191E+02  0.83128578E+00
 0.33516027E+00  0.11033985E+02  0.95642120E+00
 0.37649358E+00  0.10635598E+02  0.11021651E+01
 0.42292429E+00  0.10237304E+02  0.12720985E+01
 0.47508102E+00  0.97976998E+01  0.14709577E+01
 0.53366992E+00  0.93128659E+01  0.17052385E+01
 0.59948425E+00  0.88337300E+01  0.19824477E+01
 0.67341507E+00  0.83605132E+01  0.23110827E+01
 0.75646333E+00  0.78831063E+01  0.27018186E+01
 0.84975344E+00  0.73862507E+01  0.31689502E+01
 0.95454846E+00  0.69186917E+01  0.37291577E+01
 0.10722672E+01  0.64742155E+01  0.44012365E+01
 0.12045035E+01  0.60398002E+01  0.52090797E+01
 0.13530478E+01  0.55962298E+01  0.61854634E+01
 0.15199111E+01  0.51818945E+01  0.73697091E+01
 0.17073526E+01  0.47874063E+01  0.88081059E+01
 0.19179103E+01  0.44203818E+01  0.10557453E+02
 0.21544347E+01  0.40709428E+01  0.12688698E+02
 0.24201283E+01  0.37484755E+01  0.15288493E+02
 0.27185882E+01  0.34459228E+01  0.18462999E+02
 0.30538555E+01  0.31685291E+01  0.22341595E+02
 0.34304693E+01  0.29107328E+01  0.27082235E+02
 0.38535286E+01  0.26730398E+01  0.32879612E+02
 0.43287613E+01  0.24492322E+01  0.39980184E+02
 0.48626016E+01  0.22464562E+01  0.48681578E+02
 0.54622772E+01  0.20626152E+01  0.59331762E+02
 0.61359073E+01  0.18930359E+01  0.72362028E+02
 0.68926121E+01  0.17322947E+01  0.88336279E+02
 0.77426368E+01  0.15854928E+01  0.10794388E+03
 0.86974900E+01  0.14491151E+01  0.13202741E+03
 0.97700996E+01  0.13248993E+01  0.16162201E+03
 0.10974988E+02  0.12105503E+01  0.19799525E+03
 0.12328467E+02  0.11059220E+01  0.24271207E+03
 0.13848864E+02  0.10080337E+01  0.29776506E+03
 0.15556761E+02  0.91904971E+00  0.36560617E+03
 0.17475284E+02  0.83755045E+00  0.44921046E+03
 0.19630407E+02  0.76308292E+00  0.55226423E+03
 0.22051307E+02  0.69343992E+00  0.67950450E+03
 0.24770764E+02  0.63020651E+00  0.83679307E+03
 0.27825594E+02  0.57252399E+00  0.10312451E+04
 0.31257158E+02  0.52005073E+00  0.12716810E+04
 0.35111917E+02  0.47154563E+00  0.15693112E+04
 0.39442061E+02  0.42759211E+00  0.19380468E+04
 0.44306215E+02  0.38778036E+00  0.23948033E+04
 0.49770236E+02  0.35165869E+00  0.29605379E+04
 0.55908102E+02  0.31850873E+00  0.36617908E+04
 0.62802914E+02  0.28848722E+00  0.45315210E+04
 0.70548023E+02  0.26120577E+00  0.56103832E+04
 0.79248290E+02  0.23651027E+00  0.69488490E+04
 0.89021509E+02  0.21409791E+00  0.86095915E+04
 0.10000000E+03  0.19381275E+00  0.10670613E+05
