#   nzt =   1
#    zt = 0.1100E+02
#    wt = 0.1000E+01
#    zp = 0.1000E+01
#    rs =  0.29366900E+01
#    Te =  0.25000000E-01
#   rho =  0.22700000E+01
#  zbar =  0.17430561E+01
#   mep =  100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 0.10000000E-02  0.36943458E+01  0.20664198E-01
 0.11233240E-02  0.39035445E+01  0.21903310E-01
 0.12618569E-02  0.41246301E+01  0.23220564E-01
 0.14174742E-02  0.43559214E+01  0.24621334E-01
 0.15922828E-02  0.46002004E+01  0.26111283E-01
 0.17886495E-02  0.48549168E+01  0.27696648E-01
 0.20092330E-02  0.51237072E+01  0.29384080E-01
 0.22570197E-02  0.54031579E+01  0.31180891E-01
 0.25353645E-02  0.56977570E+01  0.33094898E-01
 0.28480359E-02  0.60032696E+01  0.35134677E-01
 0.31992671E-02  0.63250136E+01  0.37309405E-01
 0.35938137E-02  0.66577239E+01  0.39629183E-01
 0.40370173E-02  0.70077421E+01  0.42104817E-01
 0.45348785E-02  0.73679065E+01  0.44748374E-01
 0.50941380E-02  0.77463036E+01  0.47572793E-01
 0.57223677E-02  0.81339665E+01  0.50592485E-01
 0.64280731E-02  0.85408091E+01  0.53822879E-01
 0.72208090E-02  0.89543439E+01  0.57281509E-01
 0.81113083E-02  0.93876370E+01  0.60987238E-01
 0.91116276E-02  0.98262791E+01  0.64961096E-01
 0.10235310E-01  0.10285789E+02  0.69225524E-01
 0.11497570E-01  0.10744623E+02  0.73806714E-01
 0.12915497E-01  0.11224294E+02  0.78733050E-01
 0.14508288E-01  0.11706944E+02  0.84034800E-01
 0.16297508E-01  0.12214199E+02  0.89745456E-01
 0.18307383E-01  0.12801249E+02  0.95880299E-01
 0.20565123E-01  0.13450904E+02  0.10244345E+00
 0.23101297E-01  0.14018776E+02  0.10948812E+00
 0.25950242E-01  0.14583493E+02  0.11709082E+00
 0.29150531E-01  0.15179386E+02  0.12529896E+00
 0.32745492E-01  0.15813998E+02  0.13414662E+00
 0.36783798E-01  0.16221740E+02  0.14375999E+00
 0.41320124E-01  0.16530241E+02  0.15432500E+00
 0.46415888E-01  0.16689445E+02  0.16602812E+00
 0.52140083E-01  0.16778622E+02  0.17907830E+00
 0.58570208E-01  0.16761224E+02  0.19370854E+00
 0.65793322E-01  0.16690142E+02  0.21018630E+00
 0.73907220E-01  0.16514298E+02  0.22883653E+00
 0.83021757E-01  0.16294843E+02  0.25004287E+00
 0.93260335E-01  0.16037438E+02  0.27421914E+00
 0.10476158E+00  0.15772907E+02  0.30181892E+00
 0.11768120E+00  0.15439912E+02  0.33341782E+00
 0.13219411E+00  0.15078739E+02  0.36972698E+00
 0.14849683E+00  0.14704443E+02  0.41152549E+00
 0.16681005E+00  0.14332104E+02  0.45968177E+00
 0.18738174E+00  0.13926594E+02  0.51526643E+00
 0.21049041E+00  0.13501407E+02  0.57959871E+00
 0.23644894E+00  0.13047847E+02  0.65426279E+00
 0.26560878E+00  0.12581078E+02  0.74115162E+00
 0.29836472E+00  0.12099058E+02  0.84251269E+00
 0.33516027E+00  0.11604665E+02  0.96108503E+00
 0.37649358E+00  0.11125220E+02  0.10999988E+01
 0.42292429E+00  0.10661314E+02  0.12627754E+01
 0.47508102E+00  0.10180454E+02  0.14538989E+01
 0.53366992E+00  0.96746977E+01  0.16793178E+01
 0.59948425E+00  0.91793077E+01  0.19460126E+01
 0.67341507E+00  0.86900507E+01  0.22620993E+01
 0.75646333E+00  0.81997589E+01  0.26377294E+01
 0.84975344E+00  0.76919903E+01  0.30863506E+01
 0.95454846E+00  0.72105276E+01  0.36238235E+01
 0.10722672E+01  0.67484066E+01  0.42683670E+01
 0.12045035E+01  0.62989240E+01  0.50429053E+01
 0.13530478E+01  0.58471944E+01  0.59778357E+01
 0.15199111E+01  0.54221336E+01  0.71098910E+01
 0.17073526E+01  0.50159630E+01  0.84829973E+01
 0.19179103E+01  0.46361814E+01  0.10151016E+02
 0.21544347E+01  0.42744254E+01  0.12181005E+02
 0.24201283E+01  0.39398168E+01  0.14654701E+02
 0.27185882E+01  0.36264354E+01  0.17671693E+02
 0.30538555E+01  0.33374230E+01  0.21353839E+02
 0.34304693E+01  0.30673958E+01  0.25851425E+02
 0.38535286E+01  0.28183445E+01  0.31349031E+02
 0.43287613E+01  0.25849868E+01  0.38076988E+02
 0.48626016E+01  0.23722020E+01  0.46315177E+02
 0.54622772E+01  0.21776878E+01  0.56396978E+02
 0.61359073E+01  0.19977620E+01  0.68736033E+02
 0.68926121E+01  0.18272545E+01  0.83869716E+02
 0.77426368E+01  0.16710001E+01  0.10245801E+03
 0.86974900E+01  0.15258292E+01  0.12530994E+03
 0.97700996E+01  0.13933611E+01  0.15342188E+03
 0.10974988E+02  0.12717790E+01  0.18801123E+03
 0.12328467E+02  0.11603873E+01  0.23058454E+03
 0.13848864E+02  0.10564582E+01  0.28306153E+03
 0.15556761E+02  0.96188491E+00  0.34781047E+03
 0.17475284E+02  0.87546337E+00  0.42770963E+03
 0.19630407E+02  0.79652341E+00  0.52632882E+03
 0.22051307E+02  0.72296262E+00  0.64824995E+03
 0.24770764E+02  0.65621937E+00  0.79914953E+03
 0.27825594E+02  0.59559865E+00  0.98590452E+03
