#   nzt =   1
#    zt = 0.8000E+01
#    wt = 0.1000E+01
#    zp = 0.1000E+01
#    rs =  0.27027800E+01
#    Te =  0.50000000E+00
#   rho =  0.21679200E+01
#  zbar =  0.93518841E+00
#   mep =  100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 0.10000000E-02  0.37318969E+01  0.14236639E-01
 0.11233240E-02  0.39445456E+01  0.15090183E-01
 0.12618569E-02  0.41693757E+01  0.15997247E-01
 0.14174742E-02  0.44047071E+01  0.16961489E-01
 0.15922828E-02  0.46533989E+01  0.17986756E-01
 0.17886495E-02  0.49129326E+01  0.19077277E-01
 0.20092330E-02  0.51869894E+01  0.20237555E-01
 0.22570197E-02  0.54722320E+01  0.21472533E-01
 0.25353645E-02  0.57731367E+01  0.22787491E-01
 0.28480359E-02  0.60855252E+01  0.24188221E-01
 0.31992671E-02  0.64146829E+01  0.25680924E-01
 0.35938137E-02  0.67553560E+01  0.27272429E-01
 0.40370173E-02  0.71138213E+01  0.28970056E-01
 0.45348785E-02  0.74829029E+01  0.30781990E-01
 0.50941380E-02  0.78705083E+01  0.32717031E-01
 0.57223677E-02  0.82674635E+01  0.34785033E-01
 0.64280731E-02  0.86833557E+01  0.36996614E-01
 0.72208090E-02  0.91052604E+01  0.39363926E-01
 0.81113083E-02  0.95455848E+01  0.41900193E-01
 0.91116276E-02  0.99891856E+01  0.44620325E-01
 0.10235310E-01  0.10450220E+02  0.47540553E-01
 0.11497570E-01  0.10906459E+02  0.50680014E-01
 0.12915497E-01  0.11376794E+02  0.54059979E-01
 0.14508288E-01  0.11842232E+02  0.57703777E-01
 0.16297508E-01  0.12320171E+02  0.61638014E-01
 0.18307383E-01  0.12856455E+02  0.65879610E-01
 0.20565123E-01  0.13429191E+02  0.70440858E-01
 0.23101297E-01  0.13904429E+02  0.75367565E-01
 0.25950242E-01  0.14353355E+02  0.80722496E-01
 0.29150531E-01  0.14802110E+02  0.86553319E-01
 0.32745492E-01  0.15265366E+02  0.92900859E-01
 0.36783798E-01  0.15540611E+02  0.99859787E-01
 0.41320124E-01  0.15743575E+02  0.10755971E+00
 0.46415888E-01  0.15865839E+02  0.11612215E+00
 0.52140083E-01  0.15972227E+02  0.12567031E+00
 0.58570208E-01  0.15972146E+02  0.13636094E+00
 0.65793322E-01  0.15930681E+02  0.14838648E+00
 0.73907220E-01  0.15817121E+02  0.16196310E+00
 0.83021757E-01  0.15686332E+02  0.17733302E+00
 0.93260335E-01  0.15511866E+02  0.19476858E+00
 0.10476158E+00  0.15323538E+02  0.21458212E+00
 0.11768120E+00  0.15058433E+02  0.23717247E+00
 0.13219411E+00  0.14755462E+02  0.26303777E+00
 0.14849683E+00  0.14441407E+02  0.29271042E+00
 0.16681005E+00  0.14128700E+02  0.32676656E+00
 0.18738174E+00  0.13752536E+02  0.36596670E+00
 0.21049041E+00  0.13329092E+02  0.41130680E+00
 0.23644894E+00  0.12866364E+02  0.46396797E+00
 0.26560878E+00  0.12377375E+02  0.52535313E+00
 0.29836472E+00  0.11842609E+02  0.59722552E+00
 0.33516027E+00  0.11263998E+02  0.68187711E+00
 0.37649358E+00  0.10683936E+02  0.78200543E+00
 0.42292429E+00  0.10104664E+02  0.90074747E+00
 0.47508102E+00  0.95055850E+01  0.10421480E+01
 0.53366992E+00  0.88819748E+01  0.12116026E+01
 0.59948425E+00  0.82668366E+01  0.14157409E+01
 0.67341507E+00  0.76585423E+01  0.16627450E+01
 0.75646333E+00  0.70831172E+01  0.19625255E+01
 0.84975344E+00  0.65358423E+01  0.23270960E+01
 0.95454846E+00  0.60277442E+01  0.27710536E+01
 0.10722672E+01  0.55545620E+01  0.33120252E+01
 0.12045035E+01  0.51144195E+01  0.39717151E+01
 0.13530478E+01  0.47005852E+01  0.47773528E+01
 0.15199111E+01  0.43206604E+01  0.57619950E+01
 0.17073526E+01  0.39694791E+01  0.69656417E+01
 0.19179103E+01  0.36466513E+01  0.84373037E+01
 0.21544347E+01  0.33457577E+01  0.10238123E+02
 0.24201283E+01  0.30713500E+01  0.12442382E+02
 0.27185882E+01  0.28191969E+01  0.15139801E+02
 0.30538555E+01  0.25879173E+01  0.18440472E+02
 0.34304693E+01  0.23716798E+01  0.22483247E+02
 0.38535286E+01  0.21742378E+01  0.27437806E+02
 0.43287613E+01  0.19918305E+01  0.33511236E+02
 0.48626016E+01  0.18257445E+01  0.40956172E+02
 0.54622772E+01  0.16727729E+01  0.50081789E+02
 0.61359073E+01  0.15318621E+01  0.61271470E+02
 0.68926121E+01  0.13985653E+01  0.75020159E+02
 0.77426368E+01  0.12767945E+01  0.91936934E+02
 0.86974900E+01  0.11637635E+01  0.11277054E+03
 0.97700996E+01  0.10608283E+01  0.13844537E+03
 0.10974988E+02  0.96623547E+00  0.17009811E+03
 0.12328467E+02  0.87986925E+00  0.20913726E+03
 0.13848864E+02  0.79978691E+00  0.25734289E+03
 0.15556761E+02  0.72701872E+00  0.31691601E+03
 0.17475284E+02  0.66056071E+00  0.39055161E+03
 0.19630407E+02  0.60001233E+00  0.48159456E+03
 0.22051307E+02  0.54390203E+00  0.59431254E+03
 0.24770764E+02  0.49309818E+00  0.73399682E+03
 0.27825594E+02  0.44724442E+00  0.90702956E+03
 0.31257158E+02  0.40562633E+00  0.11213232E+04
 0.35111917E+02  0.36754226E+00  0.13868754E+04
 0.39442061E+02  0.33300519E+00  0.17160865E+04
 0.44306215E+02  0.30133066E+00  0.21245361E+04
 0.49770236E+02  0.27268208E+00  0.26316023E+04
 0.55908102E+02  0.24683888E+00  0.32609291E+04
 0.62802914E+02  0.22343323E+00  0.40418261E+04
 0.70548023E+02  0.20193476E+00  0.50117371E+04
 0.79248290E+02  0.18251219E+00  0.62173317E+04
 0.89021509E+02  0.16507024E+00  0.77151666E+04
 0.10000000E+03  0.14929694E+00  0.95755807E+04
