#   nzt = 2
#    zt = 1.1000E+01 8.0000E+00
#    wt = 2.0000E+00 1.0000E+00
#    zp = 1.0000E+00
#    rs =  2.89831000E+00
#    Te =  2.50000000E-02
#   rho =  2.27000000E+00
#  zbar =  1.00568361E+00
#   mep = 100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 1.00000000E-03  3.90967560E+00  1.63240964E-02
 1.12332400E-03  4.13106507E+00  1.73824256E-02
 1.26185690E-03  4.36505660E+00  1.85075539E-02
 1.41747420E-03  4.60948573E+00  1.97040562E-02
 1.59228280E-03  4.86764947E+00  2.09768391E-02
 1.78864950E-03  5.13648833E+00  2.23312624E-02
 2.00923300E-03  5.42013887E+00  2.37730943E-02
 2.25701970E-03  5.71471500E+00  2.53086217E-02
 2.53536450E-03  6.02512950E+00  2.69446289E-02
 2.84803590E-03  6.34658953E+00  2.86885210E-02
 3.19926710E-03  6.68485607E+00  3.05483038E-02
 3.59381370E-03  7.03379267E+00  3.25327775E-02
 4.03701730E-03  7.40036533E+00  3.46514823E-02
 4.53487850E-03  7.77590347E+00  3.69150727E-02
 5.09413800E-03  8.16949790E+00  3.93351664E-02
 5.72236770E-03  8.57014177E+00  4.19247035E-02
 6.42807310E-03  8.98893167E+00  4.46978385E-02
 7.22080900E-03  9.41056933E+00  4.76706437E-02
 8.11130830E-03  9.84947133E+00  5.08608490E-02
 9.11162760E-03  1.02879450E+01  5.42883051E-02
 1.02353100E-02  1.07424900E+01  5.79749524E-02
 1.14975700E-02  1.11848697E+01  6.19468669E-02
 1.29154970E-02  1.16388717E+01  6.62333870E-02
 1.45082880E-02  1.20855507E+01  7.08657083E-02
 1.62975080E-02  1.25439610E+01  7.58779491E-02
 1.83073830E-02  1.30975697E+01  8.12861412E-02
 2.05651230E-02  1.37030730E+01  8.70990497E-02
 2.31012970E-02  1.41418223E+01  9.33839104E-02
 2.59502420E-02  1.45279017E+01  1.00240530E-01
 2.91505310E-02  1.48477340E+01  1.07757613E-01
 3.27454920E-02  1.51549493E+01  1.16025639E-01
 3.67837980E-02  1.52625310E+01  1.25187471E-01
 4.13201240E-02  1.52971793E+01  1.35431321E-01
 4.64158880E-02  1.52400307E+01  1.46947439E-01
 5.21400830E-02  1.51635787E+01  1.59940659E-01
 5.85702080E-02  1.50206127E+01  1.74643082E-01
 6.57933220E-02  1.48621527E+01  1.91325333E-01
 7.39072200E-02  1.46600513E+01  2.10294467E-01
 8.30217570E-02  1.44576593E+01  2.31898813E-01
 9.32603350E-02  1.42505247E+01  2.56513814E-01
 1.04761580E-01  1.40545920E+01  2.84558533E-01
 1.17681200E-01  1.38271310E+01  3.16542410E-01
 1.32194110E-01  1.35911897E+01  3.53078236E-01
 1.48496830E-01  1.33582990E+01  3.94833634E-01
 1.66810050E-01  1.31346270E+01  4.42546884E-01
 1.87381740E-01  1.28690490E+01  4.97156621E-01
 2.10490410E-01  1.25707590E+01  5.59864161E-01
 2.36448940E-01  1.22396053E+01  6.32096536E-01
 2.65608780E-01  1.18844450E+01  7.15550570E-01
 2.98364720E-01  1.14835780E+01  8.12340511E-01
 3.35160270E-01  1.10383403E+01  9.25163482E-01
 3.76493580E-01  1.05866350E+01  1.05716181E+00
 4.22924290E-01  1.01315600E+01  1.21193867E+00
 4.75081020E-01  9.64402260E+00  1.39411896E+00
 5.33669920E-01  9.11978507E+00  1.60983738E+00
 5.99484250E-01  8.60034380E+00  1.86644758E+00
