#   nzt =   1
#    zt = 0.1700E+02
#    wt = 0.1000E+01
#    zp = 0.1000E+01
#    rs =  0.34911700E+01
#    Te =  0.25000000E-01
#   rho =  0.21700000E+01
#  zbar =  0.22303963E+01
#   mep =  100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 0.10000000E-02  0.81145971E+01  0.14506626E-01
 0.11233240E-02  0.85714776E+01  0.15376640E-01
 0.12618569E-02  0.90541066E+01  0.16301801E-01
 0.14174742E-02  0.95583145E+01  0.17285955E-01
 0.15922828E-02  0.10090517E+02  0.18333155E-01
 0.17886495E-02  0.10644655E+02  0.19447867E-01
 0.20092330E-02  0.11228943E+02  0.20634868E-01
 0.22570197E-02  0.11835475E+02  0.21899409E-01
 0.25353645E-02  0.12474197E+02  0.23247121E-01
 0.28480359E-02  0.13135259E+02  0.24684198E-01
 0.31992671E-02  0.13830385E+02  0.26217294E-01
 0.35938137E-02  0.14547145E+02  0.27853771E-01
 0.40370173E-02  0.15299510E+02  0.29601546E-01
 0.45348785E-02  0.16070384E+02  0.31469529E-01
 0.50941380E-02  0.16877552E+02  0.33467338E-01
 0.57223677E-02  0.17699220E+02  0.35605805E-01
 0.64280731E-02  0.18557059E+02  0.37896652E-01
 0.72208090E-02  0.19420557E+02  0.40353374E-01
 0.81113083E-02  0.20318062E+02  0.42990713E-01
 0.91116276E-02  0.21214133E+02  0.45825366E-01
 0.10235310E-01  0.22141462E+02  0.48875533E-01
 0.11497570E-01  0.23047305E+02  0.52162869E-01
 0.12915497E-01  0.23976574E+02  0.55711493E-01
 0.14508288E-01  0.24886879E+02  0.59547726E-01
 0.16297508E-01  0.25818897E+02  0.63701645E-01
 0.18307383E-01  0.26895834E+02  0.68190295E-01
 0.20565123E-01  0.28060157E+02  0.73023711E-01
 0.23101297E-01  0.28968111E+02  0.78255140E-01
 0.25950242E-01  0.29800854E+02  0.83959604E-01
 0.29150531E-01  0.30602127E+02  0.90195115E-01
 0.32745492E-01  0.31421392E+02  0.97012225E-01
 0.36783798E-01  0.31789716E+02  0.10452583E+00
 0.41320124E-01  0.31979694E+02  0.11289479E+00
 0.46415888E-01  0.31957441E+02  0.12227375E+00
 0.52140083E-01  0.31882936E+02  0.13282441E+00
 0.58570208E-01  0.31579327E+02  0.14474808E+00
 0.65793322E-01  0.31187982E+02  0.15829137E+00
 0.73907220E-01  0.30635608E+02  0.17373984E+00
 0.83021757E-01  0.30039400E+02  0.19142321E+00
 0.93260335E-01  0.29355370E+02  0.21171754E+00
 0.10476158E+00  0.28644438E+02  0.23505901E+00
 0.11768120E+00  0.27769657E+02  0.26201824E+00
 0.13219411E+00  0.26813945E+02  0.29332635E+00
 0.14849683E+00  0.25841135E+02  0.32978947E+00
 0.16681005E+00  0.24879548E+02  0.37230287E+00
 0.18738174E+00  0.23814489E+02  0.42204722E+00
 0.21049041E+00  0.22677737E+02  0.48058218E+00
 0.23644894E+00  0.21489747E+02  0.54980935E+00
