#   nzt =   1
#    zt = 0.1100E+02
#    wt = 0.1000E+01
#    zp = 0.1000E+01
#    rs =  0.32635800E+01
#    Te =  0.25000000E-01
#   rho =  0.21700000E+01
#  zbar =  0.11117262E+01
#   mep =  100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 0.10000000E-02  0.50407176E+01  0.15144807E-01
 0.11233240E-02  0.53159401E+01  0.16053847E-01
 0.12618569E-02  0.56062868E+01  0.17022042E-01
 0.14174742E-02  0.59077666E+01  0.18053736E-01
 0.15922828E-02  0.62255167E+01  0.19153503E-01
 0.17886495E-02  0.65544496E+01  0.20326386E-01
 0.20092330E-02  0.69007670E+01  0.21577781E-01
 0.22570197E-02  0.72583949E+01  0.22913615E-01
 0.25353645E-02  0.76345245E+01  0.24340241E-01
 0.28480359E-02  0.80215563E+01  0.25864687E-01
 0.31992671E-02  0.84281486E+01  0.27494491E-01
 0.35938137E-02  0.88445618E+01  0.29238060E-01
 0.40370173E-02  0.92814907E+01  0.31104396E-01
 0.45348785E-02  0.97247923E+01  0.33103809E-01
 0.50941380E-02  0.10189068E+02  0.35247374E-01
 0.57223677E-02  0.10655327E+02  0.37547812E-01
 0.64280731E-02  0.11142697E+02  0.40018799E-01
 0.72208090E-02  0.11624620E+02  0.42676369E-01
 0.81113083E-02  0.12126975E+02  0.45537967E-01
 0.91116276E-02  0.12626628E+02  0.48622409E-01
 0.10235310E-01  0.13149282E+02  0.51949929E-01
 0.11497570E-01  0.13682552E+02  0.55540813E-01
 0.12915497E-01  0.14246636E+02  0.59415232E-01
 0.14508288E-01  0.14758809E+02  0.63605925E-01
 0.16297508E-01  0.15282426E+02  0.68154040E-01
 0.18307383E-01  0.15977467E+02  0.73064638E-01
 0.20565123E-01  0.16775510E+02  0.78321939E-01
 0.23101297E-01  0.17224040E+02  0.84009173E-01
 0.25950242E-01  0.17563987E+02  0.90253394E-01
 0.29150531E-01  0.17599838E+02  0.97194779E-01
 0.32745492E-01  0.17534234E+02  0.10500151E+00
 0.36783798E-01  0.17324600E+02  0.11384288E+00
 0.41320124E-01  0.17072335E+02  0.12391046E+00
 0.46415888E-01  0.16784482E+02  0.13540182E+00
 0.52140083E-01  0.16498737E+02  0.14853191E+00
 0.58570208E-01  0.16169060E+02  0.16356049E+00
 0.65793322E-01  0.15842238E+02  0.18078972E+00
 0.73907220E-01  0.15506714E+02  0.20055362E+00
 0.83021757E-01  0.15180823E+02  0.22323367E+00
 0.93260335E-01  0.14857377E+02  0.24926212E+00
 0.10476158E+00  0.14546761E+02  0.27912893E+00
 0.11768120E+00  0.14224476E+02  0.31341660E+00
 0.13219411E+00  0.13897614E+02  0.35282345E+00
 0.14849683E+00  0.13569960E+02  0.39814606E+00
 0.16681005E+00  0.13243631E+02  0.45029539E+00
 0.18738174E+00  0.12894581E+02  0.51038830E+00
 0.21049041E+00  0.12524809E+02  0.57980269E+00
 0.23644894E+00  0.12131941E+02  0.66019540E+00
 0.26560878E+00  0.11726541E+02  0.75352671E+00
 0.29836472E+00  0.11302941E+02  0.86214559E+00
 0.33516027E+00  0.10863343E+02  0.98893691E+00
 0.37649358E+00  0.10438780E+02  0.11371578E+01
 0.42292429E+00  0.10030805E+02  0.13103959E+01
 0.47508102E+00  0.96018520E+01  0.15132732E+01
 0.53366992E+00  0.91447379E+01  0.17520114E+01
 0.59948425E+00  0.86988348E+01  0.20338007E+01
 0.67341507E+00  0.82607107E+01  0.23668223E+01
 0.75646333E+00  0.78188948E+01  0.27613447E+01
 0.84975344E+00  0.73573562E+01  0.32310775E+01
 0.95454846E+00  0.69195430E+01  0.37920593E+01
 0.10722672E+01  0.64992534E+01  0.44624615E+01
 0.12045035E+01  0.60850273E+01  0.52653573E+01
 0.13530478E+01  0.56593417E+01  0.62321712E+01
 0.15199111E+01  0.52578395E+01  0.74006557E+01
 0.17073526E+01  0.48722884E+01  0.88154044E+01
 0.19179103E+01  0.45105427E+01  0.10531154E+02
 0.21544347E+01  0.41632964E+01  0.12616429E+02
 0.24201283E+01  0.38413574E+01  0.15154740E+02
 0.27185882E+01  0.35381663E+01  0.18247972E+02
 0.30538555E+01  0.32585361E+01  0.22020568E+02
 0.34304693E+01  0.29968708E+01  0.26625447E+02
 0.38535286E+01  0.27552405E+01  0.32250575E+02
 0.43287613E+01  0.25282003E+01  0.39131064E+02
 0.48626016E+01  0.23211803E+01  0.47552257E+02
 0.54622772E+01  0.21318425E+01  0.57853204E+02
 0.61359073E+01  0.19566726E+01  0.70454381E+02
 0.68926121E+01  0.17905009E+01  0.85902156E+02
 0.77426368E+01  0.16381503E+01  0.10486734E+03
 0.86974900E+01  0.14963638E+01  0.12817321E+03
 0.97700996E+01  0.13669796E+01  0.15683303E+03
 0.10974988E+02  0.12481662E+01  0.19208312E+03
 0.12328467E+02  0.11392821E+01  0.23545298E+03
 0.13848864E+02  0.10375509E+01  0.28889394E+03
 0.15556761E+02  0.94500464E+00  0.35481136E+03
 0.17475284E+02  0.86052220E+00  0.43611747E+03
 0.19630407E+02  0.78332088E+00  0.53642275E+03
 0.22051307E+02  0.71129154E+00  0.66037046E+03
 0.24770764E+02  0.64591128E+00  0.81371030E+03
 0.27825594E+02  0.58645631E+00  0.10034090E+04
 0.31257158E+02  0.53238998E+00  0.12381039E+04
 0.35111917E+02  0.48249032E+00  0.15287860E+04
 0.39442061E+02  0.43729089E+00  0.18890982E+04
 0.44306215E+02  0.39640132E+00  0.23356326E+04
 0.49770236E+02  0.35931385E+00  0.28889499E+04
 0.55908102E+02  0.32527152E+00  0.35751490E+04
 0.62802914E+02  0.29445693E+00  0.44266595E+04
 0.70548023E+02  0.26647396E+00  0.54834712E+04
 0.79248290E+02  0.24115665E+00  0.67952723E+04
 0.89021509E+02  0.21824714E+00  0.84235404E+04
 0.10000000E+03  0.19751671E+00  0.10444763E+05
