#   nzt = 2
#    zt = 1.1000E+01 1.7000E+01
#    wt = 1.0000E+00 1.0000E+00
#    zp = 1.0000E+00
#    rs =  3.34576500E+00
#    Te =  2.50000000E-02
#   rho =  2.17000000E+00
#  zbar =  1.20930420E+00
#   mep = 100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 1.00000000E-03  6.33118465E+00  1.40682070E-02
 1.12332400E-03  6.68360395E+00  1.49929615E-02
 1.26185690E-03  7.05573805E+00  1.59769808E-02
 1.41747420E-03  7.44325190E+00  1.70244340E-02
 1.59228280E-03  7.85208405E+00  1.81398040E-02
 1.78864950E-03  8.27650920E+00  1.93279888E-02
 2.00923300E-03  8.72377370E+00  2.05942696E-02
 2.25701970E-03  9.18687685E+00  2.19444040E-02
 2.53536450E-03  9.67427050E+00  2.33846139E-02
 2.84803590E-03  1.01771612E+01  2.49217205E-02
 3.19926710E-03  1.07056241E+01  2.65631137E-02
 3.59381370E-03  1.12483750E+01  2.83169502E-02
 4.03701730E-03  1.18176507E+01  3.01920972E-02
 4.53487850E-03  1.23972751E+01  3.21985349E-02
 5.09413800E-03  1.30034360E+01  3.43471958E-02
 5.72236770E-03  1.36145095E+01  3.66504371E-02
 6.42807310E-03  1.42510505E+01  3.91218796E-02
 7.22080900E-03  1.48826825E+01  4.17772284E-02
 8.11130830E-03  1.55366195E+01  4.46339714E-02
 9.11162760E-03  1.61834380E+01  4.77113901E-02
 1.02353100E-02  1.68504350E+01  5.10308332E-02
 1.14975700E-02  1.75114690E+01  5.46155631E-02
 1.29154970E-02  1.81914080E+01  5.84911573E-02
 1.45082880E-02  1.88138555E+01  6.26914665E-02
 1.62975080E-02  1.94359575E+01  6.72561059E-02
 1.83073830E-02  2.02057320E+01  7.22036208E-02
 2.05651230E-02  2.10502550E+01  7.75443577E-02
 2.31012970E-02  2.15527625E+01  8.33541995E-02
 2.59502420E-02  2.19417530E+01  8.97467552E-02
 2.91505310E-02  2.21089150E+01  9.68373422E-02
 3.27454920E-02  2.22199615E+01  1.04752513E-01
 3.67837980E-02  2.21328505E+01  1.13639780E-01
 4.13201240E-02  2.19902340E+01  1.23674989E-01
 4.64158880E-02  2.18003070E+01  1.35033483E-01
 5.21400830E-02  2.16270185E+01  1.47899426E-01
 5.85702080E-02  2.13596350E+01  1.62501117E-01
 6.57933220E-02  2.10736210E+01  1.79117490E-01
 7.39072200E-02  2.07472440E+01  1.98056845E-01
 8.30217570E-02  2.04333020E+01  2.19662457E-01
 9.32603350E-02  2.00926955E+01  2.44325119E-01
 1.04761580E-01  1.97567745E+01  2.72500149E-01
 1.17681200E-01  1.93617250E+01  3.04743966E-01
 1.32194110E-01  1.89442855E+01  3.41733375E-01
 1.48496830E-01  1.85239280E+01  3.84213870E-01
 1.66810050E-01  1.81117975E+01  4.33018265E-01
 1.87381740E-01  1.76178395E+01  4.89238140E-01
 2.10490410E-01  1.70601295E+01  5.54312483E-01
 2.36448940E-01  1.64531120E+01  6.29959166E-01
 2.65608780E-01  1.58107805E+01  7.18232917E-01
 2.98364720E-01  1.51291250E+01  8.21647438E-01
 3.35160270E-01  1.44103090E+01  9.43336288E-01
 3.76493580E-01  1.36927695E+01  1.08702639E+00
 4.22924290E-01  1.29793965E+01  1.25710847E+00
 4.75081020E-01  1.22586207E+01  1.45904474E+00
 5.33669920E-01  1.15286731E+01  1.69974753E+00
 5.99484250E-01  1.08171835E+01  1.98759407E+00
 6.73415070E-01  1.01248847E+01  2.33263872E+00
 7.56463330E-01  9.45894825E+00  2.74714222E+00
 8.49753440E-01  8.80967510E+00  3.24633331E+00
 9.54548460E-01  8.20857165E+00  3.84827448E+00
 1.07226720E+00  7.65047330E+00  4.57388087E+00
 1.20450350E+00  7.12186570E+00  5.44898162E+00
 1.35304780E+00  6.60585635E+00  6.50693885E+00
 1.51991110E+00  6.13203415E+00  7.78767104E+00
 1.70735260E+00  5.69205595E+00  9.33753627E+00
 1.91791030E+00  5.28120245E+00  1.12135867E+01
 2.15443470E+00  4.88279655E+00  1.34890701E+01
 2.42012830E+00  4.51580020E+00  1.62532893E+01
 2.71858820E+00  4.17071925E+00  1.96131121E+01
 3.05385550E+00  3.85169270E+00  2.36997620E+01
 3.43046930E+00  3.54703070E+00  2.86778868E+01
 3.85352860E+00  3.26623805E+00  3.47504534E+01
 4.32876130E+00  3.00131365E+00  4.21664313E+01
 4.86260160E+00  2.75895475E+00  5.12304344E+01
 5.46227720E+00  2.53373215E+00  6.23121937E+01
 6.13590730E+00  2.32603805E+00  7.58698078E+01
 6.89261210E+00  2.12926755E+00  9.24838049E+01
 7.74263680E+00  1.94917635E+00  1.12871115E+02
 8.69749000E+00  1.78116610E+00  1.37911505E+02
 9.77009960E+00  1.62831645E+00  1.68686501E+02
 1.09749880E+01  1.48831180E+00  2.06505743E+02
 1.23284670E+01  1.36028775E+00  2.52986553E+02
 1.38488640E+01  1.24077120E+00  3.10173404E+02
 1.55567610E+01  1.13212048E+00  3.80588570E+02
 1.74752840E+01  1.03255167E+00  4.67297746E+02
 1.96304070E+01  9.41640620E-01  5.74099587E+02
 2.20513070E+01  8.56627015E-01  7.05822768E+02
 2.47707640E+01  7.79488275E-01  8.68452448E+02
 2.78255940E+01  7.09087710E-01  1.06924755E+03
 3.12571580E+01  6.45046650E-01  1.31720127E+03
 3.51119170E+01  5.85815415E-01  1.62365016E+03
 3.94420610E+01  5.32058110E-01  2.00268410E+03
 4.43062150E+01  4.82656270E-01  2.47177148E+03
 4.97702360E+01  4.37865115E-01  3.05262515E+03
 5.59081020E+01  3.96980195E-01  3.77209282E+03
 6.28029140E+01  3.59921705E-01  4.66351339E+03
 7.05480230E+01  3.26022245E-01  5.76849684E+03
 7.92482900E+01  2.95328515E-01  7.13878238E+03
 8.90215090E+01  2.67412000E-01  8.83840577E+03
 1.00000000E+02  2.42141285E-01  1.09469151E+04
