#   nzt =   1
#    zt = 0.4100E+02
#    wt = 0.1000E+01
#    zp = 0.1000E+01
#    rs =  0.30724100E+01
#    Te =  0.25000000E-01
#   rho =  0.85700000E+01
#  zbar =  0.49083515E+01
#   mep =  100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 0.10000000E-02  0.57672390E+01  0.53494809E-01
 0.11233240E-02  0.60986540E+01  0.56701270E-01
 0.12618569E-02  0.64491247E+01  0.60107302E-01
 0.14174742E-02  0.68171300E+01  0.63726163E-01
 0.15922828E-02  0.72060945E+01  0.67571850E-01
 0.17886495E-02  0.76134757E+01  0.71659660E-01
 0.20092330E-02  0.80437451E+01  0.76005895E-01
 0.22570197E-02  0.84933200E+01  0.80628363E-01
 0.25353645E-02  0.89677222E+01  0.85546079E-01
 0.28480359E-02  0.94622269E+01  0.90779841E-01
 0.31992671E-02  0.99834740E+01  0.96351905E-01
 0.35938137E-02  0.10525743E+02  0.10228655E+00
 0.40370173E-02  0.11096664E+02  0.10860982E+00
 0.45348785E-02  0.11689251E+02  0.11535018E+00
 0.50941380E-02  0.12312311E+02  0.12253821E+00
 0.57223677E-02  0.12956308E+02  0.13020779E+00
 0.64280731E-02  0.13632156E+02  0.13839538E+00
 0.72208090E-02  0.14325761E+02  0.14714217E+00
 0.81113083E-02  0.15051593E+02  0.15649276E+00
 0.91116276E-02  0.15793133E+02  0.16649680E+00
 0.10235310E-01  0.16567078E+02  0.17720820E+00
 0.11497570E-01  0.17356401E+02  0.18868609E+00
 0.12915497E-01  0.18178604E+02  0.20099448E+00
 0.14508288E-01  0.19009877E+02  0.21420603E+00
 0.16297508E-01  0.19872211E+02  0.22840049E+00
 0.18307383E-01  0.20748045E+02  0.24366328E+00
 0.20565123E-01  0.21656963E+02  0.26008703E+00
 0.23101297E-01  0.22592020E+02  0.27776761E+00
 0.25950242E-01  0.23567106E+02  0.29680991E+00
 0.29150531E-01  0.24660249E+02  0.31728443E+00
 0.32745492E-01  0.25843216E+02  0.33923910E+00
 0.36783798E-01  0.26932949E+02  0.36283626E+00
