#   nzt =   1
#    zt = 0.6000E+02
#    wt = 0.1000E+01
#    zp = 0.1000E+01
#    rs =  0.38040200E+01
#    Te =  0.25000000E-01
#   rho =  0.70080000E+01
#  zbar =  0.34842059E+01
#   mep =  100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 0.10000000E-02  0.97337303E+01  0.49192974E-01
 0.11233240E-02  0.10285781E+02  0.52142665E-01
 0.12618569E-02  0.10869258E+02  0.55278111E-01
 0.14174742E-02  0.11479895E+02  0.58612044E-01
 0.15922828E-02  0.12124906E+02  0.62157877E-01
 0.17886495E-02  0.12797853E+02  0.65930359E-01
 0.20092330E-02  0.13508113E+02  0.69945214E-01
 0.22570197E-02  0.14247111E+02  0.74219703E-01
 0.25353645E-02  0.15026370E+02  0.78772262E-01
 0.28480359E-02  0.15835199E+02  0.83623101E-01
 0.31992671E-02  0.16687294E+02  0.88793828E-01
 0.35938137E-02  0.17569344E+02  0.94308197E-01
 0.40370173E-02  0.18497701E+02  0.10019160E+00
 0.45348785E-02  0.19454313E+02  0.10647232E+00
 0.50941380E-02  0.20459947E+02  0.11318066E+00
 0.57223677E-02  0.21491861E+02  0.12035032E+00
 0.64280731E-02  0.22575539E+02  0.12801734E+00
 0.72208090E-02  0.23679181E+02  0.13622264E+00
 0.81113083E-02  0.24836329E+02  0.14501020E+00
 0.91116276E-02  0.26010177E+02  0.15442900E+00
 0.10235310E-01  0.27240149E+02  0.16453139E+00
 0.11497570E-01  0.28471949E+02  0.17537825E+00
 0.12915497E-01  0.29758559E+02  0.18703582E+00
 0.14508288E-01  0.31053175E+02  0.19957535E+00
 0.16297508E-01  0.32407101E+02  0.21307658E+00
 0.18307383E-01  0.33947116E+02  0.22758236E+00
 0.20565123E-01  0.35625226E+02  0.24311516E+00
 0.23101297E-01  0.37081155E+02  0.25980884E+00
 0.25950242E-01  0.38499262E+02  0.27785378E+00
 0.29150531E-01  0.39961688E+02  0.29738208E+00
 0.32745492E-01  0.41493841E+02  0.31849773E+00
 0.36783798E-01  0.42457494E+02  0.34150904E+00
 0.41320124E-01  0.43192028E+02  0.36685235E+00
 0.46415888E-01  0.43614736E+02  0.39494807E+00
 0.52140083E-01  0.43941661E+02  0.42623836E+00
 0.58570208E-01  0.43990129E+02  0.46124090E+00
 0.65793322E-01  0.43929399E+02  0.50056671E+00
 0.73907220E-01  0.43644704E+02  0.54492280E+00
 0.83021757E-01  0.43292827E+02  0.59511850E+00
 0.93260335E-01  0.42832889E+02  0.65204065E+00
 0.10476158E+00  0.42337842E+02  0.71669067E+00
 0.11768120E+00  0.41637859E+02  0.79035015E+00
 0.13219411E+00  0.40832791E+02  0.87462098E+00
 0.14849683E+00  0.39996612E+02  0.97121843E+00
 0.16681005E+00  0.39167487E+02  0.10819912E+01
 0.18738174E+00  0.38183902E+02  0.12093377E+01
 0.21049041E+00  0.37087990E+02  0.13563567E+01
 0.23644894E+00  0.35898723E+02  0.15266981E+01
 0.26560878E+00  0.34657278E+02  0.17246479E+01
 0.29836472E+00  0.33348511E+02  0.19553565E+01
 0.33516027E+00  0.31975786E+02  0.22252106E+01
 0.37649358E+00  0.30627701E+02  0.25415540E+01
 0.42292429E+00  0.29308677E+02  0.29127067E+01
 0.47508102E+00  0.27982881E+02  0.33488616E+01
 0.53366992E+00  0.26631240E+02  0.38629049E+01
 0.59948425E+00  0.25313877E+02  0.44700581E+01
 0.67341507E+00  0.24023286E+02  0.51881831E+01
 0.75646333E+00  0.22774853E+02  0.60386065E+01
 0.84975344E+00  0.21536100E+02  0.70477389E+01
 0.95454846E+00  0.20383222E+02  0.82460805E+01
 0.10722672E+01  0.19303896E+02  0.96677223E+01
 0.12045035E+01  0.18254843E+02  0.11354866E+02
 0.13530478E+01  0.17185855E+02  0.13363976E+02
 0.15199111E+01  0.16192467E+02  0.15760564E+02
 0.17073526E+01  0.15258316E+02  0.18617383E+02
 0.19179103E+01  0.14356759E+02  0.22024536E+02
 0.21544347E+01  0.13425093E+02  0.26105858E+02
 0.24201283E+01  0.12547748E+02  0.31010123E+02
 0.27185882E+01  0.11693063E+02  0.36913989E+02
 0.30538555E+01  0.10899702E+02  0.44029496E+02
 0.34304693E+01  0.10140236E+02  0.52613462E+02
 0.38535286E+01  0.94367088E+01  0.62976028E+02
 0.43287613E+01  0.87658763E+01  0.75497241E+02
 0.48626016E+01  0.81497567E+01  0.90631973E+02
 0.54622772E+01  0.75690831E+01  0.10892834E+03
 0.61359073E+01  0.70306659E+01  0.13105387E+03
 0.68926121E+01  0.65136617E+01  0.15784906E+03
 0.77426368E+01  0.60362409E+01  0.19033108E+03
 0.86974900E+01  0.55788892E+01  0.22976292E+03
 0.97700996E+01  0.51598394E+01  0.27767107E+03
 0.10974988E+02  0.47660536E+01  0.33589842E+03
 0.12328467E+02  0.44031920E+01  0.40669537E+03
 0.13848864E+02  0.40569210E+01  0.49290539E+03
 0.15556761E+02  0.37396530E+01  0.59798048E+03
 0.17475284E+02  0.34388080E+01  0.72619566E+03
 0.19630407E+02  0.31625551E+01  0.88279667E+03
 0.22051307E+02  0.28993478E+01  0.10744082E+04
 0.24770764E+02  0.26594193E+01  0.13091295E+04
 0.27825594E+02  0.24361217E+01  0.15967920E+04
 0.31257158E+02  0.22322739E+01  0.19494714E+04
 0.35111917E+02  0.20421799E+01  0.23822041E+04
 0.39442061E+02  0.18687606E+01  0.29134272E+04
 0.44306215E+02  0.17058100E+01  0.35664254E+04
 0.49770236E+02  0.15574077E+01  0.43699471E+04
 0.55908102E+02  0.14205331E+01  0.53590997E+04
 0.62802914E+02  0.12959862E+01  0.65770843E+04
 0.70548023E+02  0.11806316E+01  0.80779590E+04
 0.79248290E+02  0.10757484E+01  0.99283539E+04
 0.89021509E+02  0.97837620E+00  0.12211909E+05
 0.10000000E+03  0.89000629E+00  0.15032591E+05
