#   nzt =   1
#    zt = 0.1000E+02
#    wt = 0.1000E+01
#    zp = 0.1000E+01
#    rs =  0.39130700E+02
#    Te =  0.25000000E-01
#   rho =  0.90100000E-03
#  zbar =  0.37062478E-14
#   mep =  100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 0.10000000E-02  0.27506252E+01  0.24361660E-01
 0.11233240E-02  0.30030473E+01  0.25798770E-01
 0.12618569E-02  0.32788668E+01  0.27276973E-01
 0.14174742E-02  0.35695565E+01  0.28799955E-01
 0.15922828E-02  0.38809513E+01  0.30372447E-01
 0.17886495E-02  0.42065727E+01  0.31999574E-01
 0.20092330E-02  0.45482783E+01  0.33688020E-01
 0.22570197E-02  0.49059825E+01  0.35444597E-01
 0.25353645E-02  0.52981760E+01  0.37272638E-01
 0.28480359E-02  0.56971265E+01  0.39178270E-01
 0.31992671E-02  0.61314954E+01  0.41168179E-01
 0.35938137E-02  0.65784009E+01  0.43248105E-01
 0.40370173E-02  0.70375602E+01  0.45429328E-01
 0.45348785E-02  0.75326070E+01  0.47719363E-01
 0.50941380E-02  0.80637692E+01  0.50121626E-01
 0.57223677E-02  0.85622194E+01  0.52652895E-01
 0.64280731E-02  0.90903438E+01  0.55331616E-01
 0.72208090E-02  0.96355105E+01  0.58168033E-01
 0.81113083E-02  0.10198495E+02  0.61175430E-01
 0.91116276E-02  0.10718072E+02  0.64378787E-01
 0.10235310E-01  0.11244968E+02  0.67806157E-01
 0.11497570E-01  0.11759452E+02  0.71481651E-01
 0.12915497E-01  0.12258901E+02  0.75435739E-01
 0.14508288E-01  0.12715684E+02  0.79707252E-01
 0.16297508E-01  0.13138558E+02  0.84342408E-01
 0.18307383E-01  0.13520378E+02  0.89392563E-01
 0.20565123E-01  0.13890696E+02  0.94909198E-01
 0.23101297E-01  0.14185500E+02  0.10095914E+00
 0.25950242E-01  0.14433785E+02  0.10762685E+00
 0.29150531E-01  0.14632231E+02  0.11500245E+00
 0.32745492E-01  0.14803586E+02  0.12318276E+00
 0.36783798E-01  0.14895584E+02  0.13229080E+00
 0.41320124E-01  0.14945877E+02  0.14247484E+00
 0.46415888E-01  0.14965050E+02  0.15388995E+00
 0.52140083E-01  0.14984815E+02  0.16669392E+00
 0.58570208E-01  0.14930035E+02  0.18109429E+00
 0.65793322E-01  0.14850331E+02  0.19734496E+00
 0.73907220E-01  0.14730930E+02  0.21572463E+00
 0.83021757E-01  0.14605911E+02  0.23654224E+00
 0.93260335E-01  0.14441367E+02  0.26016119E+00
 0.10476158E+00  0.14262256E+02  0.28700871E+00
 0.11768120E+00  0.14029802E+02  0.31760752E+00
 0.13219411E+00  0.13771928E+02  0.35259174E+00
 0.14849683E+00  0.13507482E+02  0.39264705E+00
 0.16681005E+00  0.13249731E+02  0.43851094E+00
 0.18738174E+00  0.12939129E+02  0.49114736E+00
 0.21049041E+00  0.12591900E+02  0.55180722E+00
 0.23644894E+00  0.12222404E+02  0.62192456E+00
 0.26560878E+00  0.11842830E+02  0.70313683E+00
 0.29836472E+00  0.11430665E+02  0.79746779E+00
 0.33516027E+00  0.10987823E+02  0.90750241E+00
 0.37649358E+00  0.10555443E+02  0.10361454E+01
 0.42292429E+00  0.10134152E+02  0.11865854E+01
 0.47508102E+00  0.96843036E+01  0.13629863E+01
 0.53366992E+00  0.91956343E+01  0.15710602E+01
 0.59948425E+00  0.87119980E+01  0.18175229E+01
 0.67341507E+00  0.82288750E+01  0.21101906E+01
 0.75646333E+00  0.77458989E+01  0.24588148E+01
 0.84975344E+00  0.72477149E+01  0.28762133E+01
 0.95454846E+00  0.67741276E+01  0.33776504E+01
 0.10722672E+01  0.63183444E+01  0.39809366E+01
 0.12045035E+01  0.58817377E+01  0.47081589E+01
 0.13530478E+01  0.54533367E+01  0.55876208E+01
 0.15199111E+01  0.50517145E+01  0.66536666E+01
 0.17073526E+01  0.46701166E+01  0.79477998E+01
