#   nzt =   1
#    zt = 0.2800E+02
#    wt = 0.1000E+01
#    zp = 0.1000E+01
#    rs =  0.26036600E+01
#    Te =  0.25000000E-01
#   rho =  0.88960000E+01
#  zbar =  0.44841140E+01
#   mep =  100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 0.10000000E-02  0.36246624E+01  0.53766737E-01
 0.11233240E-02  0.38337346E+01  0.56989161E-01
 0.12618569E-02  0.40548710E+01  0.60411464E-01
 0.14174742E-02  0.42872741E+01  0.64046809E-01
 0.15922828E-02  0.45329714E+01  0.67909100E-01
 0.17886495E-02  0.47907056E+01  0.72013438E-01
 0.20092330E-02  0.50630128E+01  0.76375911E-01
 0.22570197E-02  0.53482185E+01  0.81013959E-01
 0.25353645E-02  0.56493291E+01  0.85946191E-01
 0.28480359E-02  0.59640782E+01  0.91192866E-01
 0.31992671E-02  0.62960779E+01  0.96775636E-01
 0.35938137E-02  0.66424548E+01  0.10271808E+00
 0.40370173E-02  0.70074354E+01  0.10904545E+00
 0.45348785E-02  0.73875574E+01  0.11578521E+00
 0.50941380E-02  0.77876388E+01  0.12296682E+00
 0.57223677E-02  0.82025987E+01  0.13062288E+00
 0.64280731E-02  0.86385777E+01  0.13878842E+00
 0.72208090E-02  0.90879813E+01  0.14750280E+00
 0.81113083E-02  0.95589274E+01  0.15680860E+00
 0.91116276E-02  0.10042651E+02  0.16675289E+00
 0.10235310E-01  0.10548369E+02  0.17738674E+00
 0.11497570E-01  0.11068257E+02  0.18876526E+00
 0.12915497E-01  0.11611139E+02  0.20094791E+00
 0.14508288E-01  0.12167042E+02  0.21400057E+00
 0.16297508E-01  0.12746100E+02  0.22799482E+00
 0.18307383E-01  0.13337332E+02  0.24300959E+00
 0.20565123E-01  0.13952019E+02  0.25913089E+00
 0.23101297E-01  0.14584488E+02  0.27644904E+00
 0.25950242E-01  0.15244272E+02  0.29506060E+00
 0.29150531E-01  0.15933000E+02  0.31506346E+00
 0.32745492E-01  0.16657448E+02  0.33655947E+00
 0.36783798E-01  0.17425650E+02  0.35964938E+00
 0.41320124E-01  0.18241433E+02  0.38444479E+00
 0.46415888E-01  0.19271600E+02  0.41093237E+00
 0.52140083E-01  0.20458835E+02  0.43899620E+00
 0.58570208E-01  0.21379774E+02  0.46891589E+00
 0.65793322E-01  0.22162667E+02  0.50121785E+00
 0.73907220E-01  0.22777696E+02  0.53638078E+00
 0.83021757E-01  0.23307040E+02  0.57489356E+00
 0.93260335E-01  0.23593133E+02  0.61740506E+00
 0.10476158E+00  0.23735673E+02  0.66472738E+00
 0.11768120E+00  0.23640246E+02  0.71784044E+00
 0.13219411E+00  0.23398189E+02  0.77795309E+00
 0.14849683E+00  0.23082025E+02  0.84630500E+00
 0.16681005E+00  0.22727021E+02  0.92420705E+00
 0.18738174E+00  0.22277969E+02  0.10132824E+01
 0.21049041E+00  0.21761715E+02  0.11155456E+01
 0.23644894E+00  0.21184103E+02  0.12333592E+01
 0.26560878E+00  0.20569068E+02  0.13694877E+01
 0.29836472E+00  0.19906119E+02  0.15272393E+01
 0.33516027E+00  0.19202410E+02  0.17106807E+01
 0.37649358E+00  0.18521454E+02  0.19243321E+01
 0.42292429E+00  0.17864169E+02  0.21731176E+01
 0.47508102E+00  0.17174123E+02  0.24633033E+01
 0.53366992E+00  0.16438634E+02  0.28031859E+01
 0.59948425E+00  0.15721261E+02  0.32022782E+01
 0.67341507E+00  0.15016230E+02  0.36713076E+01
 0.75646333E+00  0.14304907E+02  0.42235726E+01
 0.84975344E+00  0.13559462E+02  0.48765886E+01
 0.95454846E+00  0.12852497E+02  0.56505714E+01
 0.10722672E+01  0.12173622E+02  0.65680208E+01
 0.12045035E+01  0.11492687E+02  0.76575976E+01
 0.13530478E+01  0.10770178E+02  0.89592520E+01
 0.15199111E+01  0.10080552E+02  0.10520671E+02
 0.17073526E+01  0.94065474E+01  0.12397674E+02
 0.19179103E+01  0.87690135E+01  0.14658215E+02
 0.21544347E+01  0.81466734E+01  0.17387240E+02
 0.24201283E+01  0.75664200E+01  0.20687518E+02
 0.27185882E+01  0.70147897E+01  0.24683126E+02
 0.30538555E+01  0.65059570E+01  0.29523425E+02
 0.34304693E+01  0.60282425E+01  0.35388790E+02
 0.38535286E+01  0.55843756E+01  0.42499753E+02
 0.43287613E+01  0.51610345E+01  0.51134012E+02
 0.48626016E+01  0.47738355E+01  0.61624512E+02
 0.54622772E+01  0.44148810E+01  0.74365291E+02
 0.61359073E+01  0.40819281E+01  0.89840723E+02
 0.68926121E+01  0.37638211E+01  0.10867018E+03
 0.77426368E+01  0.34695677E+01  0.13161089E+03
