#   nzt =   1
#    zt = 0.2800E+02
#    wt = 0.1000E+01
#    zp = 0.1000E+01
#    rs =  0.26478800E+01
#    Te =  0.25000000E-01
#   rho =  0.84571700E+01
#  zbar =  0.22688446E+01
#   mep =  100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 0.10000000E-02  0.36194749E+01  0.53852971E-01
 0.11233240E-02  0.38330007E+01  0.57078532E-01
 0.12618569E-02  0.40589508E+01  0.60499989E-01
 0.14174742E-02  0.42964666E+01  0.64130207E-01
 0.15922828E-02  0.45478457E+01  0.67982674E-01
 0.17886495E-02  0.48116085E+01  0.72072057E-01
 0.20092330E-02  0.50907731E+01  0.76413866E-01
 0.22570197E-02  0.53831734E+01  0.81024972E-01
 0.25353645E-02  0.56925424E+01  0.85923274E-01
 0.28480359E-02  0.60159956E+01  0.91128257E-01
 0.31992671E-02  0.63579612E+01  0.96660682E-01
 0.35938137E-02  0.67149132E+01  0.10254312E+00
 0.40370173E-02  0.70919147E+01  0.10879969E+00
 0.45348785E-02  0.74846235E+01  0.11545671E+00
 0.50941380E-02  0.78989053E+01  0.12254234E+00
 0.57223677E-02  0.83288966E+01  0.13008768E+00
 0.64280731E-02  0.87818450E+01  0.13812603E+00
 0.72208090E-02  0.92490806E+01  0.14669486E+00
 0.81113083E-02  0.97402352E+01  0.15583452E+00
 0.91116276E-02  0.10245162E+02  0.16558961E+00
 0.10235310E-01  0.10775138E+02  0.17600815E+00
 0.11497570E-01  0.11319568E+02  0.18714248E+00
 0.12915497E-01  0.11890669E+02  0.19904856E+00
 0.14508288E-01  0.12473361E+02  0.21178958E+00
 0.16297508E-01  0.13083144E+02  0.22543419E+00
 0.18307383E-01  0.13709969E+02  0.24005420E+00
 0.20565123E-01  0.14367070E+02  0.25572651E+00
 0.23101297E-01  0.15050883E+02  0.27252928E+00
 0.25950242E-01  0.15769916E+02  0.29054832E+00
 0.29150531E-01  0.16583202E+02  0.30983199E+00
 0.32745492E-01  0.17465578E+02  0.33040583E+00
 0.36783798E-01  0.18271673E+02  0.35242117E+00
 0.41320124E-01  0.19062321E+02  0.37610185E+00
 0.46415888E-01  0.19919141E+02  0.40158222E+00
 0.52140083E-01  0.20833665E+02  0.42894114E+00
 0.58570208E-01  0.21486351E+02  0.45852815E+00
 0.65793322E-01  0.22008205E+02  0.49087162E+00
 0.73907220E-01  0.22338349E+02  0.52651269E+00
 0.83021757E-01  0.22582718E+02  0.56604220E+00
 0.93260335E-01  0.22703084E+02  0.61009470E+00
 0.10476158E+00  0.22764949E+02  0.65938261E+00
 0.11768120E+00  0.22719233E+02  0.71473350E+00
 0.13219411E+00  0.22615466E+02  0.77712524E+00
 0.14849683E+00  0.22478163E+02  0.84759216E+00
 0.16681005E+00  0.22322540E+02  0.92725875E+00
 0.18738174E+00  0.22089510E+02  0.10175302E+01
 0.21049041E+00  0.21788024E+02  0.11201720E+01
 0.23644894E+00  0.21408059E+02  0.12372969E+01
 0.26560878E+00  0.20959791E+02  0.13714378E+01
 0.29836472E+00  0.20420582E+02  0.15257215E+01
 0.33516027E+00  0.19793487E+02  0.17040967E+01
 0.37649358E+00  0.19133025E+02  0.19111278E+01
 0.42292429E+00  0.18447782E+02  0.21519985E+01
 0.47508102E+00  0.17693643E+02  0.24333491E+01
 0.53366992E+00  0.16871158E+02  0.27639203E+01
 0.59948425E+00  0.16053645E+02  0.31538285E+01
 0.67341507E+00  0.15247252E+02  0.36145393E+01
 0.75646333E+00  0.14435959E+02  0.41602368E+01
