#   nzt =   1
#    zt = 0.1600E+02
#    wt = 0.1000E+01
#    zp = 0.1000E+01
#    rs =  0.28287600E+01
#    Te =  0.25000000E-01
#   rho =  0.55000000E+01
#  zbar =  0.49439788E+01
#   mep =  100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 0.10000000E-02  0.43481377E+01  0.24483718E-01
 0.11233240E-02  0.45972124E+01  0.25951393E-01
 0.12618569E-02  0.48605613E+01  0.27510682E-01
 0.14174742E-02  0.51369376E+01  0.29167706E-01
 0.15922828E-02  0.54289941E+01  0.30928929E-01
 0.17886495E-02  0.57348070E+01  0.32801397E-01
 0.20092330E-02  0.60577358E+01  0.34792626E-01
 0.22570197E-02  0.63951917E+01  0.36910800E-01
 0.25353645E-02  0.67512241E+01  0.39164661E-01
 0.28480359E-02  0.71223889E+01  0.41563766E-01
 0.31992671E-02  0.75135697E+01  0.44118344E-01
 0.35938137E-02  0.79205274E+01  0.46839564E-01
 0.40370173E-02  0.83489267E+01  0.49739399E-01
 0.45348785E-02  0.87936534E+01  0.52830937E-01
 0.50941380E-02  0.92612019E+01  0.56128215E-01
 0.57223677E-02  0.97442901E+01  0.59646853E-01
 0.64280731E-02  0.10251173E+02  0.63403652E-01
 0.72208090E-02  0.10770937E+02  0.67417648E-01
 0.81113083E-02  0.11314673E+02  0.71709477E-01
 0.91116276E-02  0.11869764E+02  0.76302090E-01
 0.10235310E-01  0.12448914E+02  0.81220436E-01
 0.11497570E-01  0.13040219E+02  0.86491638E-01
 0.12915497E-01  0.13656285E+02  0.92145008E-01
 0.14508288E-01  0.14281217E+02  0.98213478E-01
 0.16297508E-01  0.14930185E+02  0.10473302E+00
 0.18307383E-01  0.15588627E+02  0.11174287E+00
 0.20565123E-01  0.16271681E+02  0.11928577E+00
 0.23101297E-01  0.16972736E+02  0.12740621E+00
 0.25950242E-01  0.17702943E+02  0.13615236E+00
 0.29150531E-01  0.18489598E+02  0.14556568E+00
 0.32745492E-01  0.19326956E+02  0.15568425E+00
 0.36783798E-01  0.20159881E+02  0.16656934E+00
 0.41320124E-01  0.21015337E+02  0.17830118E+00
 0.46415888E-01  0.22101305E+02  0.19088905E+00
 0.52140083E-01  0.23350386E+02  0.20428585E+00
 0.58570208E-01  0.24174526E+02  0.21866969E+00
 0.65793322E-01  0.24765598E+02  0.23436420E+00
 0.73907220E-01  0.25050940E+02  0.25168879E+00
 0.83021757E-01  0.25177341E+02  0.27099060E+00
 0.93260335E-01  0.25012038E+02  0.29269342E+00
 0.10476158E+00  0.24682386E+02  0.31731683E+00
 0.11768120E+00  0.24097906E+02  0.34550110E+00
 0.13219411E+00  0.23358329E+02  0.37805775E+00
 0.14849683E+00  0.22545531E+02  0.41587642E+00
 0.16681005E+00  0.21703671E+02  0.45994905E+00
 0.18738174E+00  0.20807028E+02  0.51148577E+00
 0.21049041E+00  0.19879208E+02  0.57197759E+00
 0.23644894E+00  0.18910129E+02  0.64326081E+00
 0.26560878E+00  0.17922274E+02  0.72760916E+00
 0.29836472E+00  0.16959854E+02  0.82766728E+00
 0.33516027E+00  0.16021100E+02  0.94656042E+00
 0.37649358E+00  0.15134506E+02  0.10879482E+01
 0.42292429E+00  0.14296338E+02  0.12560692E+01
 0.47508102E+00  0.13487735E+02  0.14561119E+01
 0.53366992E+00  0.12703669E+02  0.16945077E+01
 0.59948425E+00  0.11954746E+02  0.19789646E+01
 0.67341507E+00  0.11238708E+02  0.23187005E+01
 0.75646333E+00  0.10558962E+02  0.27247633E+01
 0.84975344E+00  0.99049940E+01  0.32106795E+01
 0.95454846E+00  0.92908469E+01  0.37925978E+01
 0.10722672E+01  0.87111239E+01  0.44896226E+01
 0.12045035E+01  0.81618408E+01  0.53249157E+01
 0.13530478E+01  0.76262201E+01  0.63278593E+01
 0.15199111E+01  0.71243297E+01  0.75337773E+01
 0.17073526E+01  0.66479707E+01  0.89846240E+01
 0.19179103E+01  0.61949078E+01  0.10732086E+02
 0.21544347E+01  0.57458360E+01  0.12843957E+02
 0.24201283E+01  0.53266720E+01  0.15402434E+02
 0.27185882E+01  0.49273936E+01  0.18506166E+02
 0.30538555E+01  0.45552759E+01  0.22276049E+02
 0.34304693E+01  0.41987500E+01  0.26864074E+02
 0.38535286E+01  0.38674881E+01  0.32457217E+02
 0.43287613E+01  0.35521628E+01  0.39289091E+02
 0.48626016E+01  0.32631424E+01  0.47644269E+02
 0.54622772E+01  0.29950970E+01  0.57865599E+02
 0.61359073E+01  0.27482548E+01  0.70375882E+02
 0.68926121E+01  0.25164505E+01  0.85708653E+02
 0.77426368E+01  0.23037013E+01  0.10452021E+03
 0.86974900E+01  0.21047981E+01  0.12762823E+03
 0.97700996E+01  0.19234188E+01  0.15603705E+03
 0.10974988E+02  0.17567257E+01  0.19096878E+03
 0.12328467E+02  0.16045363E+01  0.23392922E+03
 0.13848864E+02  0.14640526E+01  0.28679422E+03
 0.15556761E+02  0.13359949E+01  0.35187303E+03
 0.17475284E+02  0.12182705E+01  0.43201400E+03
 0.19630407E+02  0.11105307E+01  0.53074208E+03
 0.22051307E+02  0.10093748E+01  0.65260045E+03
 0.24770764E+02  0.91758714E+00  0.80320623E+03
 0.27825594E+02  0.83429657E+00  0.98928876E+03
 0.31257158E+02  0.75852188E+00  0.12191798E+04
 0.35111917E+02  0.68887957E+00  0.15033859E+04
 0.39442061E+02  0.62553801E+00  0.18549096E+04
 0.44306215E+02  0.56669358E+00  0.22903275E+04
 0.49770236E+02  0.51342548E+00  0.28302614E+04
 0.55908102E+02  0.46539022E+00  0.34995287E+04
 0.62802914E+02  0.42183039E+00  0.43288581E+04
 0.70548023E+02  0.38170588E+00  0.53576102E+04
 0.79248290E+02  0.34541541E+00  0.66347723E+04
 0.89021509E+02  0.31271495E+00  0.82197832E+04
 0.10000000E+03  0.28311535E+00  0.10186544E+05
