#   nzt = 2
#    zt = 2.8000E+01 1.6000E+01
#    wt = 1.0000E+00 1.0000E+00
#    zp = 1.0000E+00
#    rs =  2.80078500E+00
#    Te =  2.50000000E-02
#   rho =  5.50000000E+00
#  zbar =  2.59274690E+00
#   mep = 100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 1.00000000E-03  4.31386790E+00  3.28181327E-02
 1.12332400E-03  4.56121600E+00  3.49240102E-02
 1.26185690E-03  4.82275235E+00  3.71613132E-02
 1.41747420E-03  5.09724935E+00  3.95387189E-02
 1.59228280E-03  5.38733420E+00  4.20655095E-02
 1.78864950E-03  5.69095775E+00  4.47517875E-02
 2.00923300E-03  6.01157460E+00  4.76083881E-02
 2.25701970E-03  6.34626520E+00  5.06471010E-02
 2.53536450E-03  6.69933985E+00  5.38806050E-02
 2.84803590E-03  7.06698780E+00  5.73226943E-02
 3.19926710E-03  7.45437760E+00  6.09882325E-02
 3.59381370E-03  7.85690245E+00  6.48933694E-02
 4.03701730E-03  8.28049985E+00  6.90555312E-02
 4.53487850E-03  8.71950815E+00  7.34937180E-02
 5.09413800E-03  9.18081115E+00  7.82284863E-02
 5.72236770E-03  9.65679355E+00  8.32824902E-02
 6.42807310E-03  1.01559413E+01  8.86803460E-02
 7.22080900E-03  1.06670494E+01  9.44496512E-02
 8.11130830E-03  1.12014162E+01  1.00620600E-01
 9.11162760E-03  1.17459010E+01  1.07226606E-01
 1.02353100E-02  1.23136860E+01  1.14304220E-01
 1.14975700E-02  1.28909605E+01  1.21893493E-01
 1.29154970E-02  1.34919940E+01  1.30037965E-01
 1.45082880E-02  1.40974185E+01  1.38786708E-01
 1.62975080E-02  1.47257430E+01  1.48193702E-01
 1.83073830E-02  1.53643995E+01  1.58315809E-01
 2.05651230E-02  1.60299400E+01  1.69213819E-01
 2.31012970E-02  1.67194655E+01  1.80949235E-01
 2.59502420E-02  1.74455005E+01  1.93585409E-01
 2.91505310E-02  1.82891990E+01  2.07156563E-01
 3.27454920E-02  1.92219190E+01  2.21680493E-01
 3.67837980E-02  2.00560580E+01  2.37261408E-01
 4.13201240E-02  2.08741945E+01  2.54056366E-01
 4.64158880E-02  2.17698430E+01  2.72164150E-01
 5.21400830E-02  2.27391605E+01  2.91654281E-01
 5.85702080E-02  2.33968980E+01  3.12775804E-01
 6.57933220E-02  2.38957655E+01  3.35921453E-01
 7.39072200E-02  2.41536235E+01  3.61512791E-01
 8.30217570E-02  2.42910885E+01  3.90025998E-01
 9.32603350E-02  2.42442005E+01  4.21997618E-01
 1.04761580E-01  2.40909810E+01  4.58063368E-01
 1.17681200E-01  2.37503145E+01  4.99001817E-01
 1.32194110E-01  2.32895240E+01  5.45776612E-01
 1.48496830E-01  2.27603745E+01  5.99452449E-01
 1.66810050E-01  2.21912170E+01  6.61223967E-01
 1.87381740E-01  2.15326910E+01  7.32568976E-01
 2.10490410E-01  2.08075440E+01  8.15338840E-01
 2.36448940E-01  2.00184850E+01  9.11774019E-01
 2.65608780E-01  1.91902330E+01  1.02457884E+00
 2.98364720E-01  1.83509080E+01  1.15693090E+00
 3.35160270E-01  1.75059240E+01  1.31259651E+00
 3.76493580E-01  1.66894070E+01  1.49595620E+00
 4.22924290E-01  1.59039935E+01  1.71205493E+00
 4.75081020E-01  1.51275620E+01  1.96703581E+00
 5.33669920E-01  1.43517860E+01  2.26856232E+00
 5.99484250E-01  1.36063125E+01  2.62570807E+00
 6.73415070E-01  1.28874070E+01  3.04908473E+00
 7.56463330E-01  1.21887335E+01  3.55158183E+00
 8.49753440E-01  1.14907500E+01  4.14939518E+00
 9.54548460E-01  1.08382418E+01  4.86153402E+00
 1.07226720E+00  1.02225987E+01  5.70968194E+00
 1.20450350E+00  9.62074065E+00  6.72097016E+00
 1.35304780E+00  9.00355255E+00  7.93154951E+00
 1.51991110E+00  8.42250230E+00  9.38494058E+00
 1.70735260E+00  7.86502300E+00  1.11317981E+01
 1.91791030E+00  7.33575345E+00  1.32344842E+01
 2.15443470E+00  6.81312825E+00  1.57724423E+01
 2.42012830E+00  6.32627180E+00  1.88424296E+01
 2.71858820E+00  5.86216040E+00  2.25603443E+01
 3.05385550E+00  5.43226445E+00  2.70673491E+01
 3.43046930E+00  5.02402975E+00  3.25363764E+01
 3.85352860E+00  4.64511880E+00  3.91800888E+01
 4.32876130E+00  4.28383560E+00  4.72625161E+01
 4.86260160E+00  3.95296955E+00  5.71043350E+01
 5.46227720E+00  3.64567730E+00  6.90886433E+01
 6.13590730E+00  3.36137005E+00  8.36877650E+01
 6.89261210E+00  3.09112320E+00  1.01498483E+02
 7.74263680E+00  2.84221490E+00  1.23256340E+02
 8.69749000E+00  2.60701570E+00  1.49871265E+02
 9.77009960E+00  2.39171225E+00  1.82462545E+02
 1.09749880E+01  2.19168965E+00  2.22392759E+02
 1.23284670E+01  2.00819800E+00  2.71343596E+02
 1.38488640E+01  1.83653120E+00  3.31415441E+02
 1.55567610E+01  1.67978630E+00  4.05197427E+02
 1.74752840E+01  1.53495180E+00  4.95857337E+02
 1.96304070E+01  1.40224355E+00  6.07323166E+02
 2.20513070E+01  1.27735425E+00  7.44588149E+02
 2.47707640E+01  1.16381060E+00  9.13838629E+02
 2.78255940E+01  1.06005341E+00  1.12254172E+03
 3.12571580E+01  9.65551985E-01  1.37993054E+03
 3.51119170E+01  8.78277075E-01  1.69758382E+03
 3.94420610E+01  7.98900930E-01  2.08986785E+03
 4.43062150E+01  7.25529380E-01  2.57471641E+03
 4.97702360E+01  6.58952915E-01  3.17440705E+03
