#   nzt =   1
#    zt = 0.2800E+02
#    wt = 0.1000E+01
#    zp = 0.1000E+01
#    rs =  0.25981700E+01
#    Te =  0.25000000E-01
#   rho =  0.56600000E+01
#  zbar =  0.24638793E+01
#   mep =  100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 0.10000000E-02  0.34501953E+01  0.56485577E-01
 0.11233240E-02  0.36487359E+01  0.59871172E-01
 0.12618569E-02  0.38587078E+01  0.63467222E-01
 0.14174742E-02  0.40792700E+01  0.67287656E-01
 0.15922828E-02  0.43124162E+01  0.71347180E-01
 0.17886495E-02  0.45567545E+01  0.75661833E-01
 0.20092330E-02  0.48148564E+01  0.80248703E-01
 0.22570197E-02  0.50847671E+01  0.85126420E-01
 0.25353645E-02  0.53696396E+01  0.90314867E-01
 0.28480359E-02  0.56668913E+01  0.95835752E-01
 0.31992671E-02  0.59803024E+01  0.10171229E+00
 0.35938137E-02  0.63067216E+01  0.10796979E+00
 0.40370173E-02  0.66505032E+01  0.11463536E+00
 0.45348785E-02  0.70078174E+01  0.12173859E+00
 0.50941380E-02  0.73836665E+01  0.12931123E+00
 0.57223677E-02  0.77727273E+01  0.13738844E+00
 0.64280731E-02  0.81812367E+01  0.14600800E+00
 0.72208090E-02  0.86012518E+01  0.15521252E+00
 0.81113083E-02  0.90410608E+01  0.16504812E+00
 0.91116276E-02  0.94913526E+01  0.17556601E+00
 0.10235310E-01  0.99616841E+01  0.18682178E+00
 0.11497570E-01  0.10442711E+02  0.19887613E+00
 0.12915497E-01  0.10944338E+02  0.21179467E+00
 0.14508288E-01  0.11453773E+02  0.22565132E+00
 0.16297508E-01  0.11983560E+02  0.24052669E+00
 0.18307383E-01  0.12524172E+02  0.25650692E+00
 0.20565123E-01  0.13088312E+02  0.27368409E+00
 0.23101297E-01  0.13673925E+02  0.29215113E+00
 0.25950242E-01  0.14292590E+02  0.31200519E+00
 0.29150531E-01  0.14983317E+02  0.33331167E+00
 0.32745492E-01  0.15739838E+02  0.35611269E+00
 0.36783798E-01  0.16487393E+02  0.38052821E+00
 0.41320124E-01  0.17265958E+02  0.40672524E+00
 0.46415888E-01  0.18197128E+02  0.43473896E+00
 0.52140083E-01  0.19249593E+02  0.46451204E+00
 0.58570208E-01  0.20047816E+02  0.49636693E+00
 0.65793322E-01  0.20720822E+02  0.53086433E+00
 0.73907220E-01  0.21198549E+02  0.56855807E+00
 0.83021757E-01  0.21577079E+02  0.61005583E+00
 0.93260335E-01  0.21793402E+02  0.65603663E+00
 0.10476158E+00  0.21913800E+02  0.70729248E+00
 0.11768120E+00  0.21892496E+02  0.76474437E+00
 0.13219411E+00  0.21775985E+02  0.82949631E+00
 0.14849683E+00  0.21588178E+02  0.90275331E+00
 0.16681005E+00  0.21351769E+02  0.98585382E+00
 0.18738174E+00  0.21022743E+02  0.10804503E+01
 0.21049041E+00  0.20619393E+02  0.11885897E+01
 0.23644894E+00  0.20142774E+02  0.13127002E+01
 0.26560878E+00  0.19614011E+02  0.14556494E+01
 0.29836472E+00  0.19025484E+02  0.16208814E+01
 0.33516027E+00  0.18387649E+02  0.18126192E+01
 0.37649358E+00  0.17758464E+02  0.20355809E+01
 0.42292429E+00  0.17143278E+02  0.22949326E+01
 0.47508102E+00  0.16492115E+02  0.25972150E+01
