#   nzt =   1
#    zt = 0.1400E+02
#    wt = 0.1000E+01
#    zp = 0.1000E+01
#    rs =  0.27921300E+01
#    Te =  0.25000000E-01
#   rho =  0.56600000E+01
#  zbar =  0.35568260E+01
#   mep =  100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 0.10000000E-02  0.41126743E+01  0.22680079E-01
 0.11233240E-02  0.43474157E+01  0.24039769E-01
 0.12618569E-02  0.45955580E+01  0.25484612E-01
 0.14174742E-02  0.48558146E+01  0.27020334E-01
 0.15922828E-02  0.51307687E+01  0.28652979E-01
 0.17886495E-02  0.54184641E+01  0.30389151E-01
 0.20092330E-02  0.57221701E+01  0.32235889E-01
 0.22570197E-02  0.60392389E+01  0.34200878E-01
 0.25353645E-02  0.63736341E+01  0.36292333E-01
 0.28480359E-02  0.67218494E+01  0.38519248E-01
 0.31992671E-02  0.70886640E+01  0.40891259E-01
 0.35938137E-02  0.74698559E+01  0.43418891E-01
 0.40370173E-02  0.78708956E+01  0.46113438E-01
 0.45348785E-02  0.82867442E+01  0.48987254E-01
 0.50941380E-02  0.87236156E+01  0.52053603E-01
 0.57223677E-02  0.91743013E+01  0.55327286E-01
 0.64280731E-02  0.96467195E+01  0.58824247E-01
 0.72208090E-02  0.10129843E+02  0.62562654E-01
 0.81113083E-02  0.10634479E+02  0.66562262E-01
 0.91116276E-02  0.11147813E+02  0.70845141E-01
 0.10235310E-01  0.11682224E+02  0.75435373E-01
 0.11497570E-01  0.12225460E+02  0.80359273E-01
 0.12915497E-01  0.12789729E+02  0.85645405E-01
 0.14508288E-01  0.13358284E+02  0.91326178E-01
 0.16297508E-01  0.13945990E+02  0.97437259E-01
 0.18307383E-01  0.14538137E+02  0.10401766E+00
 0.20565123E-01  0.15148942E+02  0.11111017E+00
 0.23101297E-01  0.15771734E+02  0.11875958E+00
 0.25950242E-01  0.16416382E+02  0.12701471E+00
 0.29150531E-01  0.17106297E+02  0.13591898E+00
 0.32745492E-01  0.17835733E+02  0.14551379E+00
 0.36783798E-01  0.18561141E+02  0.15586064E+00
 0.41320124E-01  0.19304529E+02  0.16703980E+00
 0.46415888E-01  0.20323089E+02  0.17904242E+00
 0.52140083E-01  0.21527810E+02  0.19178769E+00
 0.58570208E-01  0.22209649E+02  0.20547647E+00
 0.65793322E-01  0.22602713E+02  0.22048848E+00
 0.73907220E-01  0.22583209E+02  0.23721862E+00
 0.83021757E-01  0.22339918E+02  0.25612764E+00
 0.93260335E-01  0.21832791E+02  0.27773734E+00
 0.10476158E+00  0.21186193E+02  0.30267162E+00
 0.11768120E+00  0.20429973E+02  0.33163302E+00
 0.13219411E+00  0.19622037E+02  0.36544297E+00
 0.14849683E+00  0.18779399E+02  0.40506170E+00
 0.16681005E+00  0.17933999E+02  0.45162213E+00
 0.18738174E+00  0.17123541E+02  0.50639994E+00
 0.21049041E+00  0.16353365E+02  0.57082774E+00
 0.23644894E+00  0.15570106E+02  0.64672347E+00
 0.26560878E+00  0.14789807E+02  0.73638389E+00
 0.29836472E+00  0.14035218E+02  0.84247128E+00
 0.33516027E+00  0.13304502E+02  0.96813582E+00
 0.37649358E+00  0.12629069E+02  0.11169573E+01
 0.42292429E+00  0.12003069E+02  0.12929300E+01
 0.47508102E+00  0.11388362E+02  0.15010750E+01
 0.53366992E+00  0.10782905E+02  0.17477979E+01
 0.59948425E+00  0.10211565E+02  0.20404936E+01
 0.67341507E+00  0.96669281E+01  0.23877210E+01
 0.75646333E+00  0.91380184E+01  0.28000066E+01
 0.84975344E+00  0.86127560E+01  0.32907376E+01
 0.95454846E+00  0.81179291E+01  0.38756319E+01
 0.10722672E+01  0.76467253E+01  0.45728824E+01
 0.12045035E+01  0.71917089E+01  0.54049105E+01
 0.13530478E+01  0.67363875E+01  0.64008580E+01
 0.15199111E+01  0.63051057E+01  0.75957689E+01
 0.17073526E+01  0.58904724E+01  0.90311621E+01
 0.19179103E+01  0.54917282E+01  0.10758556E+02
 0.21544347E+01  0.50909463E+01  0.12846274E+02
 0.24201283E+01  0.47143985E+01  0.15377551E+02
 0.27185882E+01  0.43523187E+01  0.18453226E+02
 0.30538555E+01  0.40161464E+01  0.22196537E+02
 0.34304693E+01  0.36986622E+01  0.26758160E+02
 0.38535286E+01  0.34033340E+01  0.32324190E+02
 0.43287613E+01  0.31222184E+01  0.39130593E+02
 0.48626016E+01  0.28655476E+01  0.47463656E+02
 0.54622772E+01  0.26301117E+01  0.57662260E+02
 0.61359073E+01  0.24133437E+01  0.70144553E+02
 0.68926121E+01  0.22099207E+01  0.85442664E+02
 0.77426368E+01  0.20235167E+01  0.10420941E+03
 0.86974900E+01  0.18499320E+01  0.12725223E+03
 0.97700996E+01  0.16913378E+01  0.15556445E+03
 0.10974988E+02  0.15447883E+01  0.19036954E+03
 0.12328467E+02  0.14110761E+01  0.23317293E+03
 0.13848864E+02  0.12878421E+01  0.28583569E+03
 0.15556761E+02  0.11754933E+01  0.35065005E+03
 0.17475284E+02  0.10724299E+01  0.43043485E+03
 0.19630407E+02  0.97798279E+00  0.52867900E+03
 0.22051307E+02  0.88906826E+00  0.64990469E+03
 0.24770764E+02  0.80827566E+00  0.79970841E+03
 0.27825594E+02  0.73472771E+00  0.98481892E+03
 0.31257158E+02  0.66779627E+00  0.12135747E+04
 0.35111917E+02  0.60633300E+00  0.14964542E+04
 0.39442061E+02  0.55042708E+00  0.18464359E+04
 0.44306215E+02  0.49866353E+00  0.22799911E+04
 0.49770236E+02  0.45178341E+00  0.28176047E+04
 0.55908102E+02  0.40947695E+00  0.34840345E+04
 0.62802914E+02  0.37110707E+00  0.43099341E+04
 0.70548023E+02  0.33574374E+00  0.53345922E+04
 0.79248290E+02  0.30376235E+00  0.66069295E+04
 0.89021509E+02  0.27497561E+00  0.81861889E+04
 0.10000000E+03  0.24891989E+00  0.10146020E+05
