#   nzt = 2
#    zt = 2.8000E+01 1.4000E+01
#    wt = 1.0000E+00 1.0000E+00
#    zp = 1.0000E+00
#    rs =  2.74090000E+00
#    Te =  2.50000000E-02
#   rho =  5.66000000E+00
#  zbar =  3.94360660E+00
#   mep = 100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 1.00000000E-03  4.03753220E+00  3.35256775E-02
 1.12332400E-03  4.26899595E+00  3.56772651E-02
 1.26185690E-03  4.51373720E+00  3.79631514E-02
 1.41747420E-03  4.77063965E+00  4.03921948E-02
 1.59228280E-03  5.04213605E+00  4.29738696E-02
 1.78864950E-03  5.32645105E+00  4.57184581E-02
 2.00923300E-03  5.62670155E+00  4.86369820E-02
 2.25701970E-03  5.94044005E+00  5.17413940E-02
 2.53536450E-03  6.27147185E+00  5.50445352E-02
 2.84803590E-03  6.61656305E+00  5.85603572E-02
 3.19926710E-03  6.98029180E+00  6.23038767E-02
 3.59381370E-03  7.35874055E+00  6.62913837E-02
 4.03701730E-03  7.75717495E+00  7.05404320E-02
 4.53487850E-03  8.17087755E+00  7.50700940E-02
 5.09413800E-03  8.60588040E+00  7.99009638E-02
 5.72236770E-03  9.05555495E+00  8.50557341E-02
 6.42807310E-03  9.52750770E+00  9.05590262E-02
 7.22080900E-03  1.00117481E+01  9.64384247E-02
 8.11130830E-03  1.05185236E+01  1.02724071E-01
 9.11162760E-03  1.10362003E+01  1.09449237E-01
 1.02353100E-02  1.15765960E+01  1.16650279E-01
 1.14975700E-02  1.21283325E+01  1.24366712E-01
 1.29154970E-02  1.27034440E+01  1.32641425E-01
 1.45082880E-02  1.32862765E+01  1.41522409E-01
 1.62975080E-02  1.38916865E+01  1.51062453E-01
 1.83073830E-02  1.45068290E+01  1.61318368E-01
 2.05651230E-02  1.51457725E+01  1.72351805E-01
 2.31012970E-02  1.58032100E+01  1.84226721E-01
 2.59502420E-02  1.64893535E+01  1.97010927E-01
 2.91505310E-02  1.72393540E+01  2.10760299E-01
 3.27454920E-02  1.80431620E+01  2.25525559E-01
 3.67837980E-02  1.88254035E+01  2.41398127E-01
 4.13201240E-02  1.96208800E+01  2.58495458E-01
 4.64158880E-02  2.06187270E+01  2.76845760E-01
 5.21400830E-02  2.17601555E+01  2.96421605E-01
 5.85702080E-02  2.24879240E+01  3.17481678E-01
 6.57933220E-02  2.29918565E+01  3.40497482E-01
 7.39072200E-02  2.31763065E+01  3.65967292E-01
 8.30217570E-02  2.31965325E+01  3.94452722E-01
 9.32603350E-02  2.29974540E+01  4.26577799E-01
 1.04761580E-01  2.26847490E+01  4.63072343E-01
 1.17681200E-01  2.22344485E+01  5.04770559E-01
 1.32194110E-01  2.17088155E+01  5.52654713E-01
 1.48496830E-01  2.11404345E+01  6.07819904E-01
 1.66810050E-01  2.05615320E+01  6.71494453E-01
 1.87381740E-01  1.99487565E+01  7.45129385E-01
 2.10490410E-01  1.93153230E+01  8.30474275E-01
 2.36448940E-01  1.86419490E+01  9.29651707E-01
 2.65608780E-01  1.79504495E+01  1.04522095E+00
 2.98364720E-01  1.72422380E+01  1.18021357E+00
 3.35160270E-01  1.65187590E+01  1.33829190E+00
 3.76493580E-01  1.58297470E+01  1.52361424E+00
 4.22924290E-01  1.51749560E+01  1.74081466E+00
 4.75081020E-01  1.45083210E+01  1.99568369E+00
 5.33669920E-01  1.38189370E+01  2.29571465E+00
 5.99484250E-01  1.31553765E+01  2.64965128E+00
 6.73415070E-01  1.25129800E+01  3.06747607E+00
 7.56463330E-01  1.18763255E+01  3.56147471E+00
 8.49753440E-01  1.12235851E+01  4.14743682E+00
 9.54548460E-01  1.06084074E+01  4.84388061E+00
 1.07226720E+00  1.00227142E+01  5.67177655E+00
 1.20450350E+00  9.44496105E+00  6.65744815E+00
 1.35304780E+00  8.84503905E+00  7.83620514E+00
 1.51991110E+00  8.27581425E+00  9.25078821E+00
 1.70735260E+00  7.72434840E+00  1.09512614E+01
 1.91791030E+00  7.20075040E+00  1.29991409E+01
 2.15443470E+00  6.68439270E+00  1.54722194E+01
 2.42012830E+00  6.20188275E+00  1.84656646E+01
 2.71858820E+00  5.74073340E+00  2.20942584E+01
 3.05385550E+00  5.31454345E+00  2.64974724E+01
 3.43046930E+00  4.91279695E+00  3.18444138E+01
 3.85352860E+00  4.53922855E+00  3.83435948E+01
 4.32876130E+00  4.18292175E+00  4.62559316E+01
 4.86260160E+00  3.85707785E+00  5.58978206E+01
 5.46227720E+00  3.55586960E+00  6.76450982E+01
 6.13590730E+00  3.27708230E+00  8.19615072E+01
 6.89261210E+00  3.01202505E+00  9.94358943E+01
 7.74263680E+00  2.76802725E+00  1.20794127E+02
 8.69749000E+00  2.53772260E+00  1.46933499E+02
 9.77009960E+00  2.32679705E+00  1.78959592E+02
 1.09749880E+01  2.13009480E+00  2.18228419E+02
 1.23284670E+01  1.95000540E+00  2.66413830E+02
 1.38488640E+01  1.78226795E+00  3.25589945E+02
 1.55567610E+01  1.62926800E+00  3.98312830E+02
 1.74752840E+01  1.48795735E+00  4.87720682E+02
 1.96304070E+01  1.35858003E+00  5.97707417E+02
 2.20513070E+01  1.23691720E+00  7.33223729E+02
 2.47707640E+01  1.12638629E+00  9.00405890E+02
 2.78255940E+01  1.02543916E+00  1.10666468E+03
 3.12571580E+01  9.33551930E-01  1.36116848E+03
 3.51119170E+01  8.48761205E-01  1.67541599E+03
 3.94420610E+01  7.71688125E-01  2.06367877E+03
 4.43062150E+01  7.00589395E-01  2.54374686E+03
 4.97702360E+01  6.36089720E-01  3.13772015E+03
 5.59081020E+01  5.77338040E-01  3.87272678E+03
 6.28029140E+01  5.24026920E-01  4.78238823E+03
 7.05480230E+01  4.75059425E-01  5.90889937E+03
 7.92482900E+01  4.30694015E-01  7.30472485E+03
 8.90215090E+01  3.90408975E-01  9.03434847E+03
 1.00000000E+02  3.53906810E-01  1.11777138E+04
