#   nzt =   1
#    zt = 0.8000E+01
#    wt = 0.1000E+01
#    zp = 0.1000E+01
#    rs =  0.31056200E+02
#    Te =  0.25000000E-01
#   rho =  0.14290000E-02
#  zbar =  0.13428462E-13
#   mep =  100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 0.10000000E-02  0.18542525E+01  0.28652877E-01
 0.11233240E-02  0.20107031E+01  0.30348892E-01
 0.12618569E-02  0.21803434E+01  0.32105390E-01
 0.14174742E-02  0.23576573E+01  0.33927572E-01
 0.15922828E-02  0.25488851E+01  0.35820782E-01
 0.17886495E-02  0.27507380E+01  0.37789549E-01
 0.20092330E-02  0.29631641E+01  0.39840784E-01
 0.22570197E-02  0.31889601E+01  0.41981006E-01
 0.25353645E-02  0.34326213E+01  0.44214398E-01
 0.28480359E-02  0.36798069E+01  0.46550157E-01
 0.31992671E-02  0.39514375E+01  0.48995754E-01
 0.35938137E-02  0.42330916E+01  0.51557019E-01
 0.40370173E-02  0.45346761E+01  0.54242914E-01
 0.45348785E-02  0.48540434E+01  0.57060515E-01
 0.50941380E-02  0.51970971E+01  0.60016727E-01
 0.57223677E-02  0.55491345E+01  0.63122396E-01
 0.64280731E-02  0.59150039E+01  0.66392977E-01
 0.72208090E-02  0.63074936E+01  0.69839120E-01
 0.81113083E-02  0.67235079E+01  0.73469116E-01
 0.91116276E-02  0.71280263E+01  0.77305414E-01
 0.10235310E-01  0.75660926E+01  0.81368063E-01
 0.11497570E-01  0.80088909E+01  0.85672987E-01
 0.12915497E-01  0.84597977E+01  0.90246196E-01
 0.14508288E-01  0.89079860E+01  0.95117355E-01
 0.16297508E-01  0.93597564E+01  0.10031982E+00
 0.18307383E-01  0.98146804E+01  0.10588742E+00
 0.20565123E-01  0.10268091E+02  0.11185811E+00
 0.23101297E-01  0.10698506E+02  0.11828218E+00
 0.25950242E-01  0.11113713E+02  0.12521893E+00
 0.29150531E-01  0.11510144E+02  0.13273206E+00
 0.32745492E-01  0.11902419E+02  0.14088606E+00
 0.36783798E-01  0.12232189E+02  0.14977161E+00
