#   nzt =   1
#    zt = 0.7600E+02
#    wt = 0.1000E+01
#    zp = 0.1000E+01
#    rs =  0.28287200E+01
#    Te =  0.25000000E-01
#   rho =  0.22480000E+02
#  zbar =  0.80135424E+01
#   mep =  100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 0.10000000E-02  0.45871259E+01  0.13768511E+00
 0.11233240E-02  0.48528477E+01  0.14593606E+00
 0.12618569E-02  0.51339693E+01  0.15469678E+00
 0.14174742E-02  0.54296396E+01  0.16400055E+00
 0.15922828E-02  0.57423108E+01  0.17388255E+00
 0.17886495E-02  0.60705871E+01  0.18438092E+00
 0.20092330E-02  0.64175400E+01  0.19553629E+00
 0.22570197E-02  0.67813209E+01  0.20739259E+00
 0.25353645E-02  0.71655437E+01  0.21999668E+00
 0.28480359E-02  0.75676582E+01  0.23339947E+00
 0.31992671E-02  0.79920185E+01  0.24765534E+00
 0.35938137E-02  0.84353160E+01  0.26282346E+00
 0.40370173E-02  0.89026899E+01  0.27896712E+00
 0.45348785E-02  0.93901114E+01  0.29615511E+00
 0.50941380E-02  0.99034721E+01  0.31446107E+00
 0.57223677E-02  0.10436856E+02  0.33396633E+00
 0.64280731E-02  0.10997739E+02  0.35475815E+00
 0.72208090E-02  0.11577469E+02  0.37693397E+00
 0.81113083E-02  0.12185745E+02  0.40059898E+00
 0.91116276E-02  0.12812611E+02  0.42586895E+00
 0.10235310E-01  0.13469063E+02  0.45286917E+00
 0.11497570E-01  0.14146377E+02  0.48173431E+00
 0.12915497E-01  0.14855096E+02  0.51260927E+00
 0.14508288E-01  0.15584441E+02  0.54565332E+00
 0.16297508E-01  0.16346300E+02  0.58103860E+00
 0.18307383E-01  0.17127877E+02  0.61895496E+00
 0.20565123E-01  0.17942795E+02  0.65960875E+00
 0.23101297E-01  0.18783866E+02  0.70321730E+00
 0.25950242E-01  0.19662877E+02  0.75001323E+00
 0.29150531E-01  0.20581319E+02  0.80023320E+00
 0.32745492E-01  0.21548828E+02  0.85412279E+00
 0.36783798E-01  0.22575381E+02  0.91192417E+00
 0.41320124E-01  0.23671737E+02  0.97389226E+00
 0.46415888E-01  0.25000044E+02  0.10400454E+01
 0.52140083E-01  0.26519523E+02  0.11101992E+01
 0.58570208E-01  0.27855256E+02  0.11848383E+01
 0.65793322E-01  0.29128943E+02  0.12648611E+01
 0.73907220E-01  0.30357973E+02  0.13509809E+01
 0.83021757E-01  0.31596363E+02  0.14438386E+01
 0.93260335E-01  0.32567124E+02  0.15445420E+01
 0.10476158E+00  0.33375983E+02  0.16545955E+01
 0.11768120E+00  0.33800532E+02  0.17759537E+01
 0.13219411E+00  0.33968584E+02  0.19111390E+01
 0.14849683E+00  0.34005087E+02  0.20625736E+01
 0.16681005E+00  0.33951913E+02  0.22327043E+01
 0.18738174E+00  0.33678920E+02  0.24247367E+01
 0.21049041E+00  0.33229214E+02  0.26428150E+01
 0.23644894E+00  0.32638562E+02  0.28916925E+01
 0.26560878E+00  0.31944310E+02  0.31768352E+01
 0.29836472E+00  0.31121896E+02  0.35048614E+01
 0.33516027E+00  0.30183387E+02  0.38840194E+01
 0.37649358E+00  0.29231289E+02  0.43235522E+01
 0.42292429E+00  0.28274035E+02  0.48336268E+01
 0.47508102E+00  0.27239525E+02  0.54271237E+01
 0.53366992E+00  0.26108824E+02  0.61210466E+01
 0.59948425E+00  0.24979369E+02  0.69351397E+01
 0.67341507E+00  0.23846249E+02  0.78920579E+01
 0.75646333E+00  0.22719215E+02  0.90191285E+01
 0.84975344E+00  0.21567681E+02  0.10350652E+02
 0.95454846E+00  0.20476563E+02  0.11926311E+02
 0.10722672E+01  0.19433063E+02  0.13790869E+02
 0.12045035E+01  0.18421356E+02  0.15998818E+02
 0.13530478E+01  0.17400511E+02  0.18620432E+02
 0.15199111E+01  0.16445995E+02  0.21737440E+02
 0.17073526E+01  0.15539348E+02  0.25442512E+02
 0.19179103E+01  0.14678172E+02  0.29847263E+02
 0.21544347E+01  0.13815638E+02  0.35095857E+02
 0.24201283E+01  0.13017850E+02  0.41356787E+02
 0.27185882E+01  0.12262146E+02  0.48821948E+02
 0.30538555E+01  0.11551737E+02  0.57722094E+02
 0.34304693E+01  0.10838434E+02  0.68358102E+02
 0.38535286E+01  0.10174818E+02  0.81088493E+02
 0.43287613E+01  0.95319457E+01  0.96338694E+02
 0.48626016E+01  0.89334508E+01  0.11461812E+03
 0.54622772E+01  0.83396096E+01  0.13657328E+03
 0.61359073E+01  0.77826414E+01  0.16299291E+03
 0.68926121E+01  0.72262983E+01  0.19488230E+03
 0.77426368E+01  0.67123659E+01  0.23345377E+03
 0.86974900E+01  0.62161628E+01  0.28017781E+03
 0.97700996E+01  0.57627276E+01  0.33682463E+03
 0.10974988E+02  0.53387741E+01  0.40548871E+03
 0.12328467E+02  0.49483168E+01  0.48871639E+03
 0.13848864E+02  0.45763221E+01  0.58970708E+03
 0.15556761E+02  0.42347292E+01  0.71232830E+03
 0.17475284E+02  0.39095161E+01  0.86136919E+03
 0.19630407E+02  0.36099942E+01  0.10426816E+04
 0.22051307E+02  0.33237666E+01  0.12636028E+04
 0.24770764E+02  0.30614407E+01  0.15330649E+04
 0.27825594E+02  0.28120876E+01  0.18621852E+04
 0.31257158E+02  0.25837797E+01  0.22645988E+04
 0.35111917E+02  0.23687827E+01  0.27571769E+04
 0.39442061E+02  0.21724996E+01  0.33605608E+04
 0.44306215E+02  0.19878723E+01  0.41005315E+04
 0.49770236E+02  0.18196706E+01  0.50087618E+04
 0.55908102E+02  0.16636418E+01  0.61240656E+04
 0.62802914E+02  0.15216290E+01  0.74940924E+04
 0.70548023E+02  0.13906183E+01  0.91774461E+04
 0.79248290E+02  0.12711943E+01  0.11246108E+05
 0.89021509E+02  0.11598753E+01  0.13790769E+05
 0.10000000E+03  0.10585596E+01  0.16923777E+05
