#   nzt =   1
#    zt = 0.1500E+02
#    wt = 0.1000E+01
#    zp = 0.1000E+01
#    rs =  0.35693700E+01
#    Te =  0.25000000E-01
#   rho =  0.18220000E+01
#  zbar =  0.28803157E+01
#   mep =  100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 0.10000000E-02  0.85122546E+01  0.12081302E-01
 0.11233240E-02  0.89922255E+01  0.12805831E-01
 0.12618569E-02  0.94992802E+01  0.13576228E-01
 0.14174742E-02  0.10029236E+02  0.14395677E-01
 0.15922828E-02  0.10588665E+02  0.15267538E-01
 0.17886495E-02  0.11171175E+02  0.16195521E-01
 0.20092330E-02  0.11785422E+02  0.17183592E-01
 0.22570197E-02  0.12422671E+02  0.18236134E-01
 0.25353645E-02  0.13093732E+02  0.19357844E-01
 0.28480359E-02  0.13787709E+02  0.20553902E-01
 0.31992671E-02  0.14517378E+02  0.21829870E-01
 0.35938137E-02  0.15269323E+02  0.23191899E-01
 0.40370173E-02  0.16058527E+02  0.24646606E-01
 0.45348785E-02  0.16866959E+02  0.26201419E-01
 0.50941380E-02  0.17713370E+02  0.27864365E-01
 0.57223677E-02  0.18575038E+02  0.29644464E-01
 0.64280731E-02  0.19474589E+02  0.31551476E-01
 0.72208090E-02  0.20379967E+02  0.33596652E-01
 0.81113083E-02  0.21320908E+02  0.35792276E-01
 0.91116276E-02  0.22259756E+02  0.38152293E-01
 0.10235310E-01  0.23231118E+02  0.40691921E-01
 0.11497570E-01  0.24180841E+02  0.43429159E-01
 0.12915497E-01  0.25155275E+02  0.46383990E-01
 0.14508288E-01  0.26102262E+02  0.49578834E-01
 0.16297508E-01  0.27069186E+02  0.53039287E-01
 0.18307383E-01  0.28149431E+02  0.56782583E-01
 0.20565123E-01  0.29304741E+02  0.60821907E-01
 0.23101297E-01  0.30257956E+02  0.65198292E-01
 0.25950242E-01  0.31158424E+02  0.69968105E-01
 0.29150531E-01  0.32159677E+02  0.75165953E-01
 0.32745492E-01  0.33238901E+02  0.80813432E-01
 0.36783798E-01  0.33711267E+02  0.87009269E-01
 0.41320124E-01  0.33926453E+02  0.93900801E-01
 0.46415888E-01  0.33804398E+02  0.10163421E+00
 0.52140083E-01  0.33569031E+02  0.11036713E+00
 0.58570208E-01  0.33023690E+02  0.12029369E+00
 0.65793322E-01  0.32342748E+02  0.13165367E+00
 0.73907220E-01  0.31391223E+02  0.14474474E+00
 0.83021757E-01  0.30336957E+02  0.15993227E+00
 0.93260335E-01  0.29208486E+02  0.17762156E+00
 0.10476158E+00  0.28066701E+02  0.19827735E+00
 0.11768120E+00  0.26798958E+02  0.22250251E+00
 0.13219411E+00  0.25483599E+02  0.25106820E+00
 0.14849683E+00  0.24187318E+02  0.28484941E+00
 0.16681005E+00  0.22931450E+02  0.32485485E+00
 0.18738174E+00  0.21722839E+02  0.37227598E+00
 0.21049041E+00  0.20563878E+02  0.42852143E+00
 0.23644894E+00  0.19404488E+02  0.49537130E+00
 0.26560878E+00  0.18264967E+02  0.57506774E+00
 0.29836472E+00  0.17196884E+02  0.67017363E+00
 0.33516027E+00  0.16195965E+02  0.78362496E+00
 0.37649358E+00  0.15252917E+02  0.91894439E+00
 0.42292429E+00  0.14365215E+02  0.10803448E+01
 0.47508102E+00  0.13524740E+02  0.12728776E+01
 0.53366992E+00  0.12721566E+02  0.15027040E+01
 0.59948425E+00  0.11958538E+02  0.17772560E+01
 0.67341507E+00  0.11227573E+02  0.21055563E+01
 0.75646333E+00  0.10534986E+02  0.24984564E+01
 0.84975344E+00  0.98672926E+01  0.29693003E+01
 0.95454846E+00  0.92450590E+01  0.35339252E+01
 0.10722672E+01  0.86608215E+01  0.42108656E+01
 0.12045035E+01  0.81026746E+01  0.50230135E+01
 0.13530478E+01  0.75535064E+01  0.60000834E+01
 0.15199111E+01  0.70422867E+01  0.71774694E+01
 0.17073526E+01  0.65612151E+01  0.85964489E+01
 0.19179103E+01  0.61028046E+01  0.10308396E+02
 0.21544347E+01  0.56480435E+01  0.12381548E+02
 0.24201283E+01  0.52236015E+01  0.14898855E+02
 0.27185882E+01  0.48192160E+01  0.17960405E+02
 0.30538555E+01  0.44436947E+01  0.21688973E+02
 0.34304693E+01  0.40873595E+01  0.26237338E+02
 0.38535286E+01  0.37580333E+01  0.31793070E+02
 0.43287613E+01  0.34479889E+01  0.38588753E+02
 0.48626016E+01  0.31641135E+01  0.46908308E+02
 0.54622772E+01  0.29015980E+01  0.57095845E+02
 0.61359073E+01  0.26597304E+01  0.69576539E+02
 0.68926121E+01  0.24320915E+01  0.84891751E+02
 0.77426368E+01  0.22239375E+01  0.10370596E+03
 0.86974900E+01  0.20309537E+01  0.12683521E+03
 0.97700996E+01  0.18552045E+01  0.15528242E+03
 0.10974988E+02  0.16943463E+01  0.19026798E+03
 0.12328467E+02  0.15471253E+01  0.23329933E+03
 0.13848864E+02  0.14099420E+01  0.28629441E+03
 0.15556761E+02  0.12852190E+01  0.35161324E+03
 0.17475284E+02  0.11716351E+01  0.43210168E+03
 0.19630407E+02  0.10676727E+01  0.53128537E+03
 0.22051307E+02  0.97003309E+00  0.65375048E+03
 0.24770764E+02  0.88140616E+00  0.80517076E+03
 0.27825594E+02  0.80081492E+00  0.99237449E+03
 0.31257158E+02  0.72753270E+00  0.12238242E+04
 0.35111917E+02  0.66023320E+00  0.15101749E+04
 0.39442061E+02  0.59908669E+00  0.18646267E+04
 0.44306215E+02  0.54263965E+00  0.23038568E+04
 0.49770236E+02  0.49153293E+00  0.28485999E+04
 0.55908102E+02  0.44530550E+00  0.35240907E+04
 0.62802914E+02  0.40341541E+00  0.43616097E+04
 0.70548023E+02  0.36504996E+00  0.54007534E+04
 0.79248290E+02  0.33034046E+00  0.66907133E+04
 0.89021509E+02  0.29876082E+00  0.82925086E+04
 0.10000000E+03  0.27020630E+00  0.10282242E+05
