#   nzt =   1
#    zt = 0.9100E+02
#    wt = 0.1000E+01
#    zp = 0.1000E+01
#    rs =  0.34258200E+01
#    Te =  0.25000000E-01
#   rho =  0.15370000E+02
#  zbar =  0.93303825E+01
#   mep =  100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 0.10000000E-02  0.73340932E+01  0.10458820E+00
 0.11233240E-02  0.77556575E+01  0.11085714E+00
 0.12618569E-02  0.82014675E+01  0.11751616E+00
 0.14174742E-02  0.86696458E+01  0.12459116E+00
 0.15922828E-02  0.91645006E+01  0.13210945E+00
 0.17886495E-02  0.96830136E+01  0.14010084E+00
 0.20092330E-02  0.10230694E+02  0.14859707E+00
 0.22570197E-02  0.10803395E+02  0.15763272E+00
 0.25353645E-02  0.11407806E+02  0.16724469E+00
 0.28480359E-02  0.12038411E+02  0.17747328E+00
 0.31992671E-02  0.12703259E+02  0.18836162E+00
 0.35938137E-02  0.13395593E+02  0.19995670E+00
 0.40370173E-02  0.14124716E+02  0.21230887E+00
 0.45348785E-02  0.14882433E+02  0.22547312E+00
 0.50941380E-02  0.15679432E+02  0.23950838E+00
 0.57223677E-02  0.16504201E+02  0.25448002E+00
 0.64280731E-02  0.17370175E+02  0.27045830E+00
 0.72208090E-02  0.18260188E+02  0.28752245E+00
 0.81113083E-02  0.19192143E+02  0.30575826E+00
 0.91116276E-02  0.20146085E+02  0.32526091E+00
 0.10235310E-01  0.21142596E+02  0.34613366E+00
 0.11497570E-01  0.22162258E+02  0.36848893E+00
 0.12915497E-01  0.23226000E+02  0.39244800E+00
 0.14508288E-01  0.24307592E+02  0.41814710E+00
 0.16297508E-01  0.25432789E+02  0.44573472E+00
 0.18307383E-01  0.26579788E+02  0.47537099E+00
 0.20565123E-01  0.27774710E+02  0.50722845E+00
 0.23101297E-01  0.29010576E+02  0.54148354E+00
 0.25950242E-01  0.30310647E+02  0.57832254E+00
 0.29150531E-01  0.31740417E+02  0.61788651E+00
 0.32745492E-01  0.33294858E+02  0.66028285E+00
 0.36783798E-01  0.34859028E+02  0.70572615E+00
 0.41320124E-01  0.36504039E+02  0.75449952E+00
 0.46415888E-01  0.38533187E+02  0.80661539E+00
 0.52140083E-01  0.40867001E+02  0.86188373E+00
 0.58570208E-01  0.42637047E+02  0.92088540E+00
 0.65793322E-01  0.44134017E+02  0.98467924E+00
 0.73907220E-01  0.45211218E+02  0.10542869E+01
 0.83021757E-01  0.46079977E+02  0.11308142E+01
 0.93260335E-01  0.46555495E+02  0.12155387E+01
 0.10476158E+00  0.46793462E+02  0.13099890E+01
 0.11768120E+00  0.46680709E+02  0.14159564E+01
 0.13219411E+00  0.46332363E+02  0.15356068E+01
 0.14849683E+00  0.45811402E+02  0.16713006E+01
 0.16681005E+00  0.45170778E+02  0.18256654E+01
 0.18738174E+00  0.44297842E+02  0.20020061E+01
 0.21049041E+00  0.43241121E+02  0.22044802E+01
 0.23644894E+00  0.42009162E+02  0.24380585E+01
 0.26560878E+00  0.40648715E+02  0.27087007E+01
 0.29836472E+00  0.39176608E+02  0.30235364E+01
 0.33516027E+00  0.37613047E+02  0.33912627E+01
 0.37649358E+00  0.36065805E+02  0.38218324E+01
 0.42292429E+00  0.34544305E+02  0.43264938E+01
 0.47508102E+00  0.32995984E+02  0.49191530E+01
 0.53366992E+00  0.31417729E+02  0.56173388E+01
 0.59948425E+00  0.29881804E+02  0.64415308E+01
 0.67341507E+00  0.28377001E+02  0.74157256E+01
 0.75646333E+00  0.26912365E+02  0.85688004E+01
 0.84975344E+00  0.25454739E+02  0.99366203E+01
 0.95454846E+00  0.24083812E+02  0.11560977E+02
 0.10722672E+01  0.22788062E+02  0.13489289E+02
 0.12045035E+01  0.21530599E+02  0.15779867E+02
 0.13530478E+01  0.20261330E+02  0.18509189E+02
 0.15199111E+01  0.19068171E+02  0.21767281E+02
 0.17073526E+01  0.17926642E+02  0.25658238E+02
 0.19179103E+01  0.16844767E+02  0.30307993E+02
 0.21544347E+01  0.15777336E+02  0.35876462E+02
 0.24201283E+01  0.14782948E+02  0.42553870E+02
 0.27185882E+01  0.13837624E+02  0.50563797E+02
 0.30538555E+01  0.12962829E+02  0.60171953E+02
 0.34304693E+01  0.12130612E+02  0.71699963E+02
 0.38535286E+01  0.11358174E+02  0.85533449E+02
 0.43287613E+01  0.10622120E+02  0.10214120E+03
 0.48626016E+01  0.99447373E+01  0.12207748E+03
 0.54622772E+01  0.92996947E+01  0.14601239E+03
 0.61359073E+01  0.86991838E+01  0.17475601E+03
 0.68926121E+01  0.81156867E+01  0.20932334E+03
 0.77426368E+01  0.75736637E+01  0.25093349E+03
 0.86974900E+01  0.70414794E+01  0.30112169E+03
 0.97700996E+01  0.65488271E+01  0.36174549E+03
 0.10974988E+02  0.60703367E+01  0.43510186E+03
 0.12328467E+02  0.56294317E+01  0.52397588E+03
 0.13848864E+02  0.52086981E+01  0.63176349E+03
 0.15556761E+02  0.48222024E+01  0.76257480E+03
 0.17475284E+02  0.44535468E+01  0.92150588E+03
 0.19630407E+02  0.41151299E+01  0.11147503E+04
 0.22051307E+02  0.37927613E+01  0.13500079E+04
 0.24770764E+02  0.34982032E+01  0.16366272E+04
 0.27825594E+02  0.32220818E+01  0.19859638E+04
 0.31257158E+02  0.29688795E+01  0.24118953E+04
 0.35111917E+02  0.27302719E+01  0.29317068E+04
 0.39442061E+02  0.25114594E+01  0.35664768E+04
 0.44306215E+02  0.23017514E+01  0.43431961E+04
 0.49770236E+02  0.21100517E+01  0.52950944E+04
 0.55908102E+02  0.19312020E+01  0.64625636E+04
 0.62802914E+02  0.17680842E+01  0.78952120E+04
 0.70548023E+02  0.16173350E+01  0.96538618E+04
 0.79248290E+02  0.14799841E+01  0.11812950E+05
 0.89021509E+02  0.13519978E+01  0.14465874E+05
 0.10000000E+03  0.12356278E+01  0.17727927E+05
