#   nzt =   1
#    zt = 0.8200E+02
#    wt = 0.1000E+01
#    zp = 0.1000E+01
#    rs =  0.36559300E+01
#    Te =  0.25000000E-01
#   rho =  0.11340000E+02
#  zbar =  0.26461314E+01
#   mep =  100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 0.10000000E-02  0.82619762E+01  0.83276592E-01
 0.11233240E-02  0.87309139E+01  0.88269883E-01
 0.12618569E-02  0.92265290E+01  0.93577424E-01
 0.14174742E-02  0.97453118E+01  0.99220723E-01
 0.15922828E-02  0.10293258E+02  0.10522245E+00
 0.17886495E-02  0.10864933E+02  0.11160757E+00
 0.20092330E-02  0.11468214E+02  0.11840271E+00
 0.22570197E-02  0.12095699E+02  0.12563716E+00
 0.25353645E-02  0.12757168E+02  0.13334224E+00
 0.28480359E-02  0.13443371E+02  0.14155233E+00
 0.31992671E-02  0.14165901E+02  0.15030426E+00
 0.35938137E-02  0.14913320E+02  0.15963854E+00
 0.40370173E-02  0.15699319E+02  0.16959858E+00
 0.45348785E-02  0.16508517E+02  0.18023279E+00
 0.50941380E-02  0.17358102E+02  0.19159318E+00
 0.57223677E-02  0.18228696E+02  0.20373773E+00
 0.64280731E-02  0.19141204E+02  0.21672874E+00
 0.72208090E-02  0.20068446E+02  0.23063715E+00
 0.81113083E-02  0.21037904E+02  0.24553964E+00
 0.91116276E-02  0.22017913E+02  0.26152207E+00
 0.10235310E-01  0.23040942E+02  0.27867684E+00
 0.11497570E-01  0.24061589E+02  0.29711122E+00
 0.12915497E-01  0.25124272E+02  0.31694185E+00
 0.14508288E-01  0.26188651E+02  0.33829513E+00
 0.16297508E-01  0.27303205E+02  0.36130993E+00
 0.18307383E-01  0.28565261E+02  0.38606529E+00
 0.20565123E-01  0.29953863E+02  0.41260298E+00
 0.23101297E-01  0.31222627E+02  0.44111592E+00
 0.25950242E-01  0.32525838E+02  0.47186460E+00
 0.29150531E-01  0.33994320E+02  0.50497088E+00
 0.32745492E-01  0.35634294E+02  0.54047297E+00
 0.36783798E-01  0.36858096E+02  0.57876914E+00
 0.41320124E-01  0.37968874E+02  0.62045531E+00
 0.46415888E-01  0.38859257E+02  0.66606980E+00
 0.52140083E-01  0.39711133E+02  0.71617422E+00
 0.58570208E-01  0.40378075E+02  0.77139163E+00
 0.65793322E-01  0.40964380E+02  0.83246073E+00
 0.73907220E-01  0.41340650E+02  0.90026260E+00
 0.83021757E-01  0.41615333E+02  0.97583526E+00
 0.93260335E-01  0.41765185E+02  0.10602991E+01
 0.10476158E+00  0.41819146E+02  0.11549363E+01
 0.11768120E+00  0.41634315E+02  0.12614114E+01
 0.13219411E+00  0.41267005E+02  0.13818308E+01
 0.14849683E+00  0.40756145E+02  0.15185657E+01
 0.16681005E+00  0.40143884E+02  0.16742901E+01
 0.18738174E+00  0.39353521E+02  0.18523108E+01
 0.21049041E+00  0.38417155E+02  0.20567397E+01
 0.23644894E+00  0.37330937E+02  0.22925414E+01
 0.26560878E+00  0.36149213E+02  0.25656299E+01
 0.29836472E+00  0.34889233E+02  0.28829663E+01
 0.33516027E+00  0.33565465E+02  0.32529565E+01
 0.37649358E+00  0.32249823E+02  0.36852905E+01
 0.42292429E+00  0.30955564E+02  0.41909575E+01
 0.47508102E+00  0.29623617E+02  0.47835877E+01
 0.53366992E+00  0.28241312E+02  0.54806817E+01
 0.59948425E+00  0.26896550E+02  0.63025604E+01
 0.67341507E+00  0.25584791E+02  0.72725058E+01
 0.75646333E+00  0.24285384E+02  0.84190189E+01
 0.84975344E+00  0.22955065E+02  0.97790326E+01
 0.95454846E+00  0.21709595E+02  0.11395048E+02
 0.10722672E+01  0.20531774E+02  0.13314314E+02
