#   nzt =   1
#    zt = 0.8000E+01
#    wt = 0.1000E+01
#    zp = 0.1000E+01
#    rs =  0.24316400E+01
#    Te =  0.25000000E-01
#   rho =  0.29769800E+01
#  zbar =  0.14621553E+01
#   mep =  100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 0.10000000E-02  0.28713255E+01  0.18503534E-01
 0.11233240E-02  0.30375065E+01  0.19612413E-01
 0.12618569E-02  0.32133266E+01  0.20789848E-01
 0.14174742E-02  0.33980384E+01  0.22040362E-01
 0.15922828E-02  0.35934564E+01  0.23368710E-01
 0.17886495E-02  0.37982645E+01  0.24780081E-01
 0.20092330E-02  0.40148913E+01  0.26279979E-01
 0.22570197E-02  0.42414104E+01  0.27874417E-01
 0.25353645E-02  0.44808734E+01  0.29569788E-01
 0.28480359E-02  0.47307577E+01  0.31373068E-01
 0.31992671E-02  0.49947081E+01  0.33291697E-01
 0.35938137E-02  0.52696736E+01  0.35333780E-01
 0.40370173E-02  0.55598353E+01  0.37507975E-01
 0.45348785E-02  0.58614057E+01  0.39823762E-01
 0.50941380E-02  0.61792567E+01  0.42291285E-01
 0.57223677E-02  0.65083766E+01  0.44921766E-01
 0.64280731E-02  0.68546669E+01  0.47727244E-01
 0.72208090E-02  0.72107619E+01  0.50721319E-01
 0.81113083E-02  0.75843309E+01  0.53918712E-01
 0.91116276E-02  0.79665662E+01  0.57335845E-01
 0.10235310E-01  0.83662363E+01  0.60990576E-01
 0.11497570E-01  0.87735115E+01  0.64902726E-01
 0.12915497E-01  0.91977890E+01  0.69093863E-01
 0.14508288E-01  0.96248331E+01  0.73588904E-01
 0.16297508E-01  0.10066643E+02  0.78415522E-01
 0.18307383E-01  0.10513928E+02  0.83603167E-01
 0.20565123E-01  0.10976075E+02  0.89184059E-01
 0.23101297E-01  0.11449282E+02  0.95191760E-01
 0.25950242E-01  0.11939068E+02  0.10166406E+00
 0.29150531E-01  0.12506338E+02  0.10862067E+00
 0.32745492E-01  0.13123202E+02  0.11606942E+00
