#   nzt =   1
#    zt = 0.8200E+02
#    wt = 0.1000E+01
#    zp = 0.1000E+01
#    rs =  0.32670700E+01
#    Te =  0.25000000E-01
#   rho =  0.15895400E+02
#  zbar =  0.35406019E+01
#   mep =  100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 0.10000000E-02  0.61540065E+01  0.11169392E+00
 0.11233240E-02  0.65264106E+01  0.11837902E+00
 0.12618569E-02  0.69205530E+01  0.12546021E+00
 0.14174742E-02  0.73348846E+01  0.13296356E+00
 0.15922828E-02  0.77734972E+01  0.14091635E+00
 0.17886495E-02  0.82335836E+01  0.14934835E+00
 0.20092330E-02  0.87206181E+01  0.15829101E+00
 0.22570197E-02  0.92303841E+01  0.16777868E+00
 0.25353645E-02  0.97697642E+01  0.17784785E+00
 0.28480359E-02  0.10333201E+02  0.18853826E+00
 0.31992671E-02  0.10928873E+02  0.19989231E+00
 0.35938137E-02  0.11550069E+02  0.21195614E+00
 0.40370173E-02  0.12206126E+02  0.22477900E+00
 0.45348785E-02  0.12888710E+02  0.23841484E+00
 0.50941380E-02  0.13608734E+02  0.25292132E+00
 0.57223677E-02  0.14355300E+02  0.26836215E+00
 0.64280731E-02  0.15141702E+02  0.28480546E+00
 0.72208090E-02  0.15952034E+02  0.30232805E+00
 0.81113083E-02  0.16803833E+02  0.32101254E+00
 0.91116276E-02  0.17678291E+02  0.34095052E+00
 0.10235310E-01  0.18595975E+02  0.36224058E+00
 0.11497570E-01  0.19535925E+02  0.38499116E+00
 0.12915497E-01  0.20520998E+02  0.40931863E+00
 0.14508288E-01  0.21520391E+02  0.43535626E+00
 0.16297508E-01  0.22563602E+02  0.46325013E+00
 0.18307383E-01  0.23632637E+02  0.49315152E+00
 0.20565123E-01  0.24750480E+02  0.52522299E+00
 0.23101297E-01  0.25911600E+02  0.55962933E+00
 0.25950242E-01  0.27129898E+02  0.59655457E+00
 0.29150531E-01  0.28556841E+02  0.63606667E+00
 0.32745492E-01  0.30125406E+02  0.67815764E+00
 0.36783798E-01  0.31456983E+02  0.72320136E+00
 0.41320124E-01  0.32713683E+02  0.77177416E+00
 0.46415888E-01  0.33950111E+02  0.82430477E+00
 0.52140083E-01  0.35226066E+02  0.88114552E+00
 0.58570208E-01  0.36150448E+02  0.94302089E+00
 0.65793322E-01  0.36924080E+02  0.10109203E+01
 0.73907220E-01  0.37447370E+02  0.10858761E+01
 0.83021757E-01  0.37890064E+02  0.11690073E+01
 0.93260335E-01  0.38210013E+02  0.12614642E+01
 0.10476158E+00  0.38495854E+02  0.13644979E+01
 0.11768120E+00  0.38636873E+02  0.14796006E+01
 0.13219411E+00  0.38707143E+02  0.16085620E+01
