#   nzt = 2
#    zt = 8.2000E+01 8.0000E+00
#    wt = 1.0000E+00 2.0000E+00
#    zp = 1.0000E+00
#    rs =  2.76195000E+00
#    Te =  2.50000000E-02
#   rho =  9.64000000E+00
#  zbar =  3.12468340E+00
#   mep = 100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 1.00000000E-03  4.34614403E+00  5.73161093E-02
 1.12332400E-03  4.59575380E+00  6.09889280E-02
 1.26185690E-03  4.85970637E+00  6.48906136E-02
 1.41747420E-03  5.13683123E+00  6.90362296E-02
 1.59228280E-03  5.42972640E+00  7.34418851E-02
 1.78864950E-03  5.73641800E+00  7.81251013E-02
 2.00923300E-03  6.06032000E+00  8.31046628E-02
 2.25701970E-03  6.39862830E+00  8.84009870E-02
 2.53536450E-03  6.75558420E+00  9.40360204E-02
 2.84803590E-03  7.12751027E+00  1.00033624E-01
 3.19926710E-03  7.51949753E+00  1.06419494E-01
 3.59381370E-03  7.92709387E+00  1.13221530E-01
 4.03701730E-03  8.35614913E+00  1.20469820E-01
 4.53487850E-03  8.80120167E+00  1.28197131E-01
 5.09413800E-03  9.26902280E+00  1.36438891E-01
 5.72236770E-03  9.75222667E+00  1.45234101E-01
 6.42807310E-03  1.02591645E+01  1.54625115E-01
 7.22080900E-03  1.07789624E+01  1.64659337E-01
 8.11130830E-03  1.13226717E+01  1.75388604E-01
 9.11162760E-03  1.18775009E+01  1.86870245E-01
 1.02353100E-02  1.24562226E+01  1.99167004E-01
 1.14975700E-02  1.30453795E+01  2.12347674E-01
 1.29154970E-02  1.36585199E+01  2.26487227E-01
 1.45082880E-02  1.42766973E+01  2.41670315E-01
 1.62975080E-02  1.49171213E+01  2.57990521E-01
 1.83073830E-02  1.55664960E+01  2.75547622E-01
 2.05651230E-02  1.62398143E+01  2.94449693E-01
 2.31012970E-02  1.69322837E+01  3.14808534E-01
 2.59502420E-02  1.76546023E+01  3.36742136E-01
 2.91505310E-02  1.84780403E+01  3.60326812E-01
 3.27454920E-02  1.93769627E+01  3.85616202E-01
 3.67837980E-02  2.01830273E+01  4.12799687E-01
 4.13201240E-02  2.09721463E+01  4.42150413E-01
 4.64158880E-02  2.18477130E+01  4.73838645E-01
 5.21400830E-02  2.28046977E+01  5.07976652E-01
 5.85702080E-02  2.34581293E+01  5.44989746E-01
 6.57933220E-02  2.39647050E+01  5.85549656E-01
 7.39072200E-02  2.42463560E+01  6.30367753E-01
 8.30217570E-02  2.44263963E+01  6.80235871E-01
 9.32603350E-02  2.44405930E+01  7.36033858E-01
 1.04761580E-01  2.43652917E+01  7.98795199E-01
 1.17681200E-01  2.41269403E+01  8.69761975E-01
 1.32194110E-01  2.37893907E+01  9.50443820E-01
 1.48496830E-01  2.33892977E+01  1.04249662E+00
 1.66810050E-01  2.29525073E+01  1.14777307E+00
 1.87381740E-01  2.24124763E+01  1.26859065E+00
 2.10490410E-01  2.17948353E+01  1.40787291E+00
 2.36448940E-01  2.11029527E+01  1.56912195E+00
 2.65608780E-01  2.03628273E+01  1.75652618E+00
 2.98364720E-01  1.95650443E+01  1.97517234E+00
 3.35160270E-01  1.87163013E+01  2.23136986E+00
 3.76493580E-01  1.78801370E+01  2.53241735E+00
 4.22924290E-01  1.70604037E+01  2.88663114E+00
 4.75081020E-01  1.62255161E+01  3.30434724E+00
 5.33669920E-01  1.53658727E+01  3.79879958E+00
 5.99484250E-01  1.45280799E+01  4.38578859E+00
 6.73415070E-01  1.37075157E+01  5.08393459E+00
 7.56463330E-01  1.29126279E+01  5.91580965E+00
 8.49753440E-01  1.21262719E+01  6.90937602E+00
 9.54548460E-01  1.13892824E+01  8.09776268E+00
 1.07226720E+00  1.06928461E+01  9.51941056E+00
 1.20450350E+00  1.00297819E+01  1.12212263E+01
 1.35304780E+00  9.38099767E+00  1.32623012E+01
 1.51991110E+00  8.77630320E+00  1.57133386E+01
 1.70735260E+00  8.20442887E+00  1.86574884E+01
 1.91791030E+00  7.66876587E+00  2.21955187E+01
 2.15443470E+00  7.15286733E+00  2.64521203E+01
 2.42012830E+00  6.67665700E+00  3.15765232E+01
 2.71858820E+00  6.22878507E+00  3.77451754E+01
 3.05385550E+00  5.81308813E+00  4.51714741E+01
 3.43046930E+00  5.41409907E+00  5.41195412E+01
 3.85352860E+00  5.04519213E+00  6.49088618E+01
 4.32876130E+00  4.69494710E+00  7.79242081E+01
 4.86260160E+00  4.37206697E+00  9.36297592E+01
 5.46227720E+00  4.06236270E+00  1.12596865E+02
 6.13590730E+00  3.77366690E+00  1.35530457E+02
 6.89261210E+00  3.49133057E+00  1.63321102E+02
 7.74263680E+00  3.23064597E+00  1.97060482E+02
 8.69749000E+00  2.98087867E+00  2.38079561E+02
 9.77009960E+00  2.75178900E+00  2.88005088E+02
 1.09749880E+01  2.53621873E+00  3.48807791E+02
 1.23284670E+01  2.33857500E+00  4.22897452E+02
 1.38488640E+01  2.15254743E+00  5.13240117E+02
 1.55567610E+01  1.98255451E+00  6.23459016E+02
 1.74752840E+01  1.82357055E+00  7.57978888E+02
 1.96304070E+01  1.67784045E+00  9.22238005E+02
