#   nzt =   1
#    zt = 0.4600E+02
#    wt = 0.1000E+01
#    zp = 0.1000E+01
#    rs =  0.28716500E+01
#    Te =  0.25000000E-01
#   rho =  0.12020000E+02
#  zbar =  0.33657011E+01
#   mep =  100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 0.10000000E-02  0.47064956E+01  0.75069082E-01
 0.11233240E-02  0.49776395E+01  0.79568380E-01
 0.12618569E-02  0.52644113E+01  0.84347070E-01
 0.14174742E-02  0.55657177E+01  0.89423598E-01
 0.15922828E-02  0.58842361E+01  0.94817445E-01
 0.17886495E-02  0.62181241E+01  0.10054985E+00
 0.20092330E-02  0.65708457E+01  0.10664344E+00
 0.22570197E-02  0.69398377E+01  0.11312286E+00
 0.25353645E-02  0.73293189E+01  0.12001440E+00
 0.28480359E-02  0.77358756E+01  0.12734678E+00
 0.31992671E-02  0.81645752E+01  0.13515068E+00
 0.35938137E-02  0.86112338E+01  0.14345955E+00
 0.40370173E-02  0.90816949E+01  0.15230923E+00
 0.45348785E-02  0.95708696E+01  0.16173882E+00
 0.50941380E-02  0.10085462E+02  0.17179027E+00
 0.57223677E-02  0.10618357E+02  0.18251002E+00
 0.64280731E-02  0.11177920E+02  0.19394801E+00
 0.72208090E-02  0.11753577E+02  0.20616047E+00
 0.81113083E-02  0.12356387E+02  0.21920829E+00
 0.91116276E-02  0.12973982E+02  0.23315904E+00
 0.10235310E-01  0.13619113E+02  0.24808603E+00
 0.11497570E-01  0.14279631E+02  0.26406918E+00
 0.12915497E-01  0.14968935E+02  0.28119457E+00
 0.14508288E-01  0.15671132E+02  0.29955839E+00
 0.16297508E-01  0.16403887E+02  0.31926422E+00
 0.18307383E-01  0.17156185E+02  0.34042114E+00
 0.20565123E-01  0.17947380E+02  0.36314303E+00
 0.23101297E-01  0.18776737E+02  0.38754153E+00
 0.25950242E-01  0.19661858E+02  0.41372989E+00
 0.29150531E-01  0.20649256E+02  0.44178302E+00
 0.32745492E-01  0.21732679E+02  0.47174976E+00
 0.36783798E-01  0.22825399E+02  0.50376554E+00
 0.41320124E-01  0.23971836E+02  0.53802121E+00
 0.46415888E-01  0.25331550E+02  0.57455086E+00
 0.52140083E-01  0.26855951E+02  0.61328250E+00
 0.58570208E-01  0.28051396E+02  0.65461631E+00
 0.65793322E-01  0.29080133E+02  0.69924675E+00
 0.73907220E-01  0.29858450E+02  0.74785050E+00
 0.83021757E-01  0.30502698E+02  0.80116274E+00
 0.93260335E-01  0.30906335E+02  0.86003174E+00
 0.10476158E+00  0.31155552E+02  0.92546662E+00
 0.11768120E+00  0.31172022E+02  0.99866481E+00
 0.13219411E+00  0.31029857E+02  0.10810730E+01
 0.14849683E+00  0.30771861E+02  0.11742570E+01
 0.16681005E+00  0.30434447E+02  0.12799449E+01
 0.18738174E+00  0.29942944E+02  0.14003006E+01
 0.21049041E+00  0.29332889E+02  0.15380265E+01
 0.23644894E+00  0.28616567E+02  0.16962981E+01
 0.26560878E+00  0.27828861E+02  0.18788313E+01
 0.29836472E+00  0.26945535E+02  0.20901430E+01
 0.33516027E+00  0.25984028E+02  0.23358537E+01
 0.37649358E+00  0.25037368E+02  0.26222290E+01
 0.42292429E+00  0.24112407E+02  0.29561066E+01
 0.47508102E+00  0.23115208E+02  0.33463857E+01
 0.53366992E+00  0.22029768E+02  0.38051713E+01
 0.59948425E+00  0.20961945E+02  0.43464320E+01
 0.67341507E+00  0.19904496E+02  0.49860467E+01
 0.75646333E+00  0.18838647E+02  0.57438511E+01
 0.84975344E+00  0.17726362E+02  0.66461557E+01
 0.95454846E+00  0.16671192E+02  0.77237453E+01
 0.10722672E+01  0.15655280E+02  0.90118517E+01
 0.12045035E+01  0.14690464E+02  0.10553186E+02
 0.13530478E+01  0.13751286E+02  0.12400816E+02
 0.15199111E+01  0.12874391E+02  0.14617921E+02
 0.17073526E+01  0.12043751E+02  0.17279290E+02
 0.19179103E+01  0.11272404E+02  0.20474039E+02
 0.21544347E+01  0.10536683E+02  0.24311227E+02
 0.24201283E+01  0.98604316E+01  0.28919884E+02
 0.27185882E+01  0.92265310E+01  0.34452169E+02
 0.30538555E+01  0.86357085E+01  0.41091938E+02
 0.34304693E+01  0.80648372E+01  0.49070335E+02
 0.38535286E+01  0.75327220E+01  0.58666193E+02
