#   nzt =   1
#    zt = 0.6100E+02
#    wt = 0.1000E+01
#    zp = 0.1000E+01
#    rs =  0.39128700E+01
#    Te =  0.25000000E-01
#   rho =  0.64750000E+01
#  zbar =  0.40115883E+01
#   mep =  100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 0.10000000E-02  0.99234577E+01  0.48520147E-01
 0.11233240E-02  0.10485489E+02  0.51429604E-01
 0.12618569E-02  0.11079430E+02  0.54522515E-01
 0.14174742E-02  0.11700783E+02  0.57811501E-01
 0.15922828E-02  0.12356976E+02  0.61309868E-01
 0.17886495E-02  0.13041237E+02  0.65032258E-01
 0.20092330E-02  0.13763215E+02  0.68994298E-01
 0.22570197E-02  0.14513875E+02  0.73213163E-01
 0.25353645E-02  0.15305067E+02  0.77707223E-01
 0.28480359E-02  0.16125526E+02  0.82496646E-01
 0.31992671E-02  0.16989282E+02  0.87603034E-01
 0.35938137E-02  0.17882278E+02  0.93050186E-01
 0.40370173E-02  0.18821196E+02  0.98863607E-01
 0.45348785E-02  0.19786916E+02  0.10507180E+00
 0.50941380E-02  0.20800588E+02  0.11170540E+00
 0.57223677E-02  0.21838076E+02  0.11879863E+00
 0.64280731E-02  0.22925189E+02  0.12638824E+00
 0.72208090E-02  0.24028204E+02  0.13451617E+00
 0.81113083E-02  0.25181015E+02  0.14322777E+00
 0.91116276E-02  0.26344520E+02  0.15257383E+00
 0.10235310E-01  0.27558482E+02  0.16260905E+00
 0.11497570E-01  0.28765240E+02  0.17339741E+00
 0.12915497E-01  0.30019061E+02  0.18500895E+00
 0.14508288E-01  0.31271109E+02  0.19751939E+00
 0.16297508E-01  0.32574707E+02  0.21101347E+00
 0.18307383E-01  0.34065006E+02  0.22553728E+00
 0.20565123E-01  0.35693957E+02  0.24111434E+00
 0.23101297E-01  0.37092645E+02  0.25788220E+00
 0.25950242E-01  0.38458831E+02  0.27603459E+00
 0.29150531E-01  0.39878752E+02  0.29570272E+00
 0.32745492E-01  0.41381925E+02  0.31698684E+00
 0.36783798E-01  0.42322689E+02  0.34019460E+00
 0.41320124E-01  0.43050544E+02  0.36576062E+00
 0.46415888E-01  0.43442601E+02  0.39411424E+00
 0.52140083E-01  0.43740138E+02  0.42571423E+00
 0.58570208E-01  0.43790495E+02  0.46107280E+00
 0.65793322E-01  0.43724219E+02  0.50079990E+00
 0.73907220E-01  0.43443720E+02  0.54560995E+00
 0.83021757E-01  0.43092164E+02  0.59631937E+00
 0.93260335E-01  0.42651701E+02  0.65381289E+00
 0.10476158E+00  0.42177581E+02  0.71908413E+00
 0.11768120E+00  0.41513550E+02  0.79340463E+00
 0.13219411E+00  0.40748937E+02  0.87835602E+00
 0.14849683E+00  0.39947246E+02  0.97564640E+00
 0.16681005E+00  0.39138180E+02  0.10871431E+01
 0.18738174E+00  0.38179168E+02  0.12152531E+01
 0.21049041E+00  0.37114702E+02  0.13630421E+01
 0.23644894E+00  0.35948771E+02  0.15341431E+01
 0.26560878E+00  0.34720698E+02  0.17328665E+01
 0.29836472E+00  0.33418575E+02  0.19643970E+01
 0.33516027E+00  0.32049380E+02  0.22351479E+01
 0.37649358E+00  0.30697797E+02  0.25525122E+01
 0.42292429E+00  0.29369302E+02  0.29249075E+01
 0.47508102E+00  0.28029377E+02  0.33626641E+01
 0.53366992E+00  0.26663161E+02  0.38788211E+01
 0.59948425E+00  0.25330381E+02  0.44887772E+01
 0.67341507E+00  0.24022898E+02  0.52106570E+01
 0.75646333E+00  0.22757140E+02  0.60661557E+01
 0.84975344E+00  0.21508248E+02  0.70819521E+01
 0.95454846E+00  0.20345614E+02  0.82888381E+01
 0.10722672E+01  0.19256009E+02  0.97214804E+01
 0.12045035E+01  0.18199379E+02  0.11422720E+02
 0.13530478E+01  0.17128526E+02  0.13449460E+02
 0.15199111E+01  0.16133556E+02  0.15867787E+02
 0.17073526E+01  0.15198229E+02  0.18751374E+02
 0.19179103E+01  0.14294284E+02  0.22191723E+02
 0.21544347E+01  0.13363013E+02  0.26314235E+02
 0.24201283E+01  0.12486905E+02  0.31269225E+02
 0.27185882E+01  0.11634765E+02  0.37235126E+02
 0.30538555E+01  0.10841069E+02  0.44427214E+02
 0.34304693E+01  0.10077812E+02  0.53108907E+02
 0.38535286E+01  0.93719067E+01  0.63597484E+02
 0.43287613E+01  0.87007971E+01  0.76279094E+02
 0.48626016E+01  0.80863530E+01  0.91615184E+02
 0.54622772E+01  0.75131153E+01  0.11015411E+03
 0.61359073E+01  0.69819387E+01  0.13256330E+03
 0.68926121E+01  0.64742070E+01  0.15968325E+03
 0.77426368E+01  0.60049608E+01  0.19253029E+03
 0.86974900E+01  0.55569139E+01  0.23236176E+03
 0.97700996E+01  0.51448540E+01  0.28070107E+03
 0.10974988E+02  0.47590379E+01  0.33937838E+03
 0.12328467E+02  0.44018434E+01  0.41062847E+03
 0.13848864E+02  0.40592853E+01  0.49730145E+03
 0.15556761E+02  0.37441066E+01  0.60286342E+03
 0.17475284E+02  0.34446953E+01  0.73160040E+03
 0.19630407E+02  0.31690851E+01  0.88877180E+03
 0.22051307E+02  0.29063842E+01  0.10810123E+04
 0.24770764E+02  0.26665352E+01  0.13164338E+04
 0.27825594E+02  0.24433317E+01  0.16048792E+04
 0.31257158E+02  0.22396092E+01  0.19584138E+04
 0.35111917E+02  0.20499725E+01  0.23920082E+04
 0.39442061E+02  0.18770120E+01  0.29239947E+04
 0.44306215E+02  0.17149161E+01  0.35774263E+04
 0.49770236E+02  0.15672068E+01  0.43807254E+04
 0.55908102E+02  0.14309100E+01  0.53686294E+04
 0.62802914E+02  0.13066484E+01  0.65839073E+04
 0.70548023E+02  0.11913643E+01  0.80801186E+04
 0.79248290E+02  0.10863303E+01  0.99232919E+04
 0.89021509E+02  0.98859486E+00  0.12196419E+05
 0.10000000E+03  0.89975555E+00  0.15002680E+05
