#   nzt =   1
#    zt = 0.8400E+02
#    wt = 0.1000E+01
#    zp = 0.1000E+01
#    rs =  0.39243700E+01
#    Te =  0.25000000E-01
#   rho =  0.92510000E+01
#  zbar =  0.24996011E+01
#   mep =  100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 0.10000000E-02  0.10468684E+02  0.66293557E-01
 0.11233240E-02  0.11056650E+02  0.70269689E-01
 0.12618569E-02  0.11677716E+02  0.74498395E-01
 0.14174742E-02  0.12326156E+02  0.78997371E-01
 0.15922828E-02  0.13010565E+02  0.83785272E-01
 0.17886495E-02  0.13722950E+02  0.88882618E-01
 0.20092330E-02  0.14474102E+02  0.94311338E-01
 0.22570197E-02  0.15253936E+02  0.10009549E+00
 0.25353645E-02  0.16075277E+02  0.10626083E+00
 0.28480359E-02  0.16925668E+02  0.11283566E+00
 0.31992671E-02  0.17820193E+02  0.11985033E+00
 0.35938137E-02  0.18742910E+02  0.12733845E+00
 0.40370173E-02  0.19712057E+02  0.13533605E+00
 0.45348785E-02  0.20705218E+02  0.14388376E+00
 0.50941380E-02  0.21746135E+02  0.15302535E+00
 0.57223677E-02  0.22806207E+02  0.16281007E+00
 0.64280731E-02  0.23914673E+02  0.17329102E+00
 0.72208090E-02  0.25031742E+02  0.18452921E+00
 0.81113083E-02  0.26195791E+02  0.19659093E+00
 0.91116276E-02  0.27361113E+02  0.20955093E+00
 0.10235310E-01  0.28572205E+02  0.22348995E+00
 0.11497570E-01  0.29757280E+02  0.23850483E+00
 0.12915497E-01  0.30980420E+02  0.25470291E+00
 0.14508288E-01  0.32194909E+02  0.27219692E+00
 0.16297508E-01  0.33455427E+02  0.29111442E+00
 0.18307383E-01  0.34987657E+02  0.31149983E+00
 0.20565123E-01  0.36693792E+02  0.33334651E+00
 0.23101297E-01  0.38000402E+02  0.35689283E+00
 0.25950242E-01  0.39218937E+02  0.38248574E+00
 0.29150531E-01  0.40307858E+02  0.41040557E+00
 0.32745492E-01  0.41429456E+02  0.44090849E+00
 0.36783798E-01  0.42102917E+02  0.47443748E+00
 0.41320124E-01  0.42664934E+02  0.51156358E+00
 0.46415888E-01  0.43093788E+02  0.55279481E+00
 0.52140083E-01  0.43563570E+02  0.59862566E+00
 0.58570208E-01  0.43853243E+02  0.64966294E+00
 0.65793322E-01  0.44124415E+02  0.70662967E+00
 0.73907220E-01  0.44266581E+02  0.77032669E+00
 0.83021757E-01  0.44395071E+02  0.84166355E+00
 0.93260335E-01  0.44460313E+02  0.92162296E+00
 0.10476158E+00  0.44482706E+02  0.10113405E+01
 0.11768120E+00  0.44297690E+02  0.11123053E+01
 0.13219411E+00  0.43965078E+02  0.12263994E+01
 0.14849683E+00  0.43513375E+02  0.13557225E+01
 0.16681005E+00  0.42960737E+02  0.15026714E+01
 0.18738174E+00  0.42217187E+02  0.16702561E+01
 0.21049041E+00  0.41307098E+02  0.18622440E+01
 0.23644894E+00  0.40214819E+02  0.20832311E+01
 0.26560878E+00  0.38993445E+02  0.23387553E+01
 0.29836472E+00  0.37670899E+02  0.26353408E+01
 0.33516027E+00  0.36256914E+02  0.29808933E+01
 0.37649358E+00  0.34825761E+02  0.33846502E+01
 0.42292429E+00  0.33401517E+02  0.38571567E+01
