#   nzt =   1
#    zt = 0.7800E+02
#    wt = 0.1000E+01
#    zp = 0.1000E+01
#    rs =  0.28977600E+01
#    Te =  0.25000000E-01
#   rho =  0.21450000E+02
#  zbar =  0.67204287E+01
#   mep =  100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 0.10000000E-02  0.50686366E+01  0.12781542E+00
 0.11233240E-02  0.53616805E+01  0.13547533E+00
 0.12618569E-02  0.56716726E+01  0.14360935E+00
 0.14174742E-02  0.59975913E+01  0.15224856E+00
 0.15922828E-02  0.63422034E+01  0.16142579E+00
 0.17886495E-02  0.67038628E+01  0.17117669E+00
 0.20092330E-02  0.70860349E+01  0.18153923E+00
 0.22570197E-02  0.74865397E+01  0.19255450E+00
 0.25353645E-02  0.79094628E+01  0.20426636E+00
 0.28480359E-02  0.83518134E+01  0.21672249E+00
 0.31992671E-02  0.88185141E+01  0.22997388E+00
 0.35938137E-02  0.93057311E+01  0.24407601E+00
 0.40370173E-02  0.98192447E+01  0.25908825E+00
 0.45348785E-02  0.10354405E+02  0.27507523E+00
 0.50941380E-02  0.10917817E+02  0.29210613E+00
 0.57223677E-02  0.11502652E+02  0.31025752E+00
 0.64280731E-02  0.12117302E+02  0.32961163E+00
 0.72208090E-02  0.12751685E+02  0.35026057E+00
 0.81113083E-02  0.13416766E+02  0.37230393E+00
 0.91116276E-02  0.14100917E+02  0.39585161E+00
 0.10235310E-01  0.14816547E+02  0.42102278E+00
 0.11497570E-01  0.15553333E+02  0.44794593E+00
 0.12915497E-01  0.16323108E+02  0.47675963E+00
 0.14508288E-01  0.17112909E+02  0.50761698E+00
 0.16297508E-01  0.17936134E+02  0.54068416E+00
 0.18307383E-01  0.18777894E+02  0.57614476E+00
 0.20565123E-01  0.19653326E+02  0.61419899E+00
 0.23101297E-01  0.20554326E+02  0.65505790E+00
 0.25950242E-01  0.21494014E+02  0.69894755E+00
 0.29150531E-01  0.22474558E+02  0.74609755E+00
 0.32745492E-01  0.23506751E+02  0.79674555E+00
 0.36783798E-01  0.24602783E+02  0.85112438E+00
 0.41320124E-01  0.25773206E+02  0.90948136E+00
 0.46415888E-01  0.27219362E+02  0.97180901E+00
 0.52140083E-01  0.28881759E+02  0.10378877E+01
 0.58570208E-01  0.30279444E+02  0.11082449E+01
 0.65793322E-01  0.31566424E+02  0.11838659E+01
 0.73907220E-01  0.32739388E+02  0.12655745E+01
 0.83021757E-01  0.33879260E+02  0.13541505E+01
 0.93260335E-01  0.34718021E+02  0.14507721E+01
 0.10476158E+00  0.35376115E+02  0.15569819E+01
 0.11768120E+00  0.35655291E+02  0.16747224E+01
 0.13219411E+00  0.35686348E+02  0.18064554E+01
 0.14849683E+00  0.35585182E+02  0.19546112E+01
 0.16681005E+00  0.35394971E+02  0.21217021E+01
 0.18738174E+00  0.34988712E+02  0.23109904E+01
 0.21049041E+00  0.34410766E+02  0.25266700E+01
 0.23644894E+00  0.33695380E+02  0.27735846E+01
 0.26560878E+00  0.32883517E+02  0.30573240E+01
 0.29836472E+00  0.31952770E+02  0.33846384E+01
 0.33516027E+00  0.30916649E+02  0.37639160E+01
 0.37649358E+00  0.29880582E+02  0.42045493E+01
 0.42292429E+00  0.28851984E+02  0.47168579E+01
 0.47508102E+00  0.27750924E+02  0.53139618E+01
 0.53366992E+00  0.26563972E+02  0.60131343E+01
 0.59948425E+00  0.25388150E+02  0.68343514E+01
 0.67341507E+00  0.24216329E+02  0.78005394E+01
 0.75646333E+00  0.23053704E+02  0.89394348E+01
 0.84975344E+00  0.21866726E+02  0.10286030E+02
 0.95454846E+00  0.20743797E+02  0.11880837E+02
 0.10722672E+01  0.19670449E+02  0.13769604E+02
 0.12045035E+01  0.18633609E+02  0.16007911E+02
 0.13530478E+01  0.17590393E+02  0.18667245E+02
 0.15199111E+01  0.16613350E+02  0.21831184E+02
 0.17073526E+01  0.15683347E+02  0.25595170E+02
 0.19179103E+01  0.14802720E+02  0.30073825E+02
 0.21544347E+01  0.13928523E+02  0.35413267E+02
 0.24201283E+01  0.13119848E+02  0.41784526E+02
 0.27185882E+01  0.12353970E+02  0.49383846E+02
 0.30538555E+01  0.11635009E+02  0.58447040E+02
 0.34304693E+01  0.10920248E+02  0.69277372E+02
 0.38535286E+01  0.10256255E+02  0.82235136E+02
 0.43287613E+01  0.96153626E+01  0.97748244E+02
 0.48626016E+01  0.90184809E+01  0.11632869E+03
 0.54622772E+01  0.84255685E+01  0.13862807E+03
 0.61359073E+01  0.78683336E+01  0.16544197E+03
 0.68926121E+01  0.73099254E+01  0.19778704E+03
 0.77426368E+01  0.67930438E+01  0.23689022E+03
 0.86974900E+01  0.62927515E+01  0.28424094E+03
 0.97700996E+01  0.58347434E+01  0.34163380E+03
 0.10974988E+02  0.54051606E+01  0.41119976E+03
 0.12328467E+02  0.50102825E+01  0.49551985E+03
 0.13848864E+02  0.46342158E+01  0.59782561E+03
 0.15556761E+02  0.42896451E+01  0.72201660E+03
 0.17475284E+02  0.39622715E+01  0.87290145E+03
 0.19630407E+02  0.36610229E+01  0.10563492E+04
 0.22051307E+02  0.33727942E+01  0.12797330E+04
 0.24770764E+02  0.31084617E+01  0.15520366E+04
 0.27825594E+02  0.28572963E+01  0.18844067E+04
 0.31257158E+02  0.26268625E+01  0.22905294E+04
 0.35111917E+02  0.24094765E+01  0.27873785E+04
 0.39442061E+02  0.22106530E+01  0.33957286E+04
 0.44306215E+02  0.20232619E+01  0.41415675E+04
 0.49770236E+02  0.18524706E+01  0.50567925E+04
 0.55908102E+02  0.16938618E+01  0.61804927E+04
 0.62802914E+02  0.15495417E+01  0.75606378E+04
 0.70548023E+02  0.14167224E+01  0.92559059E+04
 0.79248290E+02  0.12956915E+01  0.11338252E+05
 0.89021509E+02  0.11829335E+01  0.13898342E+05
 0.10000000E+03  0.10802748E+01  0.17048406E+05
