#   nzt =   1
#    zt = 0.8800E+02
#    wt = 0.1000E+01
#    zp = 0.1000E+01
#    rs =  0.49376900E+01
#    Te =  0.25000000E-01
#   rho =  0.50220000E+01
#  zbar =  0.21660247E+01
#   mep =  100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 0.10000000E-02  0.16987478E+02  0.44177046E-01
 0.11233240E-02  0.17885348E+02  0.46830924E-01
 0.12618569E-02  0.18831336E+02  0.49662149E-01
 0.14174742E-02  0.19811187E+02  0.52684034E-01
 0.15922828E-02  0.20842729E+02  0.55910594E-01
 0.17886495E-02  0.21906471E+02  0.59357423E-01
 0.20092330E-02  0.23025261E+02  0.63041188E-01
 0.22570197E-02  0.24172410E+02  0.66980593E-01
 0.25353645E-02  0.25377552E+02  0.71195648E-01
 0.28480359E-02  0.26604113E+02  0.75709039E-01
 0.31992671E-02  0.27890951E+02  0.80545131E-01
 0.35938137E-02  0.29196110E+02  0.85731003E-01
 0.40370173E-02  0.30564536E+02  0.91295657E-01
 0.45348785E-02  0.31940749E+02  0.97272139E-01
 0.50941380E-02  0.33382536E+02  0.10369575E+00
 0.57223677E-02  0.34805485E+02  0.11060848E+00
 0.64280731E-02  0.36293039E+02  0.11805536E+00
 0.72208090E-02  0.37720883E+02  0.12609126E+00
 0.81113083E-02  0.39207956E+02  0.13477674E+00
 0.91116276E-02  0.40708377E+02  0.14416897E+00
 0.10235310E-01  0.42295155E+02  0.15433134E+00
 0.11497570E-01  0.44307302E+02  0.16527354E+00
 0.12915497E-01  0.46568149E+02  0.17697345E+00
 0.14508288E-01  0.48046627E+02  0.18959410E+00
 0.16297508E-01  0.49368623E+02  0.20336935E+00
 0.18307383E-01  0.50393909E+02  0.21848219E+00
 0.20565123E-01  0.51389685E+02  0.23511777E+00
 0.23101297E-01  0.51876161E+02  0.25353889E+00
 0.25950242E-01  0.52267464E+02  0.27405705E+00
 0.29150531E-01  0.52218620E+02  0.29703482E+00
 0.32745492E-01  0.52115732E+02  0.32288927E+00
 0.36783798E-01  0.51895813E+02  0.35202657E+00
 0.41320124E-01  0.51730542E+02  0.38487891E+00
 0.46415888E-01  0.51513872E+02  0.42192278E+00
 0.52140083E-01  0.51406385E+02  0.46366271E+00
 0.58570208E-01  0.51235004E+02  0.51067670E+00
 0.65793322E-01  0.51087800E+02  0.56365521E+00
 0.73907220E-01  0.50949964E+02  0.62333437E+00
 0.83021757E-01  0.50848454E+02  0.69052252E+00
 0.93260335E-01  0.50642650E+02  0.76622405E+00
 0.10476158E+00  0.50395164E+02  0.85163919E+00
 0.11768120E+00  0.50011435E+02  0.94818863E+00
 0.13219411E+00  0.49501427E+02  0.10576222E+01
 0.14849683E+00  0.48861012E+02  0.11819959E+01
 0.16681005E+00  0.48116663E+02  0.13236861E+01
 0.18738174E+00  0.47118705E+02  0.14857624E+01
 0.21049041E+00  0.45908755E+02  0.16721706E+01
 0.23644894E+00  0.44518825E+02  0.18876198E+01
 0.26560878E+00  0.43007436E+02  0.21376860E+01
 0.29836472E+00  0.41381790E+02  0.24290544E+01
 0.33516027E+00  0.39653053E+02  0.27699775E+01
 0.37649358E+00  0.37929463E+02  0.31700351E+01
 0.42292429E+00  0.36218173E+02  0.36402388E+01
 0.47508102E+00  0.34484195E+02  0.41941716E+01
 0.53366992E+00  0.32720706E+02  0.48489079E+01
 0.59948425E+00  0.30993885E+02  0.56247656E+01
 0.67341507E+00  0.29312810E+02  0.65455937E+01
 0.75646333E+00  0.27676546E+02  0.76401775E+01
 0.84975344E+00  0.26060095E+02  0.89444661E+01
 0.95454846E+00  0.24550848E+02  0.10500202E+02
 0.10722672E+01  0.23133586E+02  0.12354828E+02
 0.12045035E+01  0.21760579E+02  0.14567328E+02
 0.13530478E+01  0.20381673E+02  0.17215812E+02
 0.15199111E+01  0.19101845E+02  0.20391513E+02
 0.17073526E+01  0.17895216E+02  0.24198607E+02
 0.19179103E+01  0.16764443E+02  0.28762997E+02
 0.21544347E+01  0.15662262E+02  0.34244481E+02
 0.24201283E+01  0.14647163E+02  0.40831990E+02
 0.27185882E+01  0.13685935E+02  0.48748672E+02
 0.30538555E+01  0.12801853E+02  0.58260324E+02
 0.34304693E+01  0.11961636E+02  0.69689822E+02
 0.38535286E+01  0.11186401E+02  0.83424006E+02
 0.43287613E+01  0.10452116E+02  0.99929736E+02
 0.48626016E+01  0.97787346E+01  0.11975861E+03
 0.54622772E+01  0.91348365E+01  0.14358573E+03
 0.61359073E+01  0.85366427E+01  0.17222855E+03
 0.68926121E+01  0.79532655E+01  0.20671571E+03
 0.77426368E+01  0.74138466E+01  0.24828096E+03
 0.86974900E+01  0.68861329E+01  0.29846763E+03
 0.97700996E+01  0.63997471E+01  0.35914074E+03
 0.10974988E+02  0.59288362E+01  0.43260287E+03
 0.12328467E+02  0.54954059E+01  0.52165086E+03
 0.13848864E+02  0.50809888E+01  0.62971847E+03
 0.15556761E+02  0.47015763E+01  0.76095380E+03
 0.17475284E+02  0.43419403E+01  0.92044034E+03
 0.19630407E+02  0.40118369E+01  0.11143658E+04
 0.22051307E+02  0.36973788E+01  0.13504623E+04
 0.24770764E+02  0.34098342E+01  0.16381226E+04
 0.27825594E+02  0.31392096E+01  0.19888362E+04
 0.31257158E+02  0.28911095E+01  0.24166455E+04
 0.35111917E+02  0.26562209E+01  0.29391372E+04
 0.39442061E+02  0.24411838E+01  0.35777950E+04
 0.44306215E+02  0.22367038E+01  0.43597097E+04
 0.49770236E+02  0.20499150E+01  0.53181922E+04
 0.55908102E+02  0.18750342E+01  0.64942598E+04
 0.62802914E+02  0.17158303E+01  0.79382966E+04
 0.70548023E+02  0.15696462E+01  0.97112470E+04
 0.79248290E+02  0.14364740E+01  0.11887630E+05
 0.89021509E+02  0.13118427E+01  0.14562144E+05
 0.10000000E+03  0.11985487E+01  0.17851850E+05
