#   nzt =   1
#    zt = 0.3700E+02
#    wt = 0.1000E+01
#    zp = 0.1000E+01
#    rs =  0.53044100E+01
#    Te =  0.25000000E-01
#   rho =  0.15320000E+01
#  zbar =  0.10657208E+01
#   mep =  100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 0.10000000E-02  0.17818611E+02  0.15927844E-01
 0.11233240E-02  0.18668821E+02  0.16887096E-01
 0.12618569E-02  0.19562459E+02  0.17915356E-01
 0.14174742E-02  0.20472738E+02  0.19018387E-01
 0.15922828E-02  0.21429311E+02  0.20202206E-01
 0.17886495E-02  0.22391867E+02  0.21473792E-01
 0.20092330E-02  0.23403119E+02  0.22840575E-01
 0.22570197E-02  0.24404969E+02  0.24311287E-01
 0.25353645E-02  0.25457383E+02  0.25895274E-01
 0.28480359E-02  0.26495613E+02  0.27603039E-01
 0.31992671E-02  0.27588333E+02  0.29445756E-01
 0.35938137E-02  0.28652591E+02  0.31436392E-01
 0.40370173E-02  0.29775918E+02  0.33588933E-01
 0.45348785E-02  0.30924119E+02  0.35916525E-01
 0.50941380E-02  0.32152124E+02  0.38432248E-01
 0.57223677E-02  0.33299243E+02  0.41155744E-01
 0.64280731E-02  0.34516798E+02  0.44110033E-01
 0.72208090E-02  0.36089058E+02  0.47297775E-01
 0.81113083E-02  0.37862740E+02  0.50712328E-01
 0.91116276E-02  0.38941989E+02  0.54405051E-01
 0.10235310E-01  0.39945540E+02  0.58445578E-01
 0.11497570E-01  0.40728713E+02  0.62884644E-01
 0.12915497E-01  0.41520508E+02  0.67774203E-01
 0.14508288E-01  0.41875680E+02  0.73191665E-01
 0.16297508E-01  0.42134987E+02  0.79234080E-01
 0.18307383E-01  0.42218718E+02  0.85995128E-01
 0.20565123E-01  0.42286051E+02  0.93575043E-01
 0.23101297E-01  0.42068348E+02  0.10210595E+00
 0.25950242E-01  0.41800040E+02  0.11174574E+00
 0.29150531E-01  0.41421310E+02  0.12265976E+00
 0.32745492E-01  0.41040964E+02  0.13503164E+00
 0.36783798E-01  0.40524038E+02  0.14908307E+00
 0.41320124E-01  0.39982294E+02  0.16507668E+00
 0.46415888E-01  0.39420985E+02  0.18329405E+00
 0.52140083E-01  0.38906486E+02  0.20403553E+00
 0.58570208E-01  0.38272875E+02  0.22768277E+00
 0.65793322E-01  0.37638840E+02  0.25469157E+00
 0.73907220E-01  0.36972691E+02  0.28556146E+00
 0.83021757E-01  0.36321087E+02  0.32085882E+00
 0.93260335E-01  0.35595945E+02  0.36126997E+00
 0.10476158E+00  0.34862785E+02  0.40760120E+00
 0.11768120E+00  0.34031355E+02  0.46083008E+00
 0.13219411E+00  0.33155440E+02  0.52215155E+00
 0.14849683E+00  0.32277554E+02  0.59288791E+00
 0.16681005E+00  0.31419660E+02  0.67449285E+00
 0.18738174E+00  0.30421142E+02  0.76891101E+00
 0.21049041E+00  0.29323930E+02  0.87871391E+00
 0.23644894E+00  0.28173899E+02  0.10068976E+01
 0.26560878E+00  0.26997999E+02  0.11569664E+01
 0.29836472E+00  0.25784840E+02  0.13331815E+01
 0.33516027E+00  0.24541621E+02  0.15408337E+01
 0.37649358E+00  0.23334193E+02  0.17860611E+01
 0.42292429E+00  0.22164484E+02  0.20759241E+01
 0.47508102E+00  0.21023232E+02  0.24189530E+01
 0.53366992E+00  0.19898583E+02  0.28256632E+01
 0.59948425E+00  0.18817198E+02  0.33085802E+01
 0.67341507E+00  0.17769243E+02  0.38826660E+01
 0.75646333E+00  0.16770941E+02  0.45657553E+01
 0.84975344E+00  0.15807728E+02  0.53793887E+01
 0.95454846E+00  0.14911494E+02  0.63487155E+01
 0.10722672E+01  0.14073365E+02  0.75026180E+01
 0.12045035E+01  0.13269400E+02  0.88764883E+01
 0.13530478E+01  0.12473416E+02  0.10516095E+02
 0.15199111E+01  0.11735472E+02  0.12474730E+02
 0.17073526E+01  0.11043684E+02  0.14812777E+02
 0.19179103E+01  0.10381600E+02  0.17604556E+02
 0.21544347E+01  0.97141801E+01  0.20949097E+02
 0.24201283E+01  0.90921763E+01  0.24963892E+02
 0.27185882E+01  0.84972956E+01  0.29785988E+02
 0.30538555E+01  0.79359247E+01  0.35582872E+02
 0.34304693E+01  0.73766078E+01  0.42573089E+02
 0.38535286E+01  0.68538036E+01  0.51022408E+02
 0.43287613E+01  0.63472261E+01  0.61256111E+02
 0.48626016E+01  0.58798877E+01  0.73667451E+02
 0.54622772E+01  0.54380539E+01  0.88730479E+02
 0.61359073E+01  0.50281526E+01  0.10702619E+03
 0.68926121E+01  0.46348130E+01  0.12929125E+03
 0.77426368E+01  0.42732786E+01  0.15642076E+03
 0.86974900E+01  0.39322036E+01  0.18951055E+03
 0.97700996E+01  0.36208761E+01  0.22989170E+03
 0.10974988E+02  0.33330969E+01  0.27916087E+03
 0.12328467E+02  0.30683098E+01  0.33927535E+03
 0.13848864E+02  0.28173585E+01  0.41273318E+03
 0.15556761E+02  0.25875246E+01  0.50258760E+03
 0.17475284E+02  0.23724524E+01  0.61258679E+03
 0.19630407E+02  0.21748279E+01  0.74735246E+03
 0.22051307E+02  0.19879005E+01  0.91275545E+03
 0.24770764E+02  0.18171557E+01  0.11160214E+04
 0.27825594E+02  0.16585560E+01  0.13660149E+04
 0.31257158E+02  0.15137601E+01  0.16736793E+04
 0.35111917E+02  0.13791026E+01  0.20527196E+04
 0.39442061E+02  0.12565263E+01  0.25200415E+04
 0.44306215E+02  0.11430203E+01  0.30967093E+04
 0.49770236E+02  0.10399389E+01  0.38087737E+04
 0.55908102E+02  0.94572519E+00  0.46881585E+04
 0.62802914E+02  0.86017575E+00  0.57742784E+04
 0.70548023E+02  0.78174313E+00  0.71162690E+04
 0.79248290E+02  0.71054995E+00  0.87748275E+04
 0.89021509E+02  0.64510952E+00  0.10825865E+05
 0.10000000E+03  0.58575139E+00  0.13363802E+05
