#   nzt =   1
#    zt = 0.7500E+02
#    wt = 0.1000E+01
#    zp = 0.1000E+01
#    rs =  0.28950000E+01
#    Te =  0.25000000E-01
#   rho =  0.20530000E+02
#  zbar =  0.49111739E+01
#   mep =  100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 0.10000000E-02  0.44933445E+01  0.13745494E+00
 0.11233240E-02  0.47697732E+01  0.14567789E+00
 0.12618569E-02  0.50622816E+01  0.15438014E+00
 0.14174742E-02  0.53699700E+01  0.16359317E+00
 0.15922828E-02  0.56956679E+01  0.17334997E+00
 0.17886495E-02  0.60380172E+01  0.18368603E+00
 0.20092330E-02  0.64006651E+01  0.19463868E+00
 0.22570197E-02  0.67818609E+01  0.20624784E+00
 0.25353645E-02  0.71859640E+01  0.21855546E+00
 0.28480359E-02  0.76104962E+01  0.23160666E+00
 0.31992671E-02  0.80606416E+01  0.24544905E+00
 0.35938137E-02  0.85331292E+01  0.26013396E+00
 0.40370173E-02  0.90339110E+01  0.27571586E+00
 0.45348785E-02  0.95589357E+01  0.29225366E+00
 0.50941380E-02  0.10114935E+02  0.30981000E+00
 0.57223677E-02  0.10695808E+02  0.32845404E+00
 0.64280731E-02  0.11310107E+02  0.34825957E+00
 0.72208090E-02  0.11948656E+02  0.36930914E+00
 0.81113083E-02  0.12622739E+02  0.39169123E+00
 0.91116276E-02  0.13321882E+02  0.41550278E+00
 0.10235310E-01  0.14059005E+02  0.44084780E+00
 0.11497570E-01  0.14825054E+02  0.46783684E+00
 0.12915497E-01  0.15632594E+02  0.49658767E+00
 0.14508288E-01  0.16469908E+02  0.52722933E+00
 0.16297508E-01  0.17351266E+02  0.55990045E+00
 0.18307383E-01  0.18263538E+02  0.59475236E+00
 0.20565123E-01  0.19222252E+02  0.63194864E+00
 0.23101297E-01  0.20220615E+02  0.67165909E+00
 0.25950242E-01  0.21271261E+02  0.71406470E+00
 0.29150531E-01  0.22375931E+02  0.75934810E+00
 0.32745492E-01  0.23542912E+02  0.80770055E+00
 0.36783798E-01  0.24781582E+02  0.85931272E+00
 0.41320124E-01  0.26096641E+02  0.91439850E+00
 0.46415888E-01  0.27695820E+02  0.97293520E+00
 0.52140083E-01  0.29506903E+02  0.10347150E+01
 0.58570208E-01  0.31009519E+02  0.11002819E+01
 0.65793322E-01  0.32369331E+02  0.11706243E+01
 0.73907220E-01  0.33563888E+02  0.12465919E+01
 0.83021757E-01  0.34697231E+02  0.13290067E+01
 0.93260335E-01  0.35561435E+02  0.14189517E+01
 0.10476158E+00  0.36279034E+02  0.15177629E+01
 0.11768120E+00  0.36710596E+02  0.16270194E+01
 0.13219411E+00  0.36964980E+02  0.17486387E+01
 0.14849683E+00  0.37122758E+02  0.18845149E+01
 0.16681005E+00  0.37207816E+02  0.20366336E+01
 0.18738174E+00  0.37112839E+02  0.22075287E+01
 0.21049041E+00  0.36852036E+02  0.24004312E+01
 0.23644894E+00  0.36416435E+02  0.26191953E+01
 0.26560878E+00  0.35817590E+02  0.28684560E+01
 0.29836472E+00  0.35010497E+02  0.31540237E+01
 0.33516027E+00  0.33999976E+02  0.34833346E+01
 0.37649358E+00  0.32884482E+02  0.38650800E+01
 0.42292429E+00  0.31679754E+02  0.43092928E+01
 0.47508102E+00  0.30320233E+02  0.48289449E+01
 0.53366992E+00  0.28815704E+02  0.54411683E+01
 0.59948425E+00  0.27290493E+02  0.61661943E+01
 0.67341507E+00  0.25763897E+02  0.70275781E+01
 0.75646333E+00  0.24251286E+02  0.80540297E+01
 0.84975344E+00  0.22738262E+02  0.92816894E+01
 0.95454846E+00  0.21322706E+02  0.10752594E+02
 0.10722672E+01  0.19998112E+02  0.12514409E+02
 0.12045035E+01  0.18748865E+02  0.14624717E+02
 0.13530478E+01  0.17535071E+02  0.17156789E+02
 0.15199111E+01  0.16427282E+02  0.20195671E+02
 0.17073526E+01  0.15403816E+02  0.23837646E+02
 0.19179103E+01  0.14454387E+02  0.28198180E+02
 0.21544347E+01  0.13528567E+02  0.33425921E+02
 0.24201283E+01  0.12688079E+02  0.39694040E+02
 0.27185882E+01  0.11907079E+02  0.47198944E+02
 0.30538555E+01  0.11182552E+02  0.56176677E+02
 0.34304693E+01  0.10462092E+02  0.66937401E+02
 0.38535286E+01  0.97981461E+01  0.79850705E+02
 0.43287613E+01  0.91596524E+01  0.95354668E+02
 0.48626016E+01  0.85680580E+01  0.11397536E+03
 0.54622772E+01  0.79819491E+01  0.13638522E+03
 0.61359073E+01  0.74338998E+01  0.16340689E+03
 0.68926121E+01  0.68874398E+01  0.19609166E+03
 0.77426368E+01  0.63836250E+01  0.23571197E+03
 0.86974900E+01  0.58992322E+01  0.28380982E+03
 0.97700996E+01  0.54572916E+01  0.34224605E+03
 0.10974988E+02  0.50452983E+01  0.41322954E+03
 0.12328467E+02  0.46680528E+01  0.49943422E+03
 0.13848864E+02  0.43106293E+01  0.60420874E+03
 0.15556761E+02  0.39843717E+01  0.73159296E+03
 0.17475284E+02  0.36763601E+01  0.88655273E+03
 0.19630407E+02  0.33948039E+01  0.10751108E+04
 0.22051307E+02  0.31268978E+01  0.13048075E+04
 0.24770764E+02  0.28822839E+01  0.15847955E+04
 0.27825594E+02  0.26480782E+01  0.19266164E+04
 0.31257158E+02  0.24342629E+01  0.23444118E+04
 0.35111917E+02  0.22323620E+01  0.28556242E+04
 0.39442061E+02  0.20483332E+01  0.34815814E+04
 0.44306215E+02  0.18743342E+01  0.42490577E+04
 0.49770236E+02  0.17160681E+01  0.51909314E+04
 0.55908102E+02  0.15688242E+01  0.63474974E+04
 0.62802914E+02  0.14351551E+01  0.77681304E+04
 0.70548023E+02  0.13118595E+01  0.95133561E+04
 0.79248290E+02  0.11999122E+01  0.11657210E+05
 0.89021509E+02  0.10959715E+01  0.14292210E+05
 0.10000000E+03  0.10017867E+01  0.17532217E+05
