#   nzt =   1
#    zt = 0.4500E+02
#    wt = 0.1000E+01
#    zp = 0.1000E+01
#    rs =  0.28105800E+01
#    Te =  0.25000000E-01
#   rho =  0.12400000E+02
#  zbar =  0.59350623E+01
#   mep =  100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 0.10000000E-02  0.45926834E+01  0.74398811E-01
 0.11233240E-02  0.48580449E+01  0.78857573E-01
 0.12618569E-02  0.51387459E+01  0.83592463E-01
 0.14174742E-02  0.54338389E+01  0.88621607E-01
 0.15922828E-02  0.57458483E+01  0.93964149E-01
 0.17886495E-02  0.60732344E+01  0.99640881E-01
 0.20092330E-02  0.64191771E+01  0.10567395E+00
 0.22570197E-02  0.67816323E+01  0.11208736E+00
 0.25353645E-02  0.71643598E+01  0.11890669E+00
 0.28480359E-02  0.75645689E+01  0.12615981E+00
 0.31992671E-02  0.79867894E+01  0.13387647E+00
 0.35938137E-02  0.84274740E+01  0.14208907E+00
 0.40370173E-02  0.88919284E+01  0.15083229E+00
 0.45348785E-02  0.93758658E+01  0.16014385E+00
 0.50941380E-02  0.98853466E+01  0.17006415E+00
 0.57223677E-02  0.10414099E+02  0.18063788E+00
 0.64280731E-02  0.10969826E+02  0.19191304E+00
 0.72208090E-02  0.11543239E+02  0.20394342E+00
 0.81113083E-02  0.12144449E+02  0.21678714E+00
 0.91116276E-02  0.12762755E+02  0.23050837E+00
 0.10235310E-01  0.13409632E+02  0.24517663E+00
 0.11497570E-01  0.14075559E+02  0.26086682E+00
 0.12915497E-01  0.14771582E+02  0.27765967E+00
 0.14508288E-01  0.15485688E+02  0.29564434E+00
 0.16297508E-01  0.16230599E+02  0.31491739E+00
 0.18307383E-01  0.16993049E+02  0.33558506E+00
 0.20565123E-01  0.17787461E+02  0.35776257E+00
 0.23101297E-01  0.18607103E+02  0.38157051E+00
 0.25950242E-01  0.19464563E+02  0.40713708E+00
 0.29150531E-01  0.20362144E+02  0.43459152E+00
 0.32745492E-01  0.21309279E+02  0.46406741E+00
 0.36783798E-01  0.22316141E+02  0.49569596E+00
 0.41320124E-01  0.23389132E+02  0.52962057E+00
 0.46415888E-01  0.24722673E+02  0.56582899E+00
 0.52140083E-01  0.26252435E+02  0.60418177E+00
 0.58570208E-01  0.27491174E+02  0.64502450E+00
 0.65793322E-01  0.28587337E+02  0.68900394E+00
 0.73907220E-01  0.29518933E+02  0.73669053E+00
 0.83021757E-01  0.30378162E+02  0.78864690E+00
 0.93260335E-01  0.30951406E+02  0.84564643E+00
 0.10476158E+00  0.31355948E+02  0.90866819E+00
 0.11768120E+00  0.31445055E+02  0.97891230E+00
 0.13219411E+00  0.31333337E+02  0.10578746E+01
 0.14849683E+00  0.31114712E+02  0.11470628E+01
 0.16681005E+00  0.30832381E+02  0.12480478E+01
 0.18738174E+00  0.30371131E+02  0.13628656E+01
 0.21049041E+00  0.29773468E+02  0.14941339E+01
 0.23644894E+00  0.29069696E+02  0.16448738E+01
 0.26560878E+00  0.28295707E+02  0.18185671E+01
 0.29836472E+00  0.27416126E+02  0.20194795E+01
 0.33516027E+00  0.26442494E+02  0.22530027E+01
 0.37649358E+00  0.25481517E+02  0.25251401E+01
 0.42292429E+00  0.24539108E+02  0.28424094E+01
 0.47508102E+00  0.23519308E+02  0.32133163E+01
 0.53366992E+00  0.22400083E+02  0.36495172E+01
 0.59948425E+00  0.21289898E+02  0.41645991E+01
 0.67341507E+00  0.20181507E+02  0.47742062E+01
 0.75646333E+00  0.19091033E+02  0.54973103E+01
 0.84975344E+00  0.17986147E+02  0.63579051E+01
 0.95454846E+00  0.16939648E+02  0.73842694E+01
 0.10722672E+01  0.15936040E+02  0.86091501E+01
 0.12045035E+01  0.14982839E+02  0.10072061E+02
 0.13530478E+01  0.14050157E+02  0.11822399E+02
 0.15199111E+01  0.13174969E+02  0.13919229E+02
 0.17073526E+01  0.12342522E+02  0.16432379E+02
 0.19179103E+01  0.11560499E+02  0.19445856E+02
 0.21544347E+01  0.10801459E+02  0.23064896E+02
 0.24201283E+01  0.10099269E+02  0.27414561E+02
 0.27185882E+01  0.94395344E+01  0.32641231E+02
 0.30538555E+01  0.88237068E+01  0.38921579E+02
 0.34304693E+01  0.82242259E+01  0.46480722E+02
 0.38535286E+01  0.76683573E+01  0.55589201E+02
 0.43287613E+01  0.71383072E+01  0.66572593E+02
 0.48626016E+01  0.66485096E+01  0.79821556E+02
 0.54622772E+01  0.61763560E+01  0.95822422E+02
 0.61359073E+01  0.57350122E+01  0.11517222E+03
 0.68926121E+01  0.53008599E+01  0.13863944E+03
 0.77426368E+01  0.48998491E+01  0.16715839E+03
 0.86974900E+01  0.45160983E+01  0.20187147E+03
 0.97700996E+01  0.41645795E+01  0.24416790E+03
 0.10974988E+02  0.38357262E+01  0.29572487E+03
 0.12328467E+02  0.35336938E+01  0.35859228E+03
 0.13848864E+02  0.32487477E+01  0.43533522E+03
 0.15556761E+02  0.29877981E+01  0.52908194E+03
 0.17475284E+02  0.27424466E+01  0.64370769E+03
 0.19630407E+02  0.25173829E+01  0.78397297E+03
 0.22051307E+02  0.23048405E+01  0.95586568E+03
 0.24770764E+02  0.21108577E+01  0.11667268E+04
 0.27825594E+02  0.19300497E+01  0.14255878E+04
 0.31257158E+02  0.17649113E+01  0.17435796E+04
 0.35111917E+02  0.16110560E+01  0.21345866E+04
 0.39442061E+02  0.14707973E+01  0.26156910E+04
 0.44306215E+02  0.13396862E+01  0.32084026E+04
 0.49770236E+02  0.12204665E+01  0.39393061E+04
 0.55908102E+02  0.11105548E+01  0.48411288E+04
 0.62802914E+02  0.10107297E+01  0.59543117E+04
 0.70548023E+02  0.91924541E+00  0.73287983E+04
 0.79248290E+02  0.83617977E+00  0.90262548E+04
 0.89021509E+02  0.75999154E+00  0.11123418E+05
 0.10000000E+03  0.69084665E+00  0.13715512E+05
