#   nzt =   1
#    zt = 0.8600E+02
#    wt = 0.1000E+01
#    zp = 0.1000E+01
#    rs =  0.39133200E+01
#    Te =  0.25000000E-01
#   rho =  0.99100000E+01
#  zbar =  0.42544965E+01
#   mep =  100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 0.10000000E-02  0.10005770E+02  0.73674905E-01
 0.11233240E-02  0.10572799E+02  0.78092667E-01
 0.12618569E-02  0.11172083E+02  0.82788834E-01
 0.14174742E-02  0.11799196E+02  0.87782509E-01
 0.15922828E-02  0.12461580E+02  0.93093816E-01
 0.17886495E-02  0.13152586E+02  0.98744885E-01
 0.20092330E-02  0.13881873E+02  0.10475931E+00
 0.22570197E-02  0.14640577E+02  0.11116299E+00
 0.25353645E-02  0.15440578E+02  0.11798359E+00
 0.28480359E-02  0.16270827E+02  0.12525146E+00
 0.31992671E-02  0.17145448E+02  0.13299902E+00
 0.35938137E-02  0.18050706E+02  0.14126192E+00
 0.40370173E-02  0.19003453E+02  0.15007829E+00
 0.45348785E-02  0.19985160E+02  0.15949056E+00
 0.50941380E-02  0.21017185E+02  0.16954417E+00
 0.57223677E-02  0.22076061E+02  0.18028969E+00
 0.64280731E-02  0.23188104E+02  0.19178121E+00
 0.72208090E-02  0.24320391E+02  0.20408013E+00
 0.81113083E-02  0.25507725E+02  0.21725244E+00
 0.91116276E-02  0.26712053E+02  0.23137161E+00
 0.10235310E-01  0.27974447E+02  0.24651611E+00
 0.11497570E-01  0.29239156E+02  0.26277696E+00
 0.12915497E-01  0.30561380E+02  0.28025298E+00
 0.14508288E-01  0.31893491E+02  0.29905017E+00
 0.16297508E-01  0.33289734E+02  0.31928659E+00
 0.18307383E-01  0.34885646E+02  0.34102263E+00
 0.20565123E-01  0.36635943E+02  0.36428445E+00
 0.23101297E-01  0.38158894E+02  0.38926728E+00
 0.25950242E-01  0.39645408E+02  0.41625328E+00
 0.29150531E-01  0.41157036E+02  0.44544548E+00
 0.32745492E-01  0.42729222E+02  0.47701189E+00
 0.36783798E-01  0.43732180E+02  0.51141091E+00
 0.41320124E-01  0.44511626E+02  0.54928213E+00
 0.46415888E-01  0.45000676E+02  0.59123135E+00
 0.52140083E-01  0.45430436E+02  0.63787308E+00
 0.58570208E-01  0.45572880E+02  0.68994165E+00
 0.65793322E-01  0.45618931E+02  0.74831364E+00
 0.73907220E-01  0.45460749E+02  0.81397413E+00
 0.83021757E-01  0.45260898E+02  0.88802943E+00
 0.93260335E-01  0.44974616E+02  0.97167055E+00
 0.10476158E+00  0.44666890E+02  0.10662346E+01
 0.11768120E+00  0.44152954E+02  0.11734431E+01
 0.13219411E+00  0.43512760E+02  0.12954788E+01
 0.14849683E+00  0.42807509E+02  0.14347151E+01
 0.16681005E+00  0.42065994E+02  0.15937722E+01
 0.18738174E+00  0.41176187E+02  0.17759442E+01
 0.21049041E+00  0.40164290E+02  0.19853770E+01
 0.23644894E+00  0.39021522E+02  0.22270638E+01
 0.26560878E+00  0.37792515E+02  0.25069691E+01
 0.29836472E+00  0.36499397E+02  0.28320861E+01
 0.33516027E+00  0.35143397E+02  0.32108641E+01
 0.37649358E+00  0.33802736E+02  0.36530385E+01
 0.42292429E+00  0.32482999E+02  0.41696448E+01
 0.47508102E+00  0.31132051E+02  0.47743000E+01
 0.53366992E+00  0.29733555E+02  0.54843332E+01
 0.59948425E+00  0.28364574E+02  0.63200006E+01
 0.67341507E+00  0.27020341E+02  0.73047127E+01
 0.75646333E+00  0.25690084E+02  0.84669096E+01
 0.84975344E+00  0.24332165E+02  0.98429608E+01
 0.95454846E+00  0.23055323E+02  0.11474819E+02
 0.10722672E+01  0.21843752E+02  0.13409321E+02
 0.12045035E+01  0.20660038E+02  0.15704466E+02
 0.13530478E+01  0.19447333E+02  0.18437564E+02
 0.15199111E+01  0.18311262E+02  0.21698974E+02
 0.17073526E+01  0.17224871E+02  0.25591848E+02
 0.19179103E+01  0.16200476E+02  0.30240412E+02
 0.21544347E+01  0.15193494E+02  0.35801213E+02
 0.24201283E+01  0.14258730E+02  0.42459694E+02
 0.27185882E+01  0.13370628E+02  0.50433283E+02
 0.30538555E+01  0.12546774E+02  0.59980695E+02
 0.34304693E+01  0.11750223E+02  0.71422298E+02
 0.38535286E+01  0.11013798E+02  0.85139785E+02
 0.43287613E+01  0.10311305E+02  0.10159019E+03
 0.48626016E+01  0.96630540E+01  0.12131622E+03
 0.54622772E+01  0.90352355E+01  0.14498956E+03
 0.61359073E+01  0.84496514E+01  0.17342356E+03
 0.68926121E+01  0.78714539E+01  0.20764962E+03
 0.77426368E+01  0.73356519E+01  0.24890880E+03
 0.86974900E+01  0.68112708E+01  0.29874121E+03
 0.97700996E+01  0.63285388E+01  0.35900479E+03
 0.10974988E+02  0.58633254E+01  0.43197664E+03
 0.12328467E+02  0.54353103E+01  0.52042079E+03
 0.13848864E+02  0.50260596E+01  0.62774268E+03
 0.15556761E+02  0.46515162E+01  0.75805230E+03
 0.17475284E+02  0.42958800E+01  0.91639782E+03
 0.19630407E+02  0.39692496E+01  0.11089327E+04
 0.22051307E+02  0.36576904E+01  0.13433504E+04
 0.24770764E+02  0.33722817E+01  0.16290197E+04
 0.27825594E+02  0.31026275E+01  0.19774726E+04
 0.31257158E+02  0.28552529E+01  0.24028328E+04
 0.35111917E+02  0.26216203E+01  0.29226936E+04
 0.39442061E+02  0.24078338E+01  0.35585417E+04
 0.44306215E+02  0.22049198E+01  0.43374853E+04
 0.49770236E+02  0.20198367E+01  0.52928169E+04
 0.55908102E+02  0.18469015E+01  0.64654844E+04
 0.62802914E+02  0.16896098E+01  0.79057809E+04
 0.70548023E+02  0.15452040E+01  0.96746454E+04
 0.79248290E+02  0.14136642E+01  0.11846680E+05
 0.89021509E+02  0.12906725E+01  0.14516607E+05
 0.10000000E+03  0.11788336E+01  0.17801608E+05
