#   nzt =   1
#    zt = 0.4400E+02
#    wt = 0.1000E+01
#    zp = 0.1000E+01
#    rs =  0.28015700E+01
#    Te =  0.25000000E-01
#   rho =  0.12300000E+02
#  zbar =  0.38827878E+01
#   mep =  100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 0.10000000E-02  0.42474851E+01  0.79038087E-01
 0.11233240E-02  0.44926032E+01  0.83775043E-01
 0.12618569E-02  0.47518748E+01  0.88805687E-01
 0.14174742E-02  0.50243879E+01  0.94149334E-01
 0.15922828E-02  0.53125038E+01  0.99826386E-01
 0.17886495E-02  0.56147350E+01  0.10585902E+00
 0.20092330E-02  0.59340717E+01  0.11227086E+00
 0.22570197E-02  0.62685160E+01  0.11908754E+00
 0.25353645E-02  0.66216302E+01  0.12633638E+00
 0.28480359E-02  0.69907032E+01  0.13404716E+00
 0.31992671E-02  0.73800278E+01  0.14225169E+00
 0.35938137E-02  0.77862211E+01  0.15098461E+00
 0.40370173E-02  0.82142729E+01  0.16028296E+00
 0.45348785E-02  0.86601152E+01  0.17018708E+00
 0.50941380E-02  0.91294383E+01  0.18074014E+00
 0.57223677E-02  0.96163338E+01  0.19198992E+00
 0.64280731E-02  0.10128031E+02  0.20398773E+00
 0.72208090E-02  0.10655731E+02  0.21679112E+00
 0.81113083E-02  0.11209093E+02  0.23046222E+00
 0.91116276E-02  0.11778215E+02  0.24506944E+00
 0.10235310E-01  0.12374741E+02  0.26068624E+00
 0.11497570E-01  0.12990942E+02  0.27739049E+00
 0.12915497E-01  0.13640365E+02  0.29526319E+00
 0.14508288E-01  0.14315599E+02  0.31438927E+00
 0.16297508E-01  0.15035786E+02  0.33485324E+00
 0.18307383E-01  0.15796965E+02  0.35673734E+00
 0.20565123E-01  0.16621908E+02  0.38011868E+00
 0.23101297E-01  0.17513524E+02  0.40506359E+00
 0.25950242E-01  0.18490351E+02  0.43163188E+00
 0.29150531E-01  0.19563432E+02  0.45986937E+00
 0.32745492E-01  0.20739015E+02  0.48981869E+00
 0.36783798E-01  0.22010861E+02  0.52153441E+00
 0.41320124E-01  0.23380525E+02  0.55509883E+00
 0.46415888E-01  0.25034296E+02  0.59045354E+00
 0.52140083E-01  0.26893478E+02  0.62744415E+00
 0.58570208E-01  0.28424992E+02  0.66642509E+00
 0.65793322E-01  0.29768520E+02  0.70805580E+00
 0.73907220E-01  0.30847755E+02  0.75295588E+00
 0.83021757E-01  0.31759814E+02  0.80178620E+00
 0.93260335E-01  0.32350957E+02  0.85535405E+00
 0.10476158E+00  0.32717167E+02  0.91464568E+00
 0.11768120E+00  0.32776693E+02  0.98082485E+00
 0.13219411E+00  0.32619085E+02  0.10552960E+01
 0.14849683E+00  0.32305546E+02  0.11395737E+01
 0.16681005E+00  0.31879309E+02  0.12353334E+01
 0.18738174E+00  0.31272673E+02  0.13446691E+01
 0.21049041E+00  0.30530673E+02  0.14701860E+01
 0.23644894E+00  0.29674784E+02  0.16149448E+01
