#   nzt =   1
#    zt = 0.1600E+02
#    wt = 0.1000E+01
#    zp = 0.1000E+01
#    rs =  0.34611000E+01
#    Te =  0.50000000E+00
#   rho =  0.20686000E+01
#  zbar =  0.16009288E+01
#   mep =  100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 0.10000000E-02  0.77406245E+01  0.13770388E-01
 0.11233240E-02  0.81769172E+01  0.14596226E-01
 0.12618569E-02  0.86379480E+01  0.15474351E-01
 0.14174742E-02  0.91192509E+01  0.16408422E-01
 0.15922828E-02  0.96275093E+01  0.17402291E-01
 0.17886495E-02  0.10156589E+02  0.18460188E-01
 0.20092330E-02  0.10714787E+02  0.19586633E-01
 0.22570197E-02  0.11294470E+02  0.20786575E-01
 0.25353645E-02  0.11905386E+02  0.22065311E-01
 0.28480359E-02  0.12538077E+02  0.23428664E-01
 0.31992671E-02  0.13203962E+02  0.24882874E-01
 0.35938137E-02  0.13890793E+02  0.26434865E-01
 0.40370173E-02  0.14612340E+02  0.28092076E-01
 0.45348785E-02  0.15351197E+02  0.29862925E-01
 0.50941380E-02  0.16125183E+02  0.31756512E-01
 0.57223677E-02  0.16911794E+02  0.33783140E-01
 0.64280731E-02  0.17732814E+02  0.35953988E-01
 0.72208090E-02  0.18556783E+02  0.38282009E-01
 0.81113083E-02  0.19412066E+02  0.40781408E-01
 0.91116276E-02  0.20262410E+02  0.43468343E-01
 0.10235310E-01  0.21140140E+02  0.46360495E-01
 0.11497570E-01  0.21988857E+02  0.49479267E-01
 0.12915497E-01  0.22854852E+02  0.52848739E-01
 0.14508288E-01  0.23701359E+02  0.56494577E-01
 0.16297508E-01  0.24564597E+02  0.60446392E-01
 0.18307383E-01  0.25608861E+02  0.64717104E-01
 0.20565123E-01  0.26748629E+02  0.69310299E-01
 0.23101297E-01  0.27547093E+02  0.74284795E-01
 0.25950242E-01  0.28233968E+02  0.79725546E-01
 0.29150531E-01  0.28765127E+02  0.85707842E-01
 0.32745492E-01  0.29267623E+02  0.92305936E-01
 0.36783798E-01  0.29425175E+02  0.99634890E-01
 0.41320124E-01  0.29460986E+02  0.10784335E+00
 0.46415888E-01  0.29384936E+02  0.11707255E+00
 0.52140083E-01  0.29304274E+02  0.12746547E+00
 0.58570208E-01  0.29023777E+02  0.13921308E+00
 0.65793322E-01  0.28671447E+02  0.15255544E+00
 0.73907220E-01  0.28200170E+02  0.16776290E+00
 0.83021757E-01  0.27708681E+02  0.18514005E+00
 0.93260335E-01  0.27131213E+02  0.20504215E+00
 0.10476158E+00  0.26526115E+02  0.22788764E+00
 0.11768120E+00  0.25767106E+02  0.25422192E+00
 0.13219411E+00  0.24929215E+02  0.28474405E+00
 0.14849683E+00  0.24073676E+02  0.32022058E+00
 0.16681005E+00  0.23222815E+02  0.36150267E+00
 0.18738174E+00  0.22281728E+02  0.40970231E+00
 0.21049041E+00  0.21276362E+02  0.46627308E+00
 0.23644894E+00  0.20218221E+02  0.53299044E+00
 0.26560878E+00  0.19129209E+02  0.61204479E+00
 0.29836472E+00  0.18057803E+02  0.70601842E+00
 0.33516027E+00  0.17002790E+02  0.81799331E+00
 0.37649358E+00  0.15974849E+02  0.95173170E+00
 0.42292429E+00  0.14974910E+02  0.11118201E+01
 0.47508102E+00  0.14010370E+02  0.13038517E+01
 0.53366992E+00  0.13080907E+02  0.15346626E+01
 0.59948425E+00  0.12189834E+02  0.18126353E+01
 0.67341507E+00  0.11338010E+02  0.21480691E+01
 0.75646333E+00  0.10541738E+02  0.25532731E+01
 0.84975344E+00  0.97960151E+01  0.30430120E+01
 0.95454846E+00  0.91135846E+01  0.36347123E+01
 0.10722672E+01  0.84903078E+01  0.43485924E+01
 0.12045035E+01  0.79078138E+01  0.52093388E+01
 0.13530478E+01  0.73478567E+01  0.62488875E+01
 0.15199111E+01  0.68388599E+01  0.75046841E+01
 0.17073526E+01  0.63728485E+01  0.90192118E+01
 0.19179103E+01  0.59342099E+01  0.10845091E+02
 0.21544347E+01  0.54990052E+01  0.13053618E+02
 0.24201283E+01  0.50973282E+01  0.15730549E+02
 0.27185882E+01  0.47169798E+01  0.18977460E+02
 0.30538555E+01  0.43636808E+01  0.22918933E+02
 0.34304693E+01  0.40219082E+01  0.27714560E+02
 0.38535286E+01  0.37063241E+01  0.33559752E+02
 0.43287613E+01  0.34072210E+01  0.40694299E+02
 0.48626016E+01  0.31323782E+01  0.49411821E+02
 0.54622772E+01  0.28744268E+01  0.60074078E+02
 0.61359073E+01  0.26370520E+01  0.73126813E+02
 0.68926121E+01  0.24134058E+01  0.89130266E+02
 0.77426368E+01  0.22086116E+01  0.10877316E+03
 0.86974900E+01  0.20173969E+01  0.13290985E+03
 0.97700996E+01  0.18436474E+01  0.16258707E+03
 0.10974988E+02  0.16851289E+01  0.19906239E+03
 0.12328467E+02  0.15403175E+01  0.24388438E+03
 0.13848864E+02  0.14054480E+01  0.29902204E+03
 0.15556761E+02  0.12829334E+01  0.36689046E+03
 0.17475284E+02  0.11708959E+01  0.45041552E+03
 0.19630407E+02  0.10685615E+01  0.55320746E+03
 0.22051307E+02  0.97245965E+00  0.67992884E+03
 0.24770764E+02  0.88532161E+00  0.83632597E+03
 0.27825594E+02  0.80582039E+00  0.10293232E+04
 0.31257158E+02  0.73349973E+00  0.12674830E+04
 0.35111917E+02  0.66659296E+00  0.15616493E+04
 0.39442061E+02  0.60580540E+00  0.19252308E+04
 0.44306215E+02  0.54944893E+00  0.23751295E+04
 0.49770236E+02  0.49838846E+00  0.29323464E+04
 0.55908102E+02  0.45202877E+00  0.36224446E+04
 0.62802914E+02  0.40998815E+00  0.44770883E+04
 0.70548023E+02  0.37140789E+00  0.55362734E+04
 0.79248290E+02  0.33647252E+00  0.68496394E+04
 0.89021509E+02  0.30461598E+00  0.84787611E+04
 0.10000000E+03  0.27578481E+00  0.10500384E+05
