#   nzt =   1
#    zt = 0.1600E+02
#    wt = 0.1000E+01
#    zp = 0.1000E+01
#    rs =  0.35481900E+01
#    Te =  0.25000000E-01
#   rho =  0.19200000E+01
#  zbar =  0.14532446E+01
#   mep =  100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 0.10000000E-02  0.82165261E+01  0.12956641E-01
 0.11233240E-02  0.86728648E+01  0.13733985E-01
 0.12618569E-02  0.91546105E+01  0.14561192E-01
 0.14174742E-02  0.96565325E+01  0.15441821E-01
 0.15922828E-02  0.10185934E+02  0.16379628E-01
 0.17886495E-02  0.10735788E+02  0.17378745E-01
 0.20092330E-02  0.11315121E+02  0.18443594E-01
 0.22570197E-02  0.11915235E+02  0.19579032E-01
 0.25353645E-02  0.12546761E+02  0.20790264E-01
 0.28480359E-02  0.13198810E+02  0.22083035E-01
 0.31992671E-02  0.13884031E+02  0.23463511E-01
 0.35938137E-02  0.14588505E+02  0.24938544E-01
 0.40370173E-02  0.15327548E+02  0.26515497E-01
 0.45348785E-02  0.16081479E+02  0.28202725E-01
 0.50941380E-02  0.16870368E+02  0.30009245E-01
 0.57223677E-02  0.17668223E+02  0.31945325E-01
 0.64280731E-02  0.18500390E+02  0.34022083E-01
 0.72208090E-02  0.19330406E+02  0.36252457E-01
 0.81113083E-02  0.20191951E+02  0.38650620E-01
 0.91116276E-02  0.21047929E+02  0.41232358E-01
 0.10235310E-01  0.21934089E+02  0.44014895E-01
 0.11497570E-01  0.22810866E+02  0.47017467E-01
 0.12915497E-01  0.23716855E+02  0.50260816E-01
 0.14508288E-01  0.24573354E+02  0.53771192E-01
 0.16297508E-01  0.25445185E+02  0.57579824E-01
 0.18307383E-01  0.26509296E+02  0.61699121E-01
 0.20565123E-01  0.27685323E+02  0.66130951E-01
 0.23101297E-01  0.28478423E+02  0.70933819E-01
 0.25950242E-01  0.29154274E+02  0.76192716E-01
 0.29150531E-01  0.29609626E+02  0.81987650E-01
 0.32745492E-01  0.30017988E+02  0.88401736E-01
 0.36783798E-01  0.30118164E+02  0.95546716E-01
 0.41320124E-01  0.30120592E+02  0.10356160E+00
 0.46415888E-01  0.30038287E+02  0.11257861E+00
 0.52140083E-01  0.29961867E+02  0.12273209E+00
 0.58570208E-01  0.29692993E+02  0.13420421E+00
 0.65793322E-01  0.29352094E+02  0.14722535E+00
 0.73907220E-01  0.28894923E+02  0.16205490E+00
 0.83021757E-01  0.28407895E+02  0.17898745E+00
 0.93260335E-01  0.27818454E+02  0.19837361E+00
 0.10476158E+00  0.27182673E+02  0.22063245E+00
 0.11768120E+00  0.26380194E+02  0.24630989E+00
 0.13219411E+00  0.25484831E+02  0.27610636E+00
 0.14849683E+00  0.24556687E+02  0.31080304E+00
 0.16681005E+00  0.23623819E+02  0.35127770E+00
 0.18738174E+00  0.22592414E+02  0.39867772E+00
 0.21049041E+00  0.21493173E+02  0.45450606E+00
 0.23644894E+00  0.20346430E+02  0.52059787E+00
 0.26560878E+00  0.19179927E+02  0.59920791E+00
 0.29836472E+00  0.18052125E+02  0.69296638E+00
 0.33516027E+00  0.16964798E+02  0.80495943E+00
 0.37649358E+00  0.15929728E+02  0.93888774E+00
 0.42292429E+00  0.14946317E+02  0.10991760E+01
 0.47508102E+00  0.14019564E+02  0.12911044E+01
 0.53366992E+00  0.13139289E+02  0.15210502E+01
 0.59948425E+00  0.12305139E+02  0.17967579E+01
 0.67341507E+00  0.11509725E+02  0.21276871E+01
 0.75646333E+00  0.10764450E+02  0.25251404E+01
 0.84975344E+00  0.10058840E+02  0.30027557E+01
 0.95454846E+00  0.94045494E+01  0.35767645E+01
 0.10722672E+01  0.87948775E+01  0.42662935E+01
 0.12045035E+01  0.82182251E+01  0.50947783E+01
 0.13530478E+01  0.76591327E+01  0.60922050E+01
 0.15199111E+01  0.71414577E+01  0.72942145E+01
 0.17073526E+01  0.66582554E+01  0.87422758E+01
 0.19179103E+01  0.61998626E+01  0.10487753E+02
 0.21544347E+01  0.57483461E+01  0.12598384E+02
 0.24201283E+01  0.53283693E+01  0.15155977E+02
 0.27185882E+01  0.49303850E+01  0.18258272E+02
 0.30538555E+01  0.45586560E+01  0.22025478E+02
 0.34304693E+01  0.42002381E+01  0.26611016E+02
 0.38535286E+01  0.38684596E+01  0.32202721E+02
 0.43287613E+01  0.35549042E+01  0.39031107E+02
 0.48626016E+01  0.32667750E+01  0.47378086E+02
 0.54622772E+01  0.29979313E+01  0.57588735E+02
 0.61359073E+01  0.27502284E+01  0.70088405E+02
 0.68926121E+01  0.25168540E+01  0.85414559E+02
 0.77426368E+01  0.23031233E+01  0.10422749E+03
 0.86974900E+01  0.21040171E+01  0.12734321E+03
 0.97700996E+01  0.19228519E+01  0.15576258E+03
 0.10974988E+02  0.17573838E+01  0.19069283E+03
 0.12328467E+02  0.16059480E+01  0.23362370E+03
 0.13848864E+02  0.14648369E+01  0.28645055E+03
 0.15556761E+02  0.13363866E+01  0.35150415E+03
 0.17475284E+02  0.12187513E+01  0.43161842E+03
 0.19630407E+02  0.11111187E+01  0.53030157E+03
 0.22051307E+02  0.10101862E+01  0.65207861E+03
 0.24770764E+02  0.91856581E+00  0.80254229E+03
 0.27825594E+02  0.83534151E+00  0.98840766E+03
 0.31257158E+02  0.75956846E+00  0.12179898E+04
 0.35111917E+02  0.68961264E+00  0.15018477E+04
 0.39442061E+02  0.62603903E+00  0.18530589E+04
 0.44306215E+02  0.56736239E+00  0.22880502E+04
 0.49770236E+02  0.51419976E+00  0.28272366E+04
 0.55908102E+02  0.46596164E+00  0.34955817E+04
 0.62802914E+02  0.42224161E+00  0.43240356E+04
 0.70548023E+02  0.38224236E+00  0.53515769E+04
 0.79248290E+02  0.34604221E+00  0.66266146E+04
 0.89021509E+02  0.31314756E+00  0.82090675E+04
 0.10000000E+03  0.28338621E+00  0.10173586E+05
