#   nzt = 2
#    zt = 1.6000E+01 8.0000E+00
#    wt = 1.0000E+00 3.0000E+00
#    zp = 1.0000E+00
#    rs =  3.01014000E+00
#    Te =  2.50000000E-02
#   rho =  1.92000000E+00
#  zbar =  1.19376630E+00
#   mep = 100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 1.00000000E-03  5.24047933E+00  1.17347334E-02
 1.12332400E-03  5.53518790E+00  1.24997954E-02
 1.26185690E-03  5.84649217E+00  1.33134505E-02
 1.41747420E-03  6.17161065E+00  1.41790439E-02
 1.59228280E-03  6.51476327E+00  1.51001674E-02
 1.78864950E-03  6.87200173E+00  1.60807461E-02
 2.00923300E-03  7.24866317E+00  1.71250061E-02
 2.25701970E-03  7.63970203E+00  1.82375551E-02
 2.53536450E-03  8.05149720E+00  1.94233660E-02
 2.84803590E-03  8.47778185E+00  2.06878689E-02
 3.19926710E-03  8.92606178E+00  2.20369364E-02
 3.59381370E-03  9.38835210E+00  2.34770204E-02
 4.03701730E-03  9.87366350E+00  2.50151191E-02
 4.53487850E-03  1.03708861E+01  2.66590327E-02
 5.09413800E-03  1.08916068E+01  2.84172707E-02
 5.72236770E-03  1.14216099E+01  3.02993176E-02
 6.42807310E-03  1.19750896E+01  3.23155581E-02
 7.22080900E-03  1.25322023E+01  3.44777869E-02
 8.11130830E-03  1.31115178E+01  3.67990225E-02
 9.11162760E-03  1.36901287E+01  3.92938399E-02
 1.02353100E-02  1.42894202E+01  4.19783416E-02
 1.14975700E-02  1.48745245E+01  4.48714509E-02
 1.29154970E-02  1.54754035E+01  4.79943571E-02
 1.45082880E-02  1.60669205E+01  5.13697598E-02
 1.62975080E-02  1.66748235E+01  5.50224453E-02
 1.83073830E-02  1.73937125E+01  5.89658157E-02
 2.05651230E-02  1.81793783E+01  6.32084629E-02
 2.31012970E-02  1.87773875E+01  6.77958731E-02
 2.59502420E-02  1.93217923E+01  7.27943494E-02
 2.91505310E-02  1.98076983E+01  7.82613556E-02
 3.27454920E-02  2.02933525E+01  8.42540732E-02
 3.67837980E-02  2.05257695E+01  9.08678831E-02
 4.13201240E-02  2.06636500E+01  9.82305032E-02
 4.64158880E-02  2.06976113E+01  1.06466937E-01
 5.21400830E-02  2.07113138E+01  1.15708594E-01
 5.85702080E-02  2.05808563E+01  1.26120137E-01
 6.57933220E-02  2.03925702E+01  1.37906910E-01
 7.39072200E-02  2.01052913E+01  1.51303554E-01
 8.30217570E-02  1.97884630E+01  1.66580423E-01
 9.32603350E-02  1.94096255E+01  1.84046710E-01
 1.04761580E-01  1.90065680E+01  2.04067370E-01
 1.17681200E-01  1.84979300E+01  2.27107393E-01
 1.32194110E-01  1.79347462E+01  2.53752213E-01
 1.48496830E-01  1.73565973E+01  2.84651988E-01
 1.66810050E-01  1.67822270E+01  3.20535240E-01
 1.87381740E-01  1.61482988E+01  3.62327831E-01
 2.10490410E-01  1.54756090E+01  4.11218882E-01
 2.36448940E-01  1.47700870E+01  4.68647781E-01
 2.65608780E-01  1.40505845E+01  5.36354419E-01
 2.98364720E-01  1.33212563E+01  6.16444133E-01
 3.35160270E-01  1.25849310E+01  7.11509344E-01
 3.76493580E-01  1.18729170E+01  8.24625325E-01
 4.22924290E-01  1.11855559E+01  9.59408831E-01
 4.75081020E-01  1.05093644E+01  1.12034511E+00
 5.33669920E-01  9.83722917E+00  1.31313065E+00
 5.99484250E-01  9.18747890E+00  1.54475402E+00
 6.73415070E-01  8.55569525E+00  1.82375963E+00
 7.56463330E-01  7.96248675E+00  2.16042096E+00
 8.49753440E-01  7.40010917E+00  2.56706629E+00
 9.54548460E-01  6.87779375E+00  3.05856158E+00
 1.07226720E+00  6.38990633E+00  3.65272476E+00
 1.20450350E+00  5.93170065E+00  4.37143949E+00
 1.35304780E+00  5.49494005E+00  5.24208682E+00
 1.51991110E+00  5.09042898E+00  6.29782922E+00
 1.70735260E+00  4.71305775E+00  7.57838260E+00
 1.91791030E+00  4.36035460E+00  9.13266084E+00
 2.15443470E+00  4.02334323E+00  1.10224349E+01
 2.42012830E+00  3.71196045E+00  1.33232031E+01
 2.71858820E+00  3.42081015E+00  1.61261566E+01
 3.05385550E+00  3.15063623E+00  1.95438360E+01
 3.43046930E+00  2.89469603E+00  2.37174923E+01
 3.85352860E+00  2.65881787E+00  2.88210970E+01
 4.32876130E+00  2.43845265E+00  3.50675977E+01
 4.86260160E+00  2.23649843E+00  4.27182753E+01
 5.46227720E+00  2.04970265E+00  5.20922443E+01
 6.13590730E+00  1.87730713E+00  6.35857625E+01
 6.89261210E+00  1.71473155E+00  7.77021998E+01
 7.74263680E+00  1.56589365E+00  9.50648629E+01
 8.69749000E+00  1.42778262E+00  1.16439558E+02
 9.77009960E+00  1.30198182E+00  1.42771442E+02
 1.09749880E+01  1.18684164E+00  1.75214936E+02
 1.23284670E+01  1.08161543E+00  2.15200392E+02
 1.38488640E+01  9.83962438E-01  2.64532422E+02
 1.55567610E+01  8.95211998E-01  3.25444732E+02
 1.74752840E+01  8.14318250E-01  4.00659720E+02
 1.96304070E+01  7.40497477E-01  4.93560068E+02
 2.20513070E+01  6.71779880E-01  6.08461078E+02
 2.47707640E+01  6.09516995E-01  7.50724121E+02
 2.78255940E+01  5.53251632E-01  9.26818737E+02
 3.12571580E+01  5.02129405E-01  1.14476045E+03
 3.51119170E+01  4.55206487E-01  1.41466590E+03
 3.94420610E+01  4.12627547E-01  1.74912817E+03
 4.43062150E+01  3.73511482E-01  2.16390547E+03
 4.97702360E+01  3.38114320E-01  2.67861726E+03
 5.59081020E+01  3.06129795E-01  3.31727321E+03
 6.28029140E+01  2.77157325E-01  4.10967134E+03
 7.05480230E+01  2.50571350E-01  5.09356178E+03
 7.92482900E+01  2.26542612E-01  6.31603060E+03
 8.90215090E+01  2.04884370E-01  7.83465941E+03
 1.00000000E+02  1.85299337E-01  9.72089019E+03
