#   nzt =   1
#    zt = 0.5100E+02
#    wt = 0.1000E+01
#    zp = 0.1000E+01
#    rs =  0.36530500E+01
#    Te =  0.25000000E-01
#   rho =  0.66840000E+01
#  zbar =  0.29776985E+01
#   mep =  100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 0.10000000E-02  0.86718536E+01  0.46715933E-01
 0.11233240E-02  0.91752954E+01  0.49515295E-01
 0.12618569E-02  0.97078548E+01  0.52487220E-01
 0.14174742E-02  0.10266053E+02  0.55643345E-01
 0.15922828E-02  0.10856379E+02  0.58995883E-01
 0.17886495E-02  0.11473105E+02  0.62558292E-01
 0.20092330E-02  0.12124860E+02  0.66344878E-01
 0.22570197E-02  0.12803441E+02  0.70371438E-01
 0.25353645E-02  0.13519708E+02  0.74654845E-01
 0.28480359E-02  0.14263305E+02  0.79213661E-01
 0.31992671E-02  0.15047020E+02  0.84067786E-01
 0.35938137E-02  0.15858179E+02  0.89239139E-01
 0.40370173E-02  0.16711611E+02  0.94751262E-01
 0.45348785E-02  0.17590532E+02  0.10063044E+00
 0.50941380E-02  0.18513194E+02  0.10690501E+00
 0.57223677E-02  0.19458564E+02  0.11360662E+00
 0.64280731E-02  0.20448532E+02  0.12076943E+00
 0.72208090E-02  0.21453386E+02  0.12843252E+00
 0.81113083E-02  0.22501823E+02  0.13663837E+00
 0.91116276E-02  0.23558751E+02  0.14543486E+00
 0.10235310E-01  0.24657809E+02  0.15487401E+00
 0.11497570E-01  0.25750360E+02  0.16501624E+00
 0.12915497E-01  0.26880158E+02  0.17592793E+00
 0.14508288E-01  0.27994434E+02  0.18768410E+00
 0.16297508E-01  0.29141658E+02  0.20036937E+00
 0.18307383E-01  0.30379438E+02  0.21404859E+00
 0.20565123E-01  0.31690764E+02  0.22877924E+00
 0.23101297E-01  0.32883139E+02  0.24468385E+00
 0.25950242E-01  0.34064936E+02  0.26192350E+00
 0.29150531E-01  0.35445798E+02  0.28057753E+00
 0.32745492E-01  0.36955890E+02  0.30067520E+00
 0.36783798E-01  0.37858934E+02  0.32251775E+00
 0.41320124E-01  0.38513674E+02  0.34656060E+00
 0.46415888E-01  0.38816235E+02  0.37324170E+00
 0.52140083E-01  0.39008274E+02  0.40302398E+00
 0.58570208E-01  0.38923142E+02  0.43643777E+00
 0.65793322E-01  0.38734117E+02  0.47410507E+00
 0.73907220E-01  0.38307348E+02  0.51676320E+00
 0.83021757E-01  0.37814744E+02  0.56527109E+00
 0.93260335E-01  0.37285340E+02  0.62050917E+00
 0.10476158E+00  0.36776436E+02  0.68342148E+00
 0.11768120E+00  0.36164570E+02  0.75518004E+00
 0.13219411E+00  0.35522504E+02  0.83721029E+00
 0.14849683E+00  0.34897350E+02  0.93102061E+00
 0.16681005E+00  0.34300541E+02  0.10382495E+01
