#   nzt =   1
#    zt = 0.2100E+02
#    wt = 0.1000E+01
#    zp = 0.1000E+01
#    rs =  0.34267800E+01
#    Te =  0.25000000E-01
#   rho =  0.29890000E+01
#  zbar =  0.27393799E+01
#   mep =  100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 0.10000000E-02  0.67472012E+01  0.22126859E-01
 0.11233240E-02  0.71308580E+01  0.23453526E-01
 0.12618569E-02  0.75363566E+01  0.24863553E-01
 0.14174742E-02  0.79609695E+01  0.26362626E-01
 0.15922828E-02  0.84094631E+01  0.27956740E-01
 0.17886495E-02  0.88772533E+01  0.29652528E-01
 0.20092330E-02  0.93708711E+01  0.31457064E-01
 0.22570197E-02  0.98837002E+01  0.33378182E-01
 0.25353645E-02  0.10424154E+02  0.35424270E-01
 0.28480359E-02  0.10983952E+02  0.37604562E-01
 0.31992671E-02  0.11573068E+02  0.39928964E-01
 0.35938137E-02  0.12181513E+02  0.42408386E-01
 0.40370173E-02  0.12820833E+02  0.45054539E-01
 0.45348785E-02  0.13477871E+02  0.47880500E-01
 0.50941380E-02  0.14166850E+02  0.50900357E-01
 0.57223677E-02  0.14871551E+02  0.54129823E-01
 0.64280731E-02  0.15608877E+02  0.57585843E-01
 0.72208090E-02  0.16356045E+02  0.61287776E-01
 0.81113083E-02  0.17135155E+02  0.65256650E-01
 0.91116276E-02  0.17919182E+02  0.69516187E-01
 0.10235310E-01  0.18734332E+02  0.74092106E-01
 0.11497570E-01  0.19543046E+02  0.79014301E-01
 0.12915497E-01  0.20380246E+02  0.84315438E-01
 0.14508288E-01  0.21203673E+02  0.90032604E-01
 0.16297508E-01  0.22055006E+02  0.96207201E-01
 0.18307383E-01  0.22976952E+02  0.10287051E+00
 0.20565123E-01  0.23965404E+02  0.11004904E+00
 0.23101297E-01  0.24889821E+02  0.11779674E+00
 0.25950242E-01  0.25831906E+02  0.12618386E+00
 0.29150531E-01  0.27005059E+02  0.13522954E+00
 0.32745492E-01  0.28334855E+02  0.14491926E+00
 0.36783798E-01  0.29130640E+02  0.15539738E+00
 0.41320124E-01  0.29712521E+02  0.16689453E+00
 0.46415888E-01  0.29903238E+02  0.17964562E+00
 0.52140083E-01  0.29937307E+02  0.19392012E+00
 0.58570208E-01  0.29811444E+02  0.20998316E+00
 0.65793322E-01  0.29627579E+02  0.22811921E+00
 0.73907220E-01  0.29241603E+02  0.24869139E+00
 0.83021757E-01  0.28772906E+02  0.27214764E+00
 0.93260335E-01  0.28282949E+02  0.29894192E+00
 0.10476158E+00  0.27779730E+02  0.32956914E+00
 0.11768120E+00  0.27172537E+02  0.36466879E+00
 0.13219411E+00  0.26495712E+02  0.40504707E+00
 0.14849683E+00  0.25793401E+02  0.45160658E+00
 0.16681005E+00  0.25084910E+02  0.50535433E+00
 0.18738174E+00  0.24318536E+02  0.56753338E+00
 0.21049041E+00  0.23509854E+02  0.63968278E+00
 0.23644894E+00  0.22646784E+02  0.72367305E+00
 0.26560878E+00  0.21754529E+02  0.82175725E+00
 0.29836472E+00  0.20828426E+02  0.93664979E+00
 0.33516027E+00  0.19877286E+02  0.10716878E+01
 0.37649358E+00  0.18943831E+02  0.12307589E+01
 0.42292429E+00  0.18030730E+02  0.14183435E+01
 0.47508102E+00  0.17080793E+02  0.16402270E+01
 0.53366992E+00  0.16079765E+02  0.19042185E+01
 0.59948425E+00  0.15091674E+02  0.22197349E+01
 0.67341507E+00  0.14108100E+02  0.25981839E+01
 0.75646333E+00  0.13170880E+02  0.30532749E+01
 0.84975344E+00  0.12268950E+02  0.36015382E+01
 0.95454846E+00  0.11428758E+02  0.42627246E+01
 0.10722672E+01  0.10642421E+02  0.50601820E+01
 0.12045035E+01  0.99057249E+01  0.60223346E+01
 0.13530478E+01  0.92056916E+01  0.71845587E+01
 0.15199111E+01  0.85609176E+01  0.85889374E+01
 0.17073526E+01  0.79602108E+01  0.10285410E+02
 0.19179103E+01  0.74012140E+01  0.12334773E+02
 0.21544347E+01  0.68687081E+01  0.14813303E+02
 0.24201283E+01  0.63779010E+01  0.17812603E+02
 0.27185882E+01  0.59202157E+01  0.21441556E+02
 0.30538555E+01  0.54928947E+01  0.25833611E+02
 0.34304693E+01  0.50818104E+01  0.31159437E+02
 0.38535286E+01  0.47012503E+01  0.37626232E+02
 0.43287613E+01  0.43426119E+01  0.45485018E+02
 0.48626016E+01  0.40113926E+01  0.55041443E+02
 0.54622772E+01  0.36986687E+01  0.66673631E+02
 0.61359073E+01  0.34069500E+01  0.80850063E+02
 0.68926121E+01  0.31245681E+01  0.98179594E+02
 0.77426368E+01  0.28649977E+01  0.11940849E+03
 0.86974900E+01  0.26219245E+01  0.14544363E+03
 0.97700996E+01  0.23998938E+01  0.17739876E+03
 0.10974988E+02  0.21955237E+01  0.21662610E+03
 0.12328467E+02  0.20081273E+01  0.26479298E+03
 0.13848864E+02  0.18325070E+01  0.32402443E+03
 0.15556761E+02  0.16727168E+01  0.39692973E+03
 0.17475284E+02  0.15263696E+01  0.48666378E+03
 0.19630407E+02  0.13927064E+01  0.59712210E+03
 0.22051307E+02  0.12681162E+01  0.73326600E+03
 0.24770764E+02  0.11548700E+01  0.90121515E+03
 0.27825594E+02  0.10511938E+01  0.11084341E+04
 0.31257158E+02  0.95686554E+00  0.13641512E+04
 0.35111917E+02  0.87022917E+00  0.16798729E+04
 0.39442061E+02  0.79139769E+00  0.20698219E+04
 0.44306215E+02  0.71848012E+00  0.25519423E+04
 0.49770236E+02  0.65228233E+00  0.31484980E+04
 0.55908102E+02  0.59190709E+00  0.38868176E+04
 0.62802914E+02  0.53709574E+00  0.48007582E+04
 0.70548023E+02  0.48676372E+00  0.59329365E+04
 0.79248290E+02  0.44114750E+00  0.73362422E+04
 0.89021509E+02  0.39952378E+00  0.90762811E+04
 0.10000000E+03  0.36182909E+00  0.11234801E+05
