#   nzt =   1
#    zt = 0.3400E+02
#    wt = 0.1000E+01
#    zp = 0.1000E+01
#    rs =  0.35280900E+01
#    Te =  0.25000000E-01
#   rho =  0.48100000E+01
#  zbar =  0.37809204E+01
#   mep =  100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 0.10000000E-02  0.80590794E+01  0.32534103E-01
 0.11233240E-02  0.85162747E+01  0.34484884E-01
 0.12618569E-02  0.89994431E+01  0.36558494E-01
 0.14174742E-02  0.95051658E+01  0.38763348E-01
 0.15922828E-02  0.10039262E+02  0.41108317E-01
 0.17886495E-02  0.10596301E+02  0.43603189E-01
 0.20092330E-02  0.11184034E+02  0.46258406E-01
 0.22570197E-02  0.11794884E+02  0.49085495E-01
 0.25353645E-02  0.12438621E+02  0.52096790E-01
 0.28480359E-02  0.13105737E+02  0.55305859E-01
 0.31992671E-02  0.13807827E+02  0.58727253E-01
 0.35938137E-02  0.14533278E+02  0.62376996E-01
 0.40370173E-02  0.15295633E+02  0.66272286E-01
 0.45348785E-02  0.16079532E+02  0.70432311E-01
 0.50941380E-02  0.16901727E+02  0.74877729E-01
 0.57223677E-02  0.17742886E+02  0.79631618E-01
 0.64280731E-02  0.18623226E+02  0.84718852E-01
 0.72208090E-02  0.19515423E+02  0.90167868E-01
 0.81113083E-02  0.20446054E+02  0.96009550E-01
 0.91116276E-02  0.21382953E+02  0.10227869E+00
 0.10235310E-01  0.22357278E+02  0.10901302E+00
 0.11497570E-01  0.23324510E+02  0.11625636E+00
 0.12915497E-01  0.24325128E+02  0.12405678E+00
 0.14508288E-01  0.25312008E+02  0.13246841E+00
 0.16297508E-01  0.26329450E+02  0.14155217E+00
 0.18307383E-01  0.27436294E+02  0.15135348E+00
 0.20565123E-01  0.28615911E+02  0.16191086E+00
 0.23101297E-01  0.29677156E+02  0.17331345E+00
 0.25950242E-01  0.30726747E+02  0.18567979E+00
 0.29150531E-01  0.31943887E+02  0.19907044E+00
 0.32745492E-01  0.33276502E+02  0.21350999E+00
 0.36783798E-01  0.34055142E+02  0.22921771E+00
 0.41320124E-01  0.34602018E+02  0.24652695E+00
 0.46415888E-01  0.34822033E+02  0.26576155E+00
 0.52140083E-01  0.34932206E+02  0.28726609E+00
 0.58570208E-01  0.34757885E+02  0.31144826E+00
 0.65793322E-01  0.34464886E+02  0.33879626E+00
 0.73907220E-01  0.33923347E+02  0.36989769E+00
 0.83021757E-01  0.33292056E+02  0.40545130E+00
 0.93260335E-01  0.32576755E+02  0.44621169E+00
 0.10476158E+00  0.31840018E+02  0.49302341E+00
 0.11768120E+00  0.30939424E+02  0.54698284E+00
 0.13219411E+00  0.29955434E+02  0.60948898E+00
 0.14849683E+00  0.28962301E+02  0.68207100E+00
 0.16681005E+00  0.27990220E+02  0.76641239E+00
 0.18738174E+00  0.26986517E+02  0.86456004E+00
 0.21049041E+00  0.25964356E+02  0.97902960E+00
 0.23644894E+00  0.24901657E+02  0.11128970E+01
 0.26560878E+00  0.23825710E+02  0.12698992E+01
 0.29836472E+00  0.22776940E+02  0.14543139E+01
 0.33516027E+00  0.21748184E+02  0.16711523E+01
 0.37649358E+00  0.20760924E+02  0.19262924E+01
 0.42292429E+00  0.19812097E+02  0.22265628E+01
 0.47508102E+00  0.18885718E+02  0.25801957E+01
 0.53366992E+00  0.17969635E+02  0.29973356E+01
 0.59948425E+00  0.17087274E+02  0.34899773E+01
 0.67341507E+00  0.16233321E+02  0.40722185E+01
 0.75646333E+00  0.15407586E+02  0.47609482E+01
 0.84975344E+00  0.14589084E+02  0.55771818E+01
 0.95454846E+00  0.13826727E+02  0.65451466E+01
 0.10722672E+01  0.13111593E+02  0.76919641E+01
 0.12045035E+01  0.12414732E+02  0.90512179E+01
 0.13530478E+01  0.11702288E+02  0.10667833E+02
 0.15199111E+01  0.11039028E+02  0.12593874E+02
 0.17073526E+01  0.10413294E+02  0.14887156E+02
 0.19179103E+01  0.98046407E+01  0.17619803E+02
 0.21544347E+01  0.91699282E+01  0.20891868E+02
 0.24201283E+01  0.85718110E+01  0.24823170E+02
 0.27185882E+01  0.79889276E+01  0.29554983E+02
 0.30538555E+01  0.74427106E+01  0.35258831E+02
 0.34304693E+01  0.69099328E+01  0.42149129E+02
 0.38535286E+01  0.64135504E+01  0.50486809E+02
 0.43287613E+01  0.59366030E+01  0.60592848E+02
 0.48626016E+01  0.54978015E+01  0.72854131E+02
 0.54622772E+01  0.50844393E+01  0.87737569E+02
 0.61359073E+01  0.47016426E+01  0.10581471E+03
 0.68926121E+01  0.43353643E+01  0.12780836E+03
 0.77426368E+01  0.39979514E+01  0.15459930E+03
 0.86974900E+01  0.36781794E+01  0.18727636E+03
 0.97700996E+01  0.33857684E+01  0.22716460E+03
 0.10974988E+02  0.31146634E+01  0.27585716E+03
 0.12328467E+02  0.28649832E+01  0.33531096E+03
 0.13848864E+02  0.26282343E+01  0.40802419E+03
 0.15556761E+02  0.24115580E+01  0.49705167E+03
 0.17475284E+02  0.22092544E+01  0.60613488E+03
 0.19630407E+02  0.20233853E+01  0.73989284E+03
 0.22051307E+02  0.18472255E+01  0.90423702E+03
 0.24770764E+02  0.16866634E+01  0.11064448E+04
 0.27825594E+02  0.15384209E+01  0.13553563E+04
 0.31257158E+02  0.14033193E+01  0.16618810E+04
 0.35111917E+02  0.12783599E+01  0.20396340E+04
 0.39442061E+02  0.11646314E+01  0.25054025E+04
 0.44306215E+02  0.10591809E+01  0.30802496E+04
 0.49770236E+02  0.96343212E+00  0.37902391E+04
 0.55908102E+02  0.87602237E+00  0.46672245E+04
 0.62802914E+02  0.79664392E+00  0.57505451E+04
 0.70548023E+02  0.72384013E+00  0.70893420E+04
 0.79248290E+02  0.65773602E+00  0.87443516E+04
 0.89021509E+02  0.59681789E+00  0.10791899E+05
 0.10000000E+03  0.54157808E+00  0.13327045E+05
