#   nzt =   1
#    zt = 0.1400E+02
#    wt = 0.1000E+01
#    zp = 0.1000E+01
#    rs =  0.31871200E+01
#    Te =  0.25000000E-01
#   rho =  0.23212000E+01
#  zbar =  0.27850751E+01
#   mep =  100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 0.10000000E-02  0.60187864E+01  0.15502956E-01
 0.11233240E-02  0.63645034E+01  0.16432214E-01
 0.12618569E-02  0.67302320E+01  0.17419317E-01
 0.14174742E-02  0.71139832E+01  0.18468124E-01
 0.15922828E-02  0.75199120E+01  0.19582688E-01
 0.17886495E-02  0.79443865E+01  0.20767472E-01
 0.20092330E-02  0.83931333E+01  0.22027219E-01
 0.22570197E-02  0.88605581E+01  0.23367178E-01
 0.25353645E-02  0.93540976E+01  0.24792959E-01
 0.28480359E-02  0.98665425E+01  0.26310743E-01
 0.31992671E-02  0.10406674E+02  0.27927168E-01
 0.35938137E-02  0.10965944E+02  0.29649530E-01
 0.40370173E-02  0.11554224E+02  0.31485686E-01
 0.45348785E-02  0.12160771E+02  0.33444358E-01
 0.50941380E-02  0.12797190E+02  0.35534971E-01
 0.57223677E-02  0.13450012E+02  0.37768047E-01
 0.64280731E-02  0.14133006E+02  0.40154969E-01
 0.72208090E-02  0.14826720E+02  0.42708781E-01
 0.81113083E-02  0.15549399E+02  0.45443713E-01
 0.91116276E-02  0.16277670E+02  0.48375864E-01
 0.10235310E-01  0.17033071E+02  0.51522838E-01
 0.11497570E-01  0.17787367E+02  0.54904641E-01
 0.12915497E-01  0.18565812E+02  0.58543158E-01
 0.14508288E-01  0.19326058E+02  0.62464416E-01
 0.16297508E-01  0.20102846E+02  0.66697664E-01
 0.18307383E-01  0.20876335E+02  0.71273151E-01
 0.20565123E-01  0.21669757E+02  0.76223790E-01
 0.23101297E-01  0.22479341E+02  0.81583123E-01
 0.25950242E-01  0.23316140E+02  0.87389828E-01
 0.29150531E-01  0.24428996E+02  0.93647167E-01
 0.32745492E-01  0.25699824E+02  0.10033309E+00
 0.36783798E-01  0.26495025E+02  0.10754299E+00
 0.41320124E-01  0.27079476E+02  0.11543624E+00
 0.46415888E-01  0.27388340E+02  0.12416007E+00
 0.52140083E-01  0.27591958E+02  0.13386653E+00
 0.58570208E-01  0.27434998E+02  0.14476213E+00
 0.65793322E-01  0.27101593E+02  0.15711143E+00
 0.73907220E-01  0.26434300E+02  0.17124733E+00
 0.83021757E-01  0.25617707E+02  0.18758649E+00
 0.93260335E-01  0.24719679E+02  0.20657096E+00
 0.10476158E+00  0.23800216E+02  0.22869477E+00
 0.11768120E+00  0.22798653E+02  0.25457485E+00
 0.13219411E+00  0.21772871E+02  0.28497541E+00
 0.14849683E+00  0.20758650E+02  0.32076765E+00
 0.16681005E+00  0.19774187E+02  0.36295966E+00
 0.18738174E+00  0.18829096E+02  0.41272535E+00
 0.21049041E+00  0.17922708E+02  0.47143615E+00
 0.23644894E+00  0.17004632E+02  0.54083348E+00
 0.26560878E+00  0.16088349E+02  0.62312806E+00
 0.29836472E+00  0.15213972E+02  0.72086704E+00
 0.33516027E+00  0.14376265E+02  0.83701147E+00
 0.37649358E+00  0.13569779E+02  0.97515828E+00
 0.42292429E+00  0.12794770E+02  0.11396530E+01
 0.47508102E+00  0.12047073E+02  0.13357641E+01
 0.53366992E+00  0.11325012E+02  0.15699351E+01
 0.59948425E+00  0.10639059E+02  0.18498653E+01
 0.67341507E+00  0.99901704E+01  0.21846504E+01
 0.75646333E+00  0.93657805E+01  0.25854359E+01
 0.84975344E+00  0.87541301E+01  0.30664884E+01
 0.95454846E+00  0.81906934E+01  0.36443909E+01
 0.10722672E+01  0.76702610E+01  0.43378175E+01
 0.12045035E+01  0.71731791E+01  0.51699857E+01
 0.13530478E+01  0.66776648E+01  0.61721108E+01
 0.15199111E+01  0.62210128E+01  0.73810245E+01
 0.17073526E+01  0.57939115E+01  0.88387997E+01
 0.19179103E+01  0.53891751E+01  0.10597763E+02
 0.21544347E+01  0.49848659E+01  0.12728470E+02
 0.24201283E+01  0.46087777E+01  0.15316749E+02
 0.27185882E+01  0.42488884E+01  0.18466399E+02
 0.30538555E+01  0.39171441E+01  0.22304065E+02
 0.34304693E+01  0.36043952E+01  0.26984835E+02
 0.38535286E+01  0.33151946E+01  0.32699903E+02
 0.43287613E+01  0.30411400E+01  0.39690086E+02
 0.48626016E+01  0.27909251E+01  0.48248426E+02
 0.54622772E+01  0.25600309E+01  0.58726619E+02
 0.61359073E+01  0.23475577E+01  0.71559060E+02
 0.68926121E+01  0.21474569E+01  0.87299865E+02
 0.77426368E+01  0.19646792E+01  0.10662806E+03
 0.86974900E+01  0.17950500E+01  0.13037752E+03
 0.97700996E+01  0.16407583E+01  0.15957107E+03
 0.10974988E+02  0.14993944E+01  0.19545270E+03
 0.12328467E+02  0.13702892E+01  0.23955380E+03
 0.13848864E+02  0.12499708E+01  0.29381740E+03
 0.15556761E+02  0.11407786E+01  0.36062674E+03
 0.17475284E+02  0.10412397E+01  0.44285164E+03
 0.19630407E+02  0.95019572E+00  0.54403881E+03
 0.22051307E+02  0.86433145E+00  0.66881583E+03
 0.24770764E+02  0.78640644E+00  0.82289584E+03
 0.27825594E+02  0.71509332E+00  0.10131872E+04
 0.31257158E+02  0.65027346E+00  0.12482477E+04
 0.35111917E+02  0.59068684E+00  0.15387877E+04
 0.39442061E+02  0.53652579E+00  0.18980638E+04
 0.44306215E+02  0.48633315E+00  0.23428871E+04
 0.49770236E+02  0.44087691E+00  0.28941522E+04
 0.55908102E+02  0.39976849E+00  0.35771542E+04
 0.62802914E+02  0.36248983E+00  0.44232223E+04
 0.70548023E+02  0.32830004E+00  0.54720465E+04
 0.79248290E+02  0.29734177E+00  0.67728701E+04
 0.89021509E+02  0.26904105E+00  0.83871133E+04
 0.10000000E+03  0.24344100E+00  0.10391420E+05
