#   nzt =   1
#    zt = 0.6000E+01
#    wt = 0.1000E+01
#    zp = 0.1000E+01
#    rs =  0.23867900E+01
#    Te =  0.25000000E-01
#   rho =  0.32100000E+01
#  zbar =  0.24913430E+01
#   mep =  100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 0.10000000E-02  0.27787759E+01  0.14351808E-01
 0.11233240E-02  0.29379497E+01  0.15212126E-01
 0.12618569E-02  0.31062423E+01  0.16126149E-01
 0.14174742E-02  0.32828618E+01  0.17097463E-01
 0.15922828E-02  0.34694963E+01  0.18129859E-01
 0.17886495E-02  0.36649590E+01  0.19227462E-01
 0.20092330E-02  0.38713555E+01  0.20394674E-01
 0.22570197E-02  0.40871343E+01  0.21636275E-01
 0.25353645E-02  0.43147890E+01  0.22957376E-01
 0.28480359E-02  0.45522338E+01  0.24363556E-01
 0.31992671E-02  0.48024793E+01  0.25860791E-01
 0.35938137E-02  0.50629182E+01  0.27455605E-01
 0.40370173E-02  0.53370613E+01  0.29154998E-01
 0.45348785E-02  0.56217775E+01  0.30966613E-01
 0.50941380E-02  0.59210656E+01  0.32898654E-01
 0.57223677E-02  0.62303445E+01  0.34960264E-01
 0.64280731E-02  0.65547529E+01  0.37161287E-01
 0.72208090E-02  0.68874001E+01  0.39512887E-01
 0.81113083E-02  0.72351834E+01  0.42027183E-01
 0.91116276E-02  0.75901814E+01  0.44717661E-01
 0.10235310E-01  0.79602054E+01  0.47599017E-01
 0.11497570E-01  0.83381621E+01  0.50687174E-01
 0.12915497E-01  0.87314456E+01  0.53999385E-01
 0.14508288E-01  0.91309543E+01  0.57554931E-01
 0.16297508E-01  0.95452183E+01  0.61374881E-01
 0.18307383E-01  0.99644147E+01  0.65482610E-01
 0.20565123E-01  0.10397749E+02  0.69903777E-01
 0.23101297E-01  0.10840051E+02  0.74665451E-01
 0.25950242E-01  0.11298207E+02  0.79796939E-01
 0.29150531E-01  0.11774072E+02  0.85327977E-01
 0.32745492E-01  0.12270443E+02  0.91289976E-01
 0.36783798E-01  0.12789940E+02  0.97715786E-01
 0.41320124E-01  0.13333857E+02  0.10464373E+00
 0.46415888E-01  0.14055904E+02  0.11206795E+00
 0.52140083E-01  0.14898739E+02  0.11994617E+00
 0.58570208E-01  0.15463509E+02  0.12837994E+00
 0.65793322E-01  0.15874075E+02  0.13756182E+00
 0.73907220E-01  0.16099969E+02  0.14767357E+00
 0.83021757E-01  0.16228118E+02  0.15890669E+00
 0.93260335E-01  0.16138208E+02  0.17151193E+00
 0.10476158E+00  0.15920603E+02  0.18580810E+00
 0.11768120E+00  0.15503895E+02  0.20219559E+00
 0.13219411E+00  0.14965543E+02  0.22119062E+00
 0.14849683E+00  0.14370935E+02  0.24335931E+00
 0.16681005E+00  0.13750005E+02  0.26933908E+00
 0.18738174E+00  0.13081460E+02  0.29992879E+00
 0.21049041E+00  0.12384253E+02  0.33613808E+00
 0.23644894E+00  0.11658317E+02  0.37922813E+00
 0.26560878E+00  0.10921378E+02  0.43078399E+00
 0.29836472E+00  0.10206208E+02  0.49268848E+00
 0.33516027E+00  0.95162334E+01  0.56719381E+00
 0.37649358E+00  0.88664998E+01  0.65699357E+00
 0.42292429E+00  0.82554097E+01  0.76529482E+00
 0.47508102E+00  0.76763289E+01  0.89604286E+00
 0.53366992E+00  0.71276401E+01  0.10541154E+01
 0.59948425E+00  0.66119620E+01  0.12454423E+01
 0.67341507E+00  0.61252098E+01  0.14773040E+01
 0.75646333E+00  0.56741356E+01  0.17584680E+01
 0.84975344E+00  0.52543704E+01  0.20994758E+01
 0.95454846E+00  0.48641972E+01  0.25131935E+01
 0.10722672E+01  0.44993255E+01  0.30154426E+01
 0.12045035E+01  0.41627057E+01  0.36253159E+01
 0.13530478E+01  0.38497316E+01  0.43659302E+01
 0.15199111E+01  0.35580499E+01  0.52657564E+01
 0.17073526E+01  0.32834858E+01  0.63602792E+01
 0.19179103E+01  0.30273881E+01  0.76931243E+01
 0.21544347E+01  0.27845593E+01  0.93191356E+01
 0.24201283E+01  0.25606167E+01  0.11305246E+02
 0.27185882E+01  0.23524331E+01  0.13732594E+02
 0.30538555E+01  0.21597190E+01  0.16701410E+02
 0.34304693E+01  0.19785484E+01  0.20338095E+02
 0.38535286E+01  0.18113859E+01  0.24798710E+02
 0.43287613E+01  0.16549937E+01  0.30277915E+02
 0.48626016E+01  0.15118822E+01  0.37015076E+02
 0.54622772E+01  0.13799295E+01  0.45303255E+02
 0.61359073E+01  0.12589321E+01  0.55505646E+02
 0.68926121E+01  0.11466814E+01  0.68078631E+02
 0.77426368E+01  0.10439302E+01  0.83588031E+02
 0.86974900E+01  0.94868001E+00  0.10274369E+03
 0.97700996E+01  0.86194261E+00  0.12642490E+03
 0.10974988E+02  0.78243495E+00  0.15571810E+03
 0.12328467E+02  0.71032256E+00  0.19196725E+03
 0.13848864E+02  0.64497572E+00  0.23681577E+03
 0.15556761E+02  0.58557957E+00  0.29230021E+03
 0.17475284E+02  0.53130360E+00  0.36097220E+03
 0.19630407E+02  0.48184636E+00  0.44600189E+03
 0.22051307E+02  0.43577108E+00  0.55148558E+03
 0.24770764E+02  0.39421872E+00  0.68251070E+03
 0.27825594E+02  0.35731086E+00  0.84503700E+03
 0.31257158E+02  0.32384453E+00  0.10464521E+04
 0.35111917E+02  0.29336140E+00  0.12961547E+04
 0.39442061E+02  0.26568142E+00  0.16057929E+04
 0.44306215E+02  0.23991353E+00  0.19904707E+04
 0.49770236E+02  0.21667347E+00  0.24690553E+04
 0.55908102E+02  0.19602491E+00  0.30637546E+04
 0.62802914E+02  0.17732679E+00  0.38020597E+04
 0.70548023E+02  0.16001844E+00  0.47201015E+04
 0.79248290E+02  0.14440805E+00  0.58630856E+04
 0.89021509E+02  0.13058260E+00  0.72842604E+04
 0.10000000E+03  0.11808127E+00  0.90496749E+04
