#   nzt =   1
#    zt = 0.1400E+02
#    wt = 0.1000E+01
#    zp = 0.1000E+01
#    rs =  0.27068600E+01
#    Te =  0.25000000E-01
#   rho =  0.37888900E+01
#  zbar =  0.35959956E+01
#   mep =  100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 0.10000000E-02  0.36915899E+01  0.25276096E-01
 0.11233240E-02  0.39047934E+01  0.26790928E-01
 0.12618569E-02  0.41302860E+01  0.28399609E-01
 0.14174742E-02  0.43670393E+01  0.30108377E-01
 0.15922828E-02  0.46174910E+01  0.31923779E-01
 0.17886495E-02  0.48801444E+01  0.33852896E-01
 0.20092330E-02  0.51580816E+01  0.35903209E-01
 0.22570197E-02  0.54493022E+01  0.38082796E-01
 0.25353645E-02  0.57574561E+01  0.40400216E-01
 0.28480359E-02  0.60797607E+01  0.42864778E-01
 0.31992671E-02  0.64205072E+01  0.45486410E-01
 0.35938137E-02  0.67761741E+01  0.48275935E-01
 0.40370173E-02  0.71515787E+01  0.51244968E-01
 0.45348785E-02  0.75424325E+01  0.54406221E-01
 0.50941380E-02  0.79541083E+01  0.57773373E-01
 0.57223677E-02  0.83802923E+01  0.61361744E-01
 0.64280731E-02  0.88278930E+01  0.65187877E-01
 0.72208090E-02  0.92872691E+01  0.69270653E-01
 0.81113083E-02  0.97679148E+01  0.73630616E-01
 0.91116276E-02  0.10258781E+02  0.78290664E-01
 0.10235310E-01  0.10770801E+02  0.83275746E-01
 0.11497570E-01  0.11294027E+02  0.88612877E-01
 0.12915497E-01  0.11839083E+02  0.94331244E-01
 0.14508288E-01  0.12392843E+02  0.10046354E+00
 0.16297508E-01  0.12967962E+02  0.10704541E+00
 0.18307383E-01  0.13551544E+02  0.11411596E+00
 0.20565123E-01  0.14156570E+02  0.12171787E+00
 0.23101297E-01  0.14776781E+02  0.12989573E+00
 0.25950242E-01  0.15421430E+02  0.13869763E+00
 0.29150531E-01  0.16095023E+02  0.14817157E+00
 0.32745492E-01  0.16799990E+02  0.15836789E+00
 0.36783798E-01  0.17537307E+02  0.16934057E+00
 0.41320124E-01  0.18308662E+02  0.18115471E+00
 0.46415888E-01  0.19364044E+02  0.19378560E+00
 0.52140083E-01  0.20608336E+02  0.20713597E+00
 0.58570208E-01  0.21380660E+02  0.22140062E+00
 0.65793322E-01  0.21887436E+02  0.23695515E+00
 0.73907220E-01  0.22033417E+02  0.25417392E+00
 0.83021757E-01  0.21979917E+02  0.27347897E+00
 0.93260335E-01  0.21651960E+02  0.29536092E+00
 0.10476158E+00  0.21172826E+02  0.32041172E+00
 0.11768120E+00  0.20546564E+02  0.34930535E+00
 0.13219411E+00  0.19841746E+02  0.38284052E+00
 0.14849683E+00  0.19091150E+02  0.42192695E+00
 0.16681005E+00  0.18325470E+02  0.46762063E+00
 0.18738174E+00  0.17572702E+02  0.52112451E+00
 0.21049041E+00  0.16835407E+02  0.58382218E+00
 0.23644894E+00  0.16071499E+02  0.65746664E+00
 0.26560878E+00  0.15294258E+02  0.74426996E+00
 0.29836472E+00  0.14521040E+02  0.84685741E+00
 0.33516027E+00  0.13754126E+02  0.96839434E+00
 0.37649358E+00  0.13023465E+02  0.11125659E+01
 0.42292429E+00  0.12327565E+02  0.12836102E+01
 0.47508102E+00  0.11637264E+02  0.14868595E+01
 0.53366992E+00  0.10953237E+02  0.17291187E+01
 0.59948425E+00  0.10306943E+02  0.20183146E+01
 0.67341507E+00  0.96994132E+01  0.23635024E+01
 0.75646333E+00  0.91112439E+01  0.27758733E+01
 0.84975344E+00  0.85310736E+01  0.32699063E+01
 0.95454846E+00  0.79926883E+01  0.38624851E+01
 0.10722672E+01  0.74908230E+01  0.45728024E+01
 0.12045035E+01  0.70139622E+01  0.54244078E+01
 0.13530478E+01  0.65414981E+01  0.64483001E+01
 0.15199111E+01  0.61024451E+01  0.76814432E+01
 0.17073526E+01  0.56867774E+01  0.91670647E+01
 0.19179103E+01  0.52927350E+01  0.10958609E+02
 0.21544347E+01  0.48987264E+01  0.13127435E+02
 0.24201283E+01  0.45317607E+01  0.15760422E+02
 0.27185882E+01  0.41798654E+01  0.18962812E+02
 0.30538555E+01  0.38554707E+01  0.22862844E+02
 0.34304693E+01  0.35496618E+01  0.27617048E+02
 0.38535286E+01  0.32660242E+01  0.33418959E+02
 0.43287613E+01  0.29955656E+01  0.40514895E+02
 0.48626016E+01  0.27490425E+01  0.49203734E+02
 0.54622772E+01  0.25223958E+01  0.59840068E+02
 0.61359073E+01  0.23141421E+01  0.72861211E+02
 0.68926121E+01  0.21189149E+01  0.88821521E+02
 0.77426368E+01  0.19401279E+01  0.10840130E+03
 0.86974900E+01  0.17731874E+01  0.13244676E+03
 0.97700996E+01  0.16210560E+01  0.16199650E+03
 0.10974988E+02  0.14807983E+01  0.19832162E+03
 0.12328467E+02  0.13531018E+01  0.24298289E+03
 0.13848864E+02  0.12354374E+01  0.29791079E+03
 0.15556761E+02  0.11284017E+01  0.36547576E+03
 0.17475284E+02  0.10300673E+01  0.44859569E+03
 0.19630407E+02  0.94011899E+00  0.55087385E+03
 0.22051307E+02  0.85529477E+00  0.67697874E+03
 0.24770764E+02  0.77832515E+00  0.83267411E+03
 0.27825594E+02  0.70801810E+00  0.10249038E+04
 0.31257158E+02  0.64407240E+00  0.12622662E+04
 0.35111917E+02  0.58515655E+00  0.15555754E+04
 0.39442061E+02  0.53159958E+00  0.19182145E+04
 0.44306215E+02  0.48199618E+00  0.23670989E+04
 0.49770236E+02  0.43705623E+00  0.29232462E+04
 0.55908102E+02  0.39634486E+00  0.36121784E+04
 0.62802914E+02  0.35941640E+00  0.44654976E+04
 0.70548023E+02  0.32541917E+00  0.55234436E+04
 0.79248290E+02  0.29465336E+00  0.68360628E+04
 0.89021509E+02  0.26687633E+00  0.84642500E+04
 0.10000000E+03  0.24172272E+00  0.10483707E+05
