#   nzt = 2
#    zt = 1.4000E+01 6.0000E+00
#    wt = 1.0000E+00 1.0000E+00
#    zp = 1.0000E+00
#    rs =  2.53739500E+00
#    Te =  2.50000000E-02
#   rho =  3.21000000E+00
#  zbar =  2.95860235E+00
#   mep = 100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 1.00000000E-03  3.19695645E+00  1.96639182E-02
 1.12332400E-03  3.38137735E+00  2.09193370E-02
 1.26185690E-03  3.57642825E+00  2.22526680E-02
 1.41747420E-03  3.78123290E+00  2.36690296E-02
 1.59228280E-03  3.99787050E+00  2.51738678E-02
 1.78864950E-03  4.22505825E+00  2.67730439E-02
 2.00923300E-03  4.46543120E+00  2.84727909E-02
 2.25701970E-03  4.71729245E+00  3.02797998E-02
 2.53536450E-03  4.98377025E+00  3.22012018E-02
 2.84803590E-03  5.26251995E+00  3.42446990E-02
 3.19926710E-03  5.55723870E+00  3.64185438E-02
 3.59381370E-03  5.86494275E+00  3.87316747E-02
 4.03701730E-03  6.18981245E+00  4.11937202E-02
 4.53487850E-03  6.52818825E+00  4.38151502E-02
 5.09413800E-03  6.88473755E+00  4.66073005E-02
 5.72236770E-03  7.25405400E+00  4.95827456E-02
 6.42807310E-03  7.64209295E+00  5.27551962E-02
 7.22080900E-03  8.04063120E+00  5.61401133E-02
 8.11130830E-03  8.45775240E+00  5.97544753E-02
 9.11162760E-03  8.88400310E+00  6.36170802E-02
 1.02353100E-02  9.32862565E+00  6.77485487E-02
 1.14975700E-02  9.78306445E+00  7.21712063E-02
 1.29154970E-02  1.02562309E+01  7.69093159E-02
 1.45082880E-02  1.07369356E+01  8.19898754E-02
 1.62975080E-02  1.12356892E+01  8.74425832E-02
 1.83073830E-02  1.17411988E+01  9.32999912E-02
 2.05651230E-02  1.22643540E+01  9.95977851E-02
 2.31012970E-02  1.27994355E+01  1.06373521E-01
 2.59502420E-02  1.33542515E+01  1.13667639E-01
 2.91505310E-02  1.39333620E+01  1.21520797E-01
 3.27454920E-02  1.45383285E+01  1.29975568E-01
 3.67837980E-02  1.51665380E+01  1.39078728E-01
 4.13201240E-02  1.58208960E+01  1.48880712E-01
 4.64158880E-02  1.66974140E+01  1.59373676E-01
 5.21400830E-02  1.77220100E+01  1.70511883E-01
 5.85702080E-02  1.83764975E+01  1.82440725E-01
 6.57933220E-02  1.88238655E+01  1.95443104E-01
 7.39072200E-02  1.90020430E+01  2.09807925E-01
 8.30217570E-02  1.90343840E+01  2.25855535E-01
 9.32603350E-02  1.88287160E+01  2.43966969E-01
 1.04761580E-01  1.84892410E+01  2.64611911E-01
 1.17681200E-01  1.79836100E+01  2.88345958E-01
 1.32194110E-01  1.73822180E+01  3.15845206E-01
 1.48496830E-01  1.67312575E+01  3.47872706E-01
 1.66810050E-01  1.60598005E+01  3.85303197E-01
 1.87381740E-01  1.53662605E+01  4.29179433E-01
 2.10490410E-01  1.46615090E+01  4.80765695E-01
 2.36448940E-01  1.39262780E+01  5.41640208E-01
 2.65608780E-01  1.31754705E+01  6.13778774E-01
 2.98364720E-01  1.24332280E+01  6.99543880E-01
 3.35160270E-01  1.17019641E+01  8.01774566E-01
 3.76493580E-01  1.10044420E+01  9.23840418E-01
 4.22924290E-01  1.03394629E+01  1.06971755E+00
 4.75081020E-01  9.69136990E+00  1.24434070E+00
 5.33669920E-01  9.06015050E+00  1.45389743E+00
 5.99484250E-01  8.46329175E+00  1.70579898E+00
 6.73415070E-01  7.90057775E+00  2.00882396E+00
 7.56463330E-01  7.36666360E+00  2.37368423E+00
 8.49753440E-01  6.85441385E+00  2.81372078E+00
 9.54548460E-01  6.38023555E+00  3.34485783E+00
 1.07226720E+00  5.93984655E+00  3.98579433E+00
 1.20450350E+00  5.52822620E+00  4.75928044E+00
 1.35304780E+00  5.13261565E+00  5.69402528E+00
 1.51991110E+00  4.76694000E+00  6.82477631E+00
 1.70735260E+00  4.42412695E+00  8.19292674E+00
 1.91791030E+00  4.10237020E+00  9.84966954E+00
 2.15443470E+00  3.78711975E+00  1.18613118E+01
 2.42012830E+00  3.49550375E+00  1.43093419E+01
 2.71858820E+00  3.21946015E+00  1.72919739E+01
 3.05385550E+00  2.96517460E+00  2.09297422E+01
 3.43046930E+00  2.72550060E+00  2.53711844E+01
 3.85352860E+00  2.50398465E+00  3.08004854E+01
 4.32876130E+00  2.29424105E+00  3.74481751E+01
 4.86260160E+00  2.10287145E+00  4.55966863E+01
 5.46227720E+00  1.92639100E+00  5.55859989E+01
 6.13590730E+00  1.76443010E+00  6.78363367E+01
 6.89261210E+00  1.61304780E+00  8.28752226E+01
 7.74263680E+00  1.47445410E+00  1.01355467E+02
 8.69749000E+00  1.34526773E+00  1.24087903E+02
 9.77009960E+00  1.22759442E+00  1.52073645E+02
 1.09749880E+01  1.11933404E+00  1.86538437E+02
 1.23284670E+01  1.02087005E+00  2.28992686E+02
 1.38488640E+01  9.30560050E-01  2.81297097E+02
 1.55567610E+01  8.48421205E-01  3.45746798E+02
 1.74752840E+01  7.73077115E-01  4.25178205E+02
 1.96304070E+01  7.04237665E-01  5.23116074E+02
 2.20513070E+01  6.39565985E-01  6.44077691E+02
 2.47707640E+01  5.80994365E-01  7.93673164E+02
 2.78255940E+01  5.27967505E-01  9.78625554E+02
 3.12571580E+01  4.79780115E-01  1.20725534E+03
 3.51119170E+01  4.35535210E-01  1.49002856E+03
 3.94420610E+01  3.95323835E-01  1.83996734E+03
 4.43062150E+01  3.58003330E-01  2.27356068E+03
 4.97702360E+01  3.24239200E-01  2.81136593E+03
 5.59081020E+01  2.93846475E-01  3.47818592E+03
 6.28029140E+01  2.66290590E-01  4.30474254E+03
 7.05480230E+01  2.40884405E-01  5.33027090E+03
 7.92482900E+01  2.17914205E-01  6.60372897E+03
 8.90215090E+01  1.97273010E-01  8.18444818E+03
 1.00000000E+02  1.78589830E-01  1.01458861E+04
