#   nzt =   1
#    zt = 0.8000E+01
#    wt = 0.1000E+01
#    zp = 0.1000E+01
#    rs =  0.24634400E+01
#    Te =  0.25000000E-01
#   rho =  0.28632100E+01
#  zbar =  0.13960662E+01
#   mep =  100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 0.10000000E-02  0.29689828E+01  0.17894906E-01
 0.11233240E-02  0.31407352E+01  0.18967325E-01
 0.12618569E-02  0.33224516E+01  0.20106074E-01
 0.14174742E-02  0.35133409E+01  0.21315533E-01
 0.15922828E-02  0.37152902E+01  0.22600302E-01
 0.17886495E-02  0.39268800E+01  0.23965418E-01
 0.20092330E-02  0.41506590E+01  0.25416221E-01
 0.22570197E-02  0.43845234E+01  0.26958560E-01
 0.25353645E-02  0.46317049E+01  0.28598654E-01
 0.28480359E-02  0.48894662E+01  0.30343304E-01
 0.31992671E-02  0.51616649E+01  0.32199763E-01
 0.35938137E-02  0.54450073E+01  0.34175940E-01
 0.40370173E-02  0.57439134E+01  0.36280288E-01
 0.45348785E-02  0.60542788E+01  0.38522078E-01
 0.50941380E-02  0.63812745E+01  0.40911237E-01
 0.57223677E-02  0.67195518E+01  0.43458745E-01
 0.64280731E-02  0.70753322E+01  0.46176389E-01
 0.72208090E-02  0.74408006E+01  0.49077492E-01
 0.81113083E-02  0.78240267E+01  0.52176480E-01
 0.91116276E-02  0.82156303E+01  0.55489473E-01
 0.10235310E-01  0.86248712E+01  0.59034001E-01
 0.11497570E-01  0.90410124E+01  0.62829614E-01
 0.12915497E-01  0.94741687E+01  0.66897603E-01
 0.14508288E-01  0.99086342E+01  0.71262695E-01
 0.16297508E-01  0.10357517E+02  0.75952423E-01
 0.18307383E-01  0.10811268E+02  0.80995901E-01
 0.20565123E-01  0.11279733E+02  0.86424953E-01
 0.23101297E-01  0.11759302E+02  0.92272626E-01
 0.25950242E-01  0.12255520E+02  0.98576341E-01
 0.29150531E-01  0.12842582E+02  0.10535241E+00
 0.32745492E-01  0.13486062E+02  0.11260289E+00
 0.36783798E-01  0.13995912E+02  0.12040367E+00
 0.41320124E-01  0.14451932E+02  0.12887151E+00
 0.46415888E-01  0.14866513E+02  0.13810277E+00
 0.52140083E-01  0.15275665E+02  0.14818513E+00
 0.58570208E-01  0.15519718E+02  0.15927002E+00
 0.65793322E-01  0.15682971E+02  0.17156087E+00
 0.73907220E-01  0.15723744E+02  0.18528052E+00
 0.83021757E-01  0.15714014E+02  0.20067839E+00
 0.93260335E-01  0.15623082E+02  0.21803281E+00
 0.10476158E+00  0.15493576E+02  0.23766391E+00
 0.11768120E+00  0.15263775E+02  0.25997554E+00
 0.13219411E+00  0.14979525E+02  0.28547113E+00
 0.14849683E+00  0.14672020E+02  0.31468682E+00
 0.16681005E+00  0.14357321E+02  0.34820288E+00
 0.18738174E+00  0.13973450E+02  0.38678011E+00
 0.21049041E+00  0.13537807E+02  0.43141134E+00
 0.23644894E+00  0.13058380E+02  0.48327849E+00
 0.26560878E+00  0.12549322E+02  0.54379153E+00
 0.29836472E+00  0.11993288E+02  0.61472032E+00
 0.33516027E+00  0.11392823E+02  0.69836196E+00
 0.37649358E+00  0.10790710E+02  0.79742929E+00
 0.42292429E+00  0.10189339E+02  0.91509440E+00
 0.47508102E+00  0.95729438E+01  0.10554173E+01
 0.53366992E+00  0.89373921E+01  0.12237557E+01
 0.59948425E+00  0.83122163E+01  0.14267082E+01
 0.67341507E+00  0.76958588E+01  0.16724437E+01
 0.75646333E+00  0.71137831E+01  0.19708566E+01
 0.84975344E+00  0.65614778E+01  0.23339332E+01
 0.95454846E+00  0.60489818E+01  0.27762477E+01
 0.10722672E+01  0.55720801E+01  0.33154267E+01
 0.12045035E+01  0.51292900E+01  0.39731362E+01
 0.13530478E+01  0.47140915E+01  0.47764541E+01
 0.15199111E+01  0.43325883E+01  0.57583235E+01
 0.17073526E+01  0.39795365E+01  0.69587955E+01
 0.19179103E+01  0.36552200E+01  0.84268872E+01
 0.21544347E+01  0.33533279E+01  0.10223569E+02
 0.24201283E+01  0.30779914E+01  0.12422963E+02
 0.27185882E+01  0.28249623E+01  0.15114732E+02
 0.30538555E+01  0.25930710E+01  0.18408792E+02
 0.34304693E+01  0.23766222E+01  0.22443341E+02
 0.38535286E+01  0.21788060E+01  0.27387492E+02
 0.43287613E+01  0.19956996E+01  0.33448657E+02
 0.48626016E+01  0.18290306E+01  0.40879723E+02
 0.54622772E+01  0.16756015E+01  0.49989488E+02
 0.61359073E+01  0.15343506E+01  0.61160756E+02
 0.68926121E+01  0.14009235E+01  0.74886755E+02
 0.77426368E+01  0.12790098E+01  0.91774586E+02
 0.86974900E+01  0.11657970E+01  0.11257190E+03
 0.97700996E+01  0.10626468E+01  0.13820209E+03
 0.10974988E+02  0.96769246E+00  0.16980398E+03
 0.12328467E+02  0.88106703E+00  0.20878794E+03
