#   nzt =   1
#    zt = 0.1400E+02
#    wt = 0.1000E+01
#    zp = 0.1000E+01
#    rs =  0.31447700E+01
#    Te =  0.25000000E-01
#   rho =  0.26500000E+01
#  zbar =  0.27999949E+01
#   mep =  100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 0.10000000E-02  0.57795656E+01  0.16138891E-01
 0.11233240E-02  0.61090934E+01  0.17106461E-01
 0.12618569E-02  0.64574168E+01  0.18134684E-01
 0.14174742E-02  0.68225195E+01  0.19227659E-01
 0.15922828E-02  0.72082093E+01  0.20389713E-01
 0.17886495E-02  0.76109360E+01  0.21625626E-01
 0.20092330E-02  0.80359707E+01  0.22940494E-01
 0.22570197E-02  0.84779921E+01  0.24339964E-01
 0.25353645E-02  0.89439024E+01  0.25830079E-01
 0.28480359E-02  0.94269296E+01  0.27417495E-01
 0.31992671E-02  0.99353228E+01  0.29109355E-01
 0.35938137E-02  0.10461125E+02  0.30913495E-01
 0.40370173E-02  0.11013694E+02  0.32838336E-01
 0.45348785E-02  0.11583113E+02  0.34893194E-01
 0.50941380E-02  0.12180402E+02  0.37088103E-01
 0.57223677E-02  0.12793045E+02  0.39434239E-01
 0.64280731E-02  0.13434192E+02  0.41943658E-01
 0.72208090E-02  0.14085656E+02  0.44630139E-01
 0.81113083E-02  0.14764871E+02  0.47508676E-01
 0.91116276E-02  0.15450011E+02  0.50596195E-01
 0.10235310E-01  0.16161616E+02  0.53911159E-01
 0.11497570E-01  0.16873678E+02  0.57474466E-01
 0.12915497E-01  0.17610113E+02  0.61308907E-01
 0.14508288E-01  0.18332135E+02  0.65441449E-01
 0.16297508E-01  0.19072696E+02  0.69902242E-01
 0.18307383E-01  0.19813678E+02  0.74722344E-01
 0.20565123E-01  0.20578733E+02  0.79935211E-01
 0.23101297E-01  0.21366027E+02  0.85574364E-01
 0.25950242E-01  0.22189321E+02  0.91677652E-01
 0.29150531E-01  0.23277722E+02  0.98246357E-01
 0.32745492E-01  0.24530333E+02  0.10525513E+00
 0.36783798E-01  0.25375620E+02  0.11279391E+00
 0.41320124E-01  0.26052538E+02  0.12101473E+00
 0.46415888E-01  0.26521775E+02  0.13005037E+00
 0.52140083E-01  0.26921993E+02  0.14003194E+00
 0.58570208E-01  0.26950974E+02  0.15115566E+00
 0.65793322E-01  0.26794743E+02  0.16368070E+00
 0.73907220E-01  0.26286662E+02  0.17793041E+00
 0.83021757E-01  0.25606995E+02  0.19431079E+00
 0.93260335E-01  0.24813115E+02  0.21325417E+00
 0.10476158E+00  0.23967901E+02  0.23524864E+00
 0.11768120E+00  0.23016747E+02  0.26090386E+00
 0.13219411E+00  0.22018355E+02  0.29097698E+00
 0.14849683E+00  0.21005092E+02  0.32634407E+00
 0.16681005E+00  0.20004649E+02  0.36802882E+00
 0.18738174E+00  0.19036722E+02  0.41721772E+00
 0.21049041E+00  0.18102311E+02  0.47529578E+00
 0.23644894E+00  0.17154032E+02  0.54402278E+00
 0.26560878E+00  0.16209702E+02  0.62562397E+00
 0.29836472E+00  0.15312259E+02  0.72265342E+00
 0.33516027E+00  0.14460828E+02  0.83805258E+00
 0.37649358E+00  0.13653500E+02  0.97533184E+00
 0.42292429E+00  0.12887046E+02  0.11386843E+01
 0.47508102E+00  0.12157061E+02  0.13331395E+01
 0.53366992E+00  0.11452931E+02  0.15648570E+01
 0.59948425E+00  0.10783551E+02  0.18412356E+01
 0.67341507E+00  0.10144510E+02  0.21711121E+01
 0.75646333E+00  0.95342478E+01  0.25651782E+01
 0.84975344E+00  0.89408530E+01  0.30367641E+01
 0.95454846E+00  0.83885181E+01  0.36015625E+01
 0.10722672E+01  0.78717836E+01  0.42776544E+01
 0.12045035E+01  0.73756773E+01  0.50874593E+01
 0.13530478E+01  0.68835418E+01  0.60604376E+01
 0.15199111E+01  0.64244431E+01  0.72316157E+01
 0.17073526E+01  0.59903874E+01  0.86418163E+01
 0.19179103E+01  0.55761388E+01  0.10341821E+02
 0.21544347E+01  0.51629140E+01  0.12399282E+02
 0.24201283E+01  0.47766248E+01  0.14896531E+02
 0.27185882E+01  0.44070607E+01  0.17933153E+02
 0.30538555E+01  0.40647305E+01  0.21630880E+02
 0.34304693E+01  0.37414973E+01  0.26139247E+02
 0.38535286E+01  0.34421673E+01  0.31642263E+02
 0.43287613E+01  0.31590578E+01  0.38370630E+02
 0.48626016E+01  0.29002648E+01  0.46604969E+02
