#   nzt = 2
#    zt = 1.4000E+01 8.0000E+00
#    wt = 1.0000E+00 2.0000E+00
#    zp = 1.0000E+00
#    rs =  2.70753000E+00
#    Te =  2.50000000E-02
#   rho =  2.65000000E+00
#  zbar =  2.63146933E+00
#   mep = 100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 1.00000000E-03  3.90070900E+00  1.59965273E-02
 1.12332400E-03  4.12393483E+00  1.70246471E-02
 1.26185690E-03  4.35994067E+00  1.81170454E-02
 1.41747420E-03  4.60753350E+00  1.92779827E-02
 1.59228280E-03  4.86915323E+00  2.05120187E-02
 1.78864950E-03  5.14278180E+00  2.18241267E-02
 2.00923300E-03  5.43167403E+00  2.32196439E-02
 2.25701970E-03  5.73291927E+00  2.47043929E-02
 2.53536450E-03  6.05062967E+00  2.62846409E-02
 2.84803590E-03  6.38103297E+00  2.79672166E-02
 3.19926710E-03  6.72905883E+00  2.97594849E-02
 3.59381370E-03  7.09019750E+00  3.16694548E-02
 4.03701730E-03  7.47008310E+00  3.37057759E-02
 4.53487850E-03  7.86316253E+00  3.58778962E-02
 5.09413800E-03  8.27598573E+00  3.81960494E-02
 5.72236770E-03  8.70120747E+00  4.06715239E-02
 6.42807310E-03  9.14683540E+00  4.33166001E-02
 7.22080900E-03  9.60206753E+00  4.61450839E-02
 8.11130830E-03  1.00775524E+01  4.91721118E-02
 9.11162760E-03  1.05605129E+01  5.24144968E-02
 1.02353100E-02  1.10633259E+01  5.58906973E-02
 1.14975700E-02  1.15719927E+01  5.96211104E-02
 1.29154970E-02  1.20999970E+01  6.36280647E-02
 1.45082880E-02  1.26271653E+01  6.79370653E-02
 1.62975080E-02  1.31710840E+01  7.25764974E-02
 1.83073830E-02  1.37192177E+01  7.75764076E-02
 2.05651230E-02  1.42857410E+01  8.29693543E-02
 2.31012970E-02  1.48667540E+01  8.87888949E-02
 2.59502420E-02  1.54712620E+01  9.50704763E-02
 2.91505310E-02  1.61889900E+01  1.01832101E-01
 3.27454920E-02  1.69824983E+01  1.09082224E-01
 3.67837980E-02  1.76312503E+01  1.16887010E-01
 4.13201240E-02  1.82275067E+01  1.25349437E-01
 4.64158880E-02  1.88369483E+01  1.34546047E-01
 5.21400830E-02  1.94726930E+01  1.44541701E-01
 5.85702080E-02  1.97995863E+01  1.55495399E-01
 6.57933220E-02  1.99657447E+01  1.67647618E-01
 7.39072200E-02  1.98826430E+01  1.81271362E-01
 8.30217570E-02  1.96752857E+01  1.96688376E-01
 9.32603350E-02  1.93306887E+01  2.14253294E-01
 1.04761580E-01  1.89174497E+01  2.34377199E-01
 1.17681200E-01  1.83933300E+01  2.57554965E-01
 1.32194110E-01  1.78135207E+01  2.84387070E-01
 1.48496830E-01  1.72080213E+01  3.15549912E-01
 1.66810050E-01  1.65999680E+01  3.51813551E-01
 1.87381740E-01  1.59602403E+01  3.94113832E-01
 2.10490410E-01  1.53021290E+01  4.43606834E-01
 2.36448940E-01  1.46128710E+01  5.01713422E-01
 2.65608780E-01  1.39102430E+01  5.70176597E-01
 2.98364720E-01  1.31977973E+01  6.51104788E-01
 3.35160270E-01  1.24778427E+01  7.47093384E-01
 3.76493580E-01  1.17826170E+01  8.61211935E-01
 4.22924290E-01  1.11128650E+01  9.97051820E-01
 4.75081020E-01  1.04549753E+01  1.15905036E+00
 5.33669920E-01  9.80397547E+00  1.35280278E+00
 5.99484250E-01  9.17746687E+00  1.58510929E+00
 6.73415070E-01  8.57128333E+00  1.86420822E+00
 7.56463330E-01  7.99701183E+00  2.20007435E+00
 8.49753440E-01  7.44672523E+00  2.60485864E+00
 9.54548460E-01  6.93412770E+00  3.09316843E+00
 1.07226720E+00  6.45430837E+00  3.68237626E+00
 1.20450350E+00  6.00171717E+00  4.39382635E+00
 1.35304780E+00  5.56605890E+00  5.25446322E+00
 1.51991110E+00  5.16011667E+00  6.29710386E+00
 1.70735260E+00  4.77779527E+00  7.56128544E+00
 1.91791030E+00  4.41955160E+00  9.09578329E+00
 2.15443470E+00  4.07556730E+00  1.09622183E+01
 2.42012830E+00  3.75661873E+00  1.32363224E+01
 2.71858820E+00  3.45657430E+00  1.60102731E+01
 3.05385550E+00  3.17947823E+00  1.93973657E+01
 3.43046930E+00  2.91985017E+00  2.35372377E+01
 3.85352860E+00  2.68019163E+00  2.86023759E+01
 4.32876130E+00  2.45547393E+00  3.48070874E+01
 4.86260160E+00  2.25021677E+00  4.24137119E+01
 5.46227720E+00  2.06168683E+00  5.17388713E+01
 6.13590730E+00  1.88791890E+00  6.31752754E+01
 6.89261210E+00  1.72448247E+00  7.72226321E+01
 7.74263680E+00  1.57490503E+00  9.44994492E+01
 8.69749000E+00  1.43623140E+00  1.15765991E+02
 9.77009960E+00  1.30971000E+00  1.41962355E+02
 1.09749880E+01  1.19331703E+00  1.74246577E+02
 1.23284670E+01  1.08708907E+00  2.14052953E+02
 1.38488640E+01  9.89001980E-01  2.63171789E+02
 1.55567610E+01  8.99825660E-01  3.23818131E+02
 1.74752840E+01  8.18518107E-01  3.98703423E+02
 1.96304070E+01  7.44272267E-01  4.91199355E+02
 2.20513070E+01  6.74974013E-01  6.05623684E+02
 2.47707640E+01  6.12205217E-01  7.47344795E+02
 2.78255940E+01  5.55537837E-01  9.22822713E+02
 3.12571580E+01  5.04082023E-01  1.14005713E+03
 3.51119170E+01  4.57019133E-01  1.40910526E+03
 3.94420610E+01  4.14286053E-01  1.74248528E+03
 4.43062150E+01  3.74813297E-01  2.15602684E+03
 4.97702360E+01  3.39130243E-01  2.66946128E+03
 5.59081020E+01  3.07114373E-01  3.30660997E+03
 6.28029140E+01  2.78102627E-01  4.09698155E+03
 7.05480230E+01  2.51361357E-01  5.07839468E+03
 7.92482900E+01  2.27199940E-01  6.29809278E+03
 8.90215090E+01  2.05470197E-01  7.81349555E+03
 1.00000000E+02  1.85821103E-01  9.69580054E+03
