#   nzt =   1
#    zt = 0.6200E+02
#    wt = 0.1000E+01
#    zp = 0.1000E+01
#    rs =  0.37681600E+01
#    Te =  0.25000000E-01
#   rho =  0.75200000E+01
#  zbar =  0.25532750E+01
#   mep =  100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 0.10000000E-02  0.87086984E+01  0.57194615E-01
 0.11233240E-02  0.92168909E+01  0.60621400E-01
 0.12618569E-02  0.97544522E+01  0.64258420E-01
 0.14174742E-02  0.10317723E+02  0.68119903E-01
 0.15922828E-02  0.10913332E+02  0.72220788E-01
 0.17886495E-02  0.11535483E+02  0.76577515E-01
 0.20092330E-02  0.12192863E+02  0.81207577E-01
 0.22570197E-02  0.12877470E+02  0.86130223E-01
 0.25353645E-02  0.13600084E+02  0.91366005E-01
 0.28480359E-02  0.14350675E+02  0.96937481E-01
 0.31992671E-02  0.15142007E+02  0.10286878E+00
 0.35938137E-02  0.15961688E+02  0.10918645E+00
 0.40370173E-02  0.16824756E+02  0.11591890E+00
 0.45348785E-02  0.17714500E+02  0.12309781E+00
 0.50941380E-02  0.18649717E+02  0.13075723E+00
 0.57223677E-02  0.19609362E+02  0.13893510E+00
 0.64280731E-02  0.20615988E+02  0.14767223E+00
 0.72208090E-02  0.21639911E+02  0.15701522E+00
 0.81113083E-02  0.22710282E+02  0.16701461E+00
 0.91116276E-02  0.23792037E+02  0.17772732E+00
 0.10235310E-01  0.24918811E+02  0.18921511E+00
 0.11497570E-01  0.26039772E+02  0.20155040E+00
 0.12915497E-01  0.27199576E+02  0.21481312E+00
 0.14508288E-01  0.28349520E+02  0.22909205E+00
 0.16297508E-01  0.29535037E+02  0.24448775E+00
 0.18307383E-01  0.30843203E+02  0.26106861E+00
 0.20565123E-01  0.32238732E+02  0.27888856E+00
 0.23101297E-01  0.33463223E+02  0.29810602E+00
 0.25950242E-01  0.34659388E+02  0.31893403E+00
 0.29150531E-01  0.35968658E+02  0.34150339E+00
 0.32745492E-01  0.37371807E+02  0.36589901E+00
 0.36783798E-01  0.38245288E+02  0.39247388E+00
 0.41320124E-01  0.38920437E+02  0.42173470E+00
 0.46415888E-01  0.39304208E+02  0.45416718E+00
 0.52140083E-01  0.39617350E+02  0.49028092E+00
 0.58570208E-01  0.39753620E+02  0.53062316E+00
 0.65793322E-01  0.39848450E+02  0.57580970E+00
 0.73907220E-01  0.39808698E+02  0.62653918E+00
 0.83021757E-01  0.39760848E+02  0.68359250E+00
 0.93260335E-01  0.39683660E+02  0.74778573E+00
 0.10476158E+00  0.39623441E+02  0.82000963E+00
 0.11768120E+00  0.39432129E+02  0.90139828E+00
 0.13219411E+00  0.39183493E+02  0.99334828E+00
 0.14849683E+00  0.38921661E+02  0.10973193E+01
 0.16681005E+00  0.38660835E+02  0.12148757E+01
 0.18738174E+00  0.38238173E+02  0.13480934E+01
 0.21049041E+00  0.37674023E+02  0.14996944E+01
 0.23644894E+00  0.36969251E+02  0.16728977E+01
 0.26560878E+00  0.36138588E+02  0.18715441E+01
 0.29836472E+00  0.35132716E+02  0.21004417E+01
 0.33516027E+00  0.33949709E+02  0.23657709E+01
 0.37649358E+00  0.32677726E+02  0.26748519E+01
 0.42292429E+00  0.31330926E+02  0.30362602E+01
 0.47508102E+00  0.29880273E+02  0.34608158E+01
 0.53366992E+00  0.28331068E+02  0.39624440E+01
 0.59948425E+00  0.26775023E+02  0.45577958E+01
 0.67341507E+00  0.25225986E+02  0.52666056E+01
 0.75646333E+00  0.23715570E+02  0.61126440E+01
 0.84975344E+00  0.22229372E+02  0.71252741E+01
 0.95454846E+00  0.20851579E+02  0.83385277E+01
 0.10722672E+01  0.19575115E+02  0.97907166E+01
 0.12045035E+01  0.18359998E+02  0.11528849E+02
 0.13530478E+01  0.17160811E+02  0.13614690E+02
 0.15199111E+01  0.16067452E+02  0.16119621E+02
 0.17073526E+01  0.15061071E+02  0.19122793E+02
 0.19179103E+01  0.14106289E+02  0.22722086E+02
 0.21544347E+01  0.13138680E+02  0.27052070E+02
 0.24201283E+01  0.12241650E+02  0.32273600E+02
 0.27185882E+01  0.11381918E+02  0.38575989E+02
 0.30538555E+01  0.10583990E+02  0.46188971E+02
 0.34304693E+01  0.98105294E+01  0.55401569E+02
 0.38535286E+01  0.90964409E+01  0.66564076E+02
 0.43287613E+01  0.84160131E+01  0.80104093E+02
 0.48626016E+01  0.77948262E+01  0.96534702E+02
 0.54622772E+01  0.72153487E+01  0.11646865E+03
 0.61359073E+01  0.66829742E+01  0.14064928E+03
 0.68926121E+01  0.61780120E+01  0.17000721E+03
 0.77426368E+01  0.57166578E+01  0.20566153E+03
 0.86974900E+01  0.52807437E+01  0.24898730E+03
 0.97700996E+01  0.48851706E+01  0.30163494E+03
 0.10974988E+02  0.45190019E+01  0.36556592E+03
 0.12328467E+02  0.41837350E+01  0.44315431E+03
 0.13848864E+02  0.38631461E+01  0.53743097E+03
 0.15556761E+02  0.35695703E+01  0.65206663E+03
 0.17475284E+02  0.32864952E+01  0.79170064E+03
 0.19630407E+02  0.30268492E+01  0.96202209E+03
 0.22051307E+02  0.27783687E+01  0.11701427E+04
 0.24770764E+02  0.25516376E+01  0.14247584E+04
 0.27825594E+02  0.23380333E+01  0.17365811E+04
 0.31257158E+02  0.21434509E+01  0.21187468E+04
 0.35111917E+02  0.19622947E+01  0.25873789E+04
 0.39442061E+02  0.17974128E+01  0.31621831E+04
 0.44306215E+02  0.16424476E+01  0.38680364E+04
 0.49770236E+02  0.15018161E+01  0.47354865E+04
 0.55908102E+02  0.13726511E+01  0.58014205E+04
 0.62802914E+02  0.12554081E+01  0.71108907E+04
 0.70548023E+02  0.11458849E+01  0.87209841E+04
 0.79248290E+02  0.10464355E+01  0.10701871E+05
 0.89021509E+02  0.95368699E+00  0.13141235E+05
 0.10000000E+03  0.86961291E+00  0.16147732E+05
