#   nzt =   1
#    zt = 0.5000E+02
#    wt = 0.1000E+01
#    zp = 0.1000E+01
#    rs =  0.35198700E+01
#    Te =  0.25000000E-01
#   rho =  0.72820000E+01
#  zbar =  0.38799313E+01
#   mep =  100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 0.10000000E-02  0.80692557E+01  0.48846604E-01
 0.11233240E-02  0.85298982E+01  0.51774995E-01
 0.12618569E-02  0.90168825E+01  0.54886737E-01
 0.14174742E-02  0.95273680E+01  0.58194212E-01
 0.15922828E-02  0.10066737E+02  0.61710470E-01
 0.17886495E-02  0.10630093E+02  0.65449912E-01
 0.20092330E-02  0.11224814E+02  0.69427884E-01
 0.22570197E-02  0.11843740E+02  0.73661338E-01
 0.25353645E-02  0.12496394E+02  0.78168393E-01
 0.28480359E-02  0.13173751E+02  0.82968954E-01
 0.31992671E-02  0.13887150E+02  0.88084347E-01
 0.35938137E-02  0.14625774E+02  0.93537958E-01
 0.40370173E-02  0.15402719E+02  0.99354860E-01
 0.45348785E-02  0.16204046E+02  0.10556284E+00
 0.50941380E-02  0.17045647E+02  0.11219173E+00
 0.57223677E-02  0.17910160E+02  0.11927469E+00
 0.64280731E-02  0.18816618E+02  0.12684732E+00
 0.72208090E-02  0.19740373E+02  0.13495004E+00
 0.81113083E-02  0.20706427E+02  0.14362659E+00
 0.91116276E-02  0.21685460E+02  0.15292599E+00
 0.10235310E-01  0.22707061E+02  0.16290118E+00
 0.11497570E-01  0.23732700E+02  0.17361260E+00
 0.12915497E-01  0.24799381E+02  0.18512592E+00
 0.14508288E-01  0.25858390E+02  0.19751647E+00
 0.16297508E-01  0.26955195E+02  0.21086823E+00
 0.18307383E-01  0.28108166E+02  0.22525427E+00
 0.20565123E-01  0.29326431E+02  0.24074511E+00
 0.23101297E-01  0.30516701E+02  0.25744553E+00
 0.25950242E-01  0.31740389E+02  0.27548616E+00
 0.29150531E-01  0.33258945E+02  0.29489944E+00
 0.32745492E-01  0.34970428E+02  0.31565084E+00
 0.36783798E-01  0.36100787E+02  0.33802075E+00
 0.41320124E-01  0.36992783E+02  0.36246046E+00
 0.46415888E-01  0.37510062E+02  0.38940203E+00
 0.52140083E-01  0.37904983E+02  0.41930218E+00
 0.58570208E-01  0.38015191E+02  0.45267064E+00
 0.65793322E-01  0.38010168E+02  0.49010158E+00
 0.73907220E-01  0.37731419E+02  0.53231267E+00
 0.83021757E-01  0.37350465E+02  0.58015651E+00
 0.93260335E-01  0.36892447E+02  0.63451458E+00
 0.10476158E+00  0.36412001E+02  0.69634877E+00
 0.11768120E+00  0.35762305E+02  0.76689843E+00
 0.13219411E+00  0.35021995E+02  0.84772097E+00
 0.14849683E+00  0.34254470E+02  0.94049802E+00
 0.16681005E+00  0.33489477E+02  0.10470635E+01
 0.18738174E+00  0.32640707E+02  0.11696920E+01
 0.21049041E+00  0.31735823E+02  0.13112002E+01
 0.23644894E+00  0.30759182E+02  0.14749594E+01
 0.26560878E+00  0.29746293E+02  0.16649786E+01
 0.29836472E+00  0.28706824E+02  0.18859353E+01
 0.33516027E+00  0.27641793E+02  0.21434461E+01
 0.37649358E+00  0.26603598E+02  0.24439545E+01
 0.42292429E+00  0.25598620E+02  0.27946957E+01
 0.47508102E+00  0.24567299E+02  0.32046516E+01
 0.53366992E+00  0.23488980E+02  0.36854790E+01
 0.59948425E+00  0.22438023E+02  0.42507023E+01
 0.67341507E+00  0.21408845E+02  0.49157054E+01
 0.75646333E+00  0.20367939E+02  0.56996332E+01
 0.84975344E+00  0.19268863E+02  0.66281225E+01
 0.95454846E+00  0.18229585E+02  0.77307523E+01
 0.10722672E+01  0.17234684E+02  0.90402908E+01
 0.12045035E+01  0.16257264E+02  0.10597686E+02
 0.13530478E+01  0.15248329E+02  0.12458100E+02
 0.15199111E+01  0.14297615E+02  0.14686775E+02
 0.17073526E+01  0.13381565E+02  0.17359418E+02
 0.19179103E+01  0.12522726E+02  0.20567147E+02
 0.21544347E+01  0.11690558E+02  0.24422704E+02
 0.24201283E+01  0.10916683E+02  0.29061458E+02
 0.27185882E+01  0.10183975E+02  0.34644702E+02
 0.30538555E+01  0.95038092E+01  0.41366047E+02
 0.34304693E+01  0.88544290E+01  0.49463851E+02
 0.38535286E+01  0.82510359E+01  0.59225959E+02
 0.43287613E+01  0.76750916E+01  0.71005687E+02
 0.48626016E+01  0.71455096E+01  0.85224127E+02
 0.54622772E+01  0.66425876E+01  0.10239286E+03
 0.61359073E+01  0.61736705E+01  0.12313816E+03
 0.68926121E+01  0.57158209E+01  0.14826448E+03
 0.77426368E+01  0.52931213E+01  0.17874522E+03
 0.86974900E+01  0.48870034E+01  0.21577987E+03
 0.97700996E+01  0.45139437E+01  0.26082728E+03
 0.10974988E+02  0.41600321E+01  0.31567851E+03
 0.12328467E+02  0.38345736E+01  0.38252512E+03
 0.13848864E+02  0.35261039E+01  0.46409638E+03
 0.15556761E+02  0.32439690E+01  0.56371639E+03
 0.17475284E+02  0.29795722E+01  0.68546046E+03
 0.19630407E+02  0.27370108E+01  0.83433079E+03
 0.22051307E+02  0.25075652E+01  0.10166446E+04
 0.24770764E+02  0.22981810E+01  0.12401379E+04
 0.27825594E+02  0.21032898E+01  0.15142769E+04
 0.31257158E+02  0.19251822E+01  0.18507138E+04
 0.35111917E+02  0.17589451E+01  0.22640167E+04
 0.39442061E+02  0.16073453E+01  0.27720789E+04
 0.44306215E+02  0.14653109E+01  0.33974375E+04
 0.49770236E+02  0.13360213E+01  0.41679378E+04
 0.55908102E+02  0.12162656E+01  0.51180196E+04
 0.62802914E+02  0.11074839E+01  0.62902446E+04
 0.70548023E+02  0.10080543E+01  0.77366729E+04
 0.79248290E+02  0.91771435E+00  0.95214324E+04
 0.89021509E+02  0.83416343E+00  0.11725541E+05
 0.10000000E+03  0.75835665E+00  0.14449668E+05
