#   nzt =   1
#    zt = 0.3800E+02
#    wt = 0.1000E+01
#    zp = 0.1000E+01
#    rs =  0.44839700E+01
#    Te =  0.25000000E-01
#   rho =  0.26000000E+01
#  zbar =  0.21165891E+01
#   mep =  100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 0.10000000E-02  0.13529875E+02  0.21499456E-01
 0.11233240E-02  0.14259462E+02  0.22790343E-01
 0.12618569E-02  0.15028455E+02  0.24166116E-01
 0.14174742E-02  0.15825125E+02  0.25633131E-01
 0.15922828E-02  0.16663815E+02  0.27198092E-01
 0.17886495E-02  0.17528950E+02  0.28868450E-01
 0.20092330E-02  0.18438328E+02  0.30652201E-01
 0.22570197E-02  0.19371674E+02  0.32558277E-01
 0.25353645E-02  0.20350947E+02  0.34596281E-01
 0.28480359E-02  0.21349080E+02  0.36777061E-01
 0.31992671E-02  0.22393902E+02  0.39112330E-01
 0.35938137E-02  0.23452948E+02  0.41615219E-01
 0.40370173E-02  0.24558812E+02  0.44299915E-01
 0.45348785E-02  0.25666813E+02  0.47182775E-01
 0.50941380E-02  0.26819405E+02  0.50281539E-01
 0.57223677E-02  0.27951382E+02  0.53617274E-01
 0.64280731E-02  0.29121477E+02  0.57213015E-01
 0.72208090E-02  0.30235610E+02  0.61096790E-01
 0.81113083E-02  0.31375339E+02  0.65300059E-01
 0.91116276E-02  0.32487595E+02  0.69855287E-01
 0.10235310E-01  0.33627606E+02  0.74799216E-01
 0.11497570E-01  0.34933168E+02  0.80154922E-01
 0.12915497E-01  0.36325524E+02  0.85938628E-01
 0.14508288E-01  0.37236671E+02  0.92231638E-01
 0.16297508E-01  0.38025421E+02  0.99144829E-01
 0.18307383E-01  0.38805828E+02  0.10675320E+00
 0.20565123E-01  0.39612857E+02  0.11512039E+00
 0.23101297E-01  0.39781903E+02  0.12440432E+00
 0.25950242E-01  0.39753279E+02  0.13481568E+00
 0.29150531E-01  0.39242623E+02  0.14659502E+00
 0.32745492E-01  0.38621504E+02  0.16002311E+00
 0.36783798E-01  0.37834791E+02  0.17538862E+00
 0.41320124E-01  0.37052713E+02  0.19301267E+00
 0.46415888E-01  0.36249106E+02  0.21324105E+00
 0.52140083E-01  0.35520461E+02  0.23644751E+00
 0.58570208E-01  0.34769829E+02  0.26306581E+00
 0.65793322E-01  0.34081177E+02  0.29359342E+00
