#   nzt =   1
#    zt = 0.6500E+02
#    wt = 0.1000E+01
#    zp = 0.1000E+01
#    rs =  0.37241500E+01
#    Te =  0.25000000E-01
#   rho =  0.82300000E+01
#  zbar =  0.43608704E+01
#   mep =  100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 0.10000000E-02  0.87695578E+01  0.60167690E-01
 0.11233240E-02  0.92686718E+01  0.63775091E-01
 0.12618569E-02  0.97962504E+01  0.67608966E-01
 0.14174742E-02  0.10348825E+02  0.71684728E-01
 0.15922828E-02  0.10932555E+02  0.76018623E-01
 0.17886495E-02  0.11541914E+02  0.80628544E-01
 0.20092330E-02  0.12185072E+02  0.85533563E-01
 0.22570197E-02  0.12854371E+02  0.90754678E-01
 0.25353645E-02  0.13560042E+02  0.96314331E-01
 0.28480359E-02  0.14292460E+02  0.10223716E+00
 0.31992671E-02  0.15063775E+02  0.10854954E+00
 0.35938137E-02  0.15862169E+02  0.11528048E+00
 0.40370173E-02  0.16701906E+02  0.12246105E+00
 0.45348785E-02  0.17567271E+02  0.13012581E+00
 0.50941380E-02  0.18475989E+02  0.13831190E+00
 0.57223677E-02  0.19408299E+02  0.14706066E+00
 0.64280731E-02  0.20385663E+02  0.15641652E+00
 0.72208090E-02  0.21380319E+02  0.16642996E+00
 0.81113083E-02  0.22420407E+02  0.17715558E+00
 0.91116276E-02  0.23473418E+02  0.18865446E+00
 0.10235310E-01  0.24572487E+02  0.20099247E+00
 0.11497570E-01  0.25672050E+02  0.21424562E+00
 0.12915497E-01  0.26815677E+02  0.22849676E+00
 0.14508288E-01  0.27957610E+02  0.24383758E+00
 0.16297508E-01  0.29144940E+02  0.26037027E+00
 0.18307383E-01  0.30451743E+02  0.27816560E+00
 0.20565123E-01  0.31859708E+02  0.29727792E+00
 0.23101297E-01  0.33146748E+02  0.31785538E+00
 0.25950242E-01  0.34438496E+02  0.34009659E+00
 0.29150531E-01  0.35891000E+02  0.36410858E+00
 0.32745492E-01  0.37472046E+02  0.38994448E+00
 0.36783798E-01  0.38519392E+02  0.41795631E+00
 0.41320124E-01  0.39358754E+02  0.44866741E+00
 0.46415888E-01  0.39868538E+02  0.48258547E+00
 0.52140083E-01  0.40258113E+02  0.52026148E+00
 0.58570208E-01  0.40404132E+02  0.56230795E+00
 0.65793322E-01  0.40452827E+02  0.60942648E+00
 0.73907220E-01  0.40289035E+02  0.66243784E+00
 0.83021757E-01  0.40051805E+02  0.72229177E+00
 0.93260335E-01  0.39734456E+02  0.79000083E+00
 0.10476158E+00  0.39398890E+02  0.86667633E+00
 0.11768120E+00  0.38886111E+02  0.95374334E+00
 0.13219411E+00  0.38283612E+02  0.10529791E+01
 0.14849683E+00  0.37648595E+02  0.11662811E+01
 0.16681005E+00  0.37007953E+02  0.12957119E+01
 0.18738174E+00  0.36238697E+02  0.14439005E+01
 0.21049041E+00  0.35374444E+02  0.16141720E+01
 0.23644894E+00  0.34412525E+02  0.18104648E+01
 0.26560878E+00  0.33386904E+02  0.20374369E+01
 0.29836472E+00  0.32278667E+02  0.23006951E+01
 0.33516027E+00  0.31094567E+02  0.26071774E+01
 0.37649358E+00  0.29917613E+02  0.29648194E+01
 0.42292429E+00  0.28753560E+02  0.33825640E+01
 0.47508102E+00  0.27547979E+02  0.38715544E+01
