#   nzt =   1
#    zt = 0.4300E+02
#    wt = 0.1000E+01
#    zp = 0.1000E+01
#    rs =  0.28354900E+01
#    Te =  0.25000000E-01
#   rho =  0.11500000E+02
#  zbar =  0.61208918E+01
#   mep =  100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 0.10000000E-02  0.47457956E+01  0.68570004E-01
 0.11233240E-02  0.50197442E+01  0.72679551E-01
 0.12618569E-02  0.53095125E+01  0.77043823E-01
 0.14174742E-02  0.56140732E+01  0.81679576E-01
 0.15922828E-02  0.59360705E+01  0.86604511E-01
 0.17886495E-02  0.62738572E+01  0.91837856E-01
 0.20092330E-02  0.66307587E+01  0.97400098E-01
 0.22570197E-02  0.70045882E+01  0.10331344E+00
 0.25353645E-02  0.73992819E+01  0.10960159E+00
 0.28480359E-02  0.78118581E+01  0.11629032E+00
 0.31992671E-02  0.82470623E+01  0.12340723E+00
 0.35938137E-02  0.87011248E+01  0.13098234E+00
 0.40370173E-02  0.91795903E+01  0.13904780E+00
 0.45348785E-02  0.96779103E+01  0.14763862E+00
 0.50941380E-02  0.10202408E+02  0.15679228E+00
 0.57223677E-02  0.10746436E+02  0.16655031E+00
 0.64280731E-02  0.11318034E+02  0.17695732E+00
 0.72208090E-02  0.11907327E+02  0.18806339E+00
 0.81113083E-02  0.12524893E+02  0.19992272E+00
 0.91116276E-02  0.13159357E+02  0.21259515E+00
 0.10235310E-01  0.13822703E+02  0.22614566E+00
 0.11497570E-01  0.14504759E+02  0.24064433E+00
 0.12915497E-01  0.15217008E+02  0.25616680E+00
 0.14508288E-01  0.15946514E+02  0.27279685E+00
 0.16297508E-01  0.16706460E+02  0.29062547E+00
 0.18307383E-01  0.17482623E+02  0.30975297E+00
 0.20565123E-01  0.18289640E+02  0.33028864E+00
 0.23101297E-01  0.19119927E+02  0.35234740E+00
 0.25950242E-01  0.19985764E+02  0.37605235E+00
 0.29150531E-01  0.20888742E+02  0.40152875E+00
 0.32745492E-01  0.21837609E+02  0.42890743E+00
 0.36783798E-01  0.22842495E+02  0.45831828E+00
 0.41320124E-01  0.23909178E+02  0.48990437E+00
 0.46415888E-01  0.25247202E+02  0.52365608E+00
 0.52140083E-01  0.26785730E+02  0.55943829E+00
 0.58570208E-01  0.28000161E+02  0.59759383E+00
 0.65793322E-01  0.29054376E+02  0.63876068E+00
 0.73907220E-01  0.29922434E+02  0.68350500E+00
 0.83021757E-01  0.30708982E+02  0.73238783E+00
 0.93260335E-01  0.31203562E+02  0.78616288E+00
 0.10476158E+00  0.31529272E+02  0.84577838E+00
 0.11768120E+00  0.31545223E+02  0.91239033E+00
 0.13219411E+00  0.31367761E+02  0.98743466E+00
 0.14849683E+00  0.31088924E+02  0.10723672E+01
 0.16681005E+00  0.30752537E+02  0.11687110E+01
 0.18738174E+00  0.30243198E+02  0.12784374E+01
 0.21049041E+00  0.29602338E+02  0.14040830E+01
 0.23644894E+00  0.28857481E+02  0.15485898E+01
 0.26560878E+00  0.28044365E+02  0.17153616E+01
 0.29836472E+00  0.27120654E+02  0.19086048E+01
 0.33516027E+00  0.26097006E+02  0.21336928E+01
 0.37649358E+00  0.25085790E+02  0.23966345E+01
 0.42292429E+00  0.24092168E+02  0.27039905E+01
 0.47508102E+00  0.23029350E+02  0.30642837E+01
 0.53366992E+00  0.21876767E+02  0.34891123E+01
 0.59948425E+00  0.20734456E+02  0.39921132E+01
 0.67341507E+00  0.19595480E+02  0.45891993E+01
 0.75646333E+00  0.18497815E+02  0.52993078E+01
 0.84975344E+00  0.17416032E+02  0.61455412E+01
 0.95454846E+00  0.16397303E+02  0.71552332E+01
 0.10722672E+01  0.15427171E+02  0.83603412E+01
 0.12045035E+01  0.14507659E+02  0.97994069E+01
 0.13530478E+01  0.13611061E+02  0.11520608E+02
 0.15199111E+01  0.12772307E+02  0.13581298E+02
 0.17073526E+01  0.11976547E+02  0.16049051E+02
 0.19179103E+01  0.11227819E+02  0.19005309E+02
 0.21544347E+01  0.10497112E+02  0.22552985E+02
 0.24201283E+01  0.98211630E+01  0.26814190E+02
 0.27185882E+01  0.91855628E+01  0.31931184E+02
 0.30538555E+01  0.85909801E+01  0.38075907E+02
 0.34304693E+01  0.80070646E+01  0.45470039E+02
 0.38535286E+01  0.74645764E+01  0.54380622E+02
 0.43287613E+01  0.69447746E+01  0.65129429E+02
 0.48626016E+01  0.64639961E+01  0.78103369E+02
 0.54622772E+01  0.60000675E+01  0.93783747E+02
 0.61359073E+01  0.55666183E+01  0.11276188E+03
 0.68926121E+01  0.51412691E+01  0.13579690E+03
 0.77426368E+01  0.47487403E+01  0.16381214E+03
 0.86974900E+01  0.43743794E+01  0.19793430E+03
 0.97700996E+01  0.40317139E+01  0.23953388E+03
 0.10974988E+02  0.37123050E+01  0.29026165E+03
 0.12328467E+02  0.34189596E+01  0.35213571E+03
 0.13848864E+02  0.31424688E+01  0.42768681E+03
 0.15556761E+02  0.28892266E+01  0.52000245E+03
 0.17475284E+02  0.26511711E+01  0.63291159E+03
 0.19630407E+02  0.24327869E+01  0.77112018E+03
 0.22051307E+02  0.22265938E+01  0.94055077E+03
 0.24770764E+02  0.20383747E+01  0.11484700E+04
 0.27825594E+02  0.18628523E+01  0.14038352E+04
 0.31257158E+02  0.17025957E+01  0.17176919E+04
 0.35111917E+02  0.15534126E+01  0.21038066E+04
 0.39442061E+02  0.14174610E+01  0.25791295E+04
 0.44306215E+02  0.12905928E+01  0.31649797E+04
 0.49770236E+02  0.11752886E+01  0.38877144E+04
 0.55908102E+02  0.10693642E+01  0.47796510E+04
 0.62802914E+02  0.97315317E+00  0.58806996E+04
 0.70548023E+02  0.88480040E+00  0.72404854E+04
 0.79248290E+02  0.80459706E+00  0.89203207E+04
 0.89021509E+02  0.73110175E+00  0.10996292E+05
 0.10000000E+03  0.66440845E+00  0.13562850E+05
