#   nzt =   1
#    zt = 0.9000E+02
#    wt = 0.1000E+01
#    zp = 0.1000E+01
#    rs =  0.37619000E+01
#    Te =  0.25000000E-01
#   rho =  0.11660000E+02
#  zbar =  0.58623009E+01
#   mep =  100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 0.10000000E-02  0.85832626E+01  0.89753773E-01
 0.11233240E-02  0.90752920E+01  0.95133959E-01
 0.12618569E-02  0.95956035E+01  0.10084973E+00
 0.14174742E-02  0.10141576E+02  0.10692352E+00
 0.15922828E-02  0.10718652E+02  0.11337897E+00
 0.17886495E-02  0.11322280E+02  0.12024208E+00
 0.20092330E-02  0.11959844E+02  0.12754049E+00
 0.22570197E-02  0.12624704E+02  0.13530463E+00
 0.25353645E-02  0.13326320E+02  0.14356696E+00
 0.28480359E-02  0.14056233E+02  0.15236301E+00
 0.31992671E-02  0.14825785E+02  0.16173076E+00
 0.35938137E-02  0.15624837E+02  0.17171171E+00
 0.40370173E-02  0.16466563E+02  0.18235020E+00
 0.45348785E-02  0.17338160E+02  0.19369498E+00
 0.50941380E-02  0.18255500E+02  0.20579821E+00
 0.57223677E-02  0.19202419E+02  0.21871741E+00
 0.64280731E-02  0.20198255E+02  0.23251403E+00
 0.72208090E-02  0.21220005E+02  0.24725718E+00
 0.81113083E-02  0.22293279E+02  0.26302094E+00
 0.91116276E-02  0.23391110E+02  0.27988728E+00
 0.10235310E-01  0.24544170E+02  0.29794374E+00
 0.11497570E-01  0.25719967E+02  0.31728737E+00
 0.12915497E-01  0.26955502E+02  0.33802139E+00
 0.14508288E-01  0.28207144E+02  0.36026245E+00
 0.16297508E-01  0.29522292E+02  0.38413707E+00
 0.18307383E-01  0.30904009E+02  0.40975989E+00
 0.20565123E-01  0.32378357E+02  0.43724227E+00
 0.23101297E-01  0.33894137E+02  0.46672093E+00
 0.25950242E-01  0.35501964E+02  0.49835663E+00
 0.29150531E-01  0.37472222E+02  0.53215662E+00
 0.32745492E-01  0.39715779E+02  0.56801782E+00
 0.36783798E-01  0.41478165E+02  0.60629795E+00
 0.41320124E-01  0.43062463E+02  0.64760396E+00
 0.46415888E-01  0.44318626E+02  0.69250261E+00
 0.52140083E-01  0.45472439E+02  0.74158220E+00
 0.58570208E-01  0.46262600E+02  0.79554940E+00
 0.65793322E-01  0.46898862E+02  0.85524534E+00
 0.73907220E-01  0.47211941E+02  0.92163461E+00
 0.83021757E-01  0.47385632E+02  0.99583759E+00
 0.93260335E-01  0.47389182E+02  0.10790442E+01
 0.10476158E+00  0.47310409E+02  0.11725733E+01
 0.11768120E+00  0.46938824E+02  0.12781398E+01
 0.13219411E+00  0.46371538E+02  0.13979446E+01
 0.14849683E+00  0.45702564E+02  0.15343493E+01
 0.16681005E+00  0.44967560E+02  0.16899311E+01
 0.18738174E+00  0.44030053E+02  0.18679839E+01
 0.21049041E+00  0.42929206E+02  0.20727001E+01
 0.23644894E+00  0.41669471E+02  0.23091086E+01
 0.26560878E+00  0.40303581E+02  0.25832134E+01
 0.29836472E+00  0.38864798E+02  0.29020532E+01
 0.33516027E+00  0.37358505E+02  0.32741078E+01
 0.37649358E+00  0.35854269E+02  0.37092730E+01
 0.42292429E+00  0.34361059E+02  0.42189705E+01
 0.47508102E+00  0.32856744E+02  0.48170494E+01
 0.53366992E+00  0.31323212E+02  0.55207820E+01
 0.59948425E+00  0.29819778E+02  0.63506288E+01
 0.67341507E+00  0.28341542E+02  0.73306483E+01
 0.75646333E+00  0.26897019E+02  0.84897253E+01
 0.84975344E+00  0.25446175E+02  0.98640848E+01
 0.95454846E+00  0.24087726E+02  0.11495637E+02
 0.10722672E+01  0.22808202E+02  0.13431252E+02
 0.12045035E+01  0.21559577E+02  0.15729058E+02
 0.13530478E+01  0.20282962E+02  0.18466876E+02
 0.15199111E+01  0.19088114E+02  0.21735710E+02
 0.17073526E+01  0.17951518E+02  0.25638790E+02
 0.19179103E+01  0.16873991E+02  0.30301354E+02
 0.21544347E+01  0.15809116E+02  0.35883492E+02
 0.24201283E+01  0.14819908E+02  0.42574631E+02
 0.27185882E+01  0.13876362E+02  0.50597909E+02
 0.30538555E+01  0.13003602E+02  0.60218731E+02
 0.34304693E+01  0.12166096E+02  0.71761586E+02
 0.38535286E+01  0.11391515E+02  0.85614459E+02
 0.43287613E+01  0.10653354E+02  0.10224526E+03
 0.48626016E+01  0.99742307E+01  0.12220833E+03
 0.54622772E+01  0.93226936E+01  0.14618161E+03
 0.61359073E+01  0.87174692E+01  0.17498350E+03
 0.68926121E+01  0.81269675E+01  0.20964031E+03
 0.77426368E+01  0.75801694E+01  0.25138454E+03
 0.86974900E+01  0.70447805E+01  0.30175764E+03
 0.97700996E+01  0.65506230E+01  0.36262236E+03
 0.10974988E+02  0.60718016E+01  0.43627762E+03
 0.12328467E+02  0.56304707E+01  0.52551657E+03
 0.13848864E+02  0.52085091E+01  0.63376302E+03
 0.15556761E+02  0.48213080E+01  0.76515719E+03
 0.17475284E+02  0.44529123E+01  0.92480242E+03
 0.19630407E+02  0.41143134E+01  0.11189151E+04
 0.22051307E+02  0.37914375E+01  0.13552541E+04
 0.24770764E+02  0.34960580E+01  0.16432460E+04
 0.27825594E+02  0.32178601E+01  0.19944313E+04
 0.31257158E+02  0.29628319E+01  0.24229262E+04
 0.35111917E+02  0.27224753E+01  0.29462751E+04
 0.39442061E+02  0.25023476E+01  0.35858817E+04
 0.44306215E+02  0.22920332E+01  0.43690542E+04
 0.49770236E+02  0.21001175E+01  0.53293703E+04
 0.55908102E+02  0.19211096E+01  0.65077637E+04
 0.62802914E+02  0.17581432E+01  0.79544955E+04
 0.70548023E+02  0.16079806E+01  0.97309095E+04
 0.79248290E+02  0.14712178E+01  0.11912077E+05
 0.89021509E+02  0.13433513E+01  0.14592988E+05
 0.10000000E+03  0.12271057E+01  0.17891129E+05
